N	2gram	Nazirov_Vr_1	Poddanst
1	не только	9	17
2	и в	8	14
3	и не	5	12
4	в этом	8	10
5	в качестве	1	9
6	но в	6	9
7	то же	5	9
8	в том	3	9
9	н и	1	8
10	в то	5	7
11	же время	5	7
12	в ней	4	6
13	было бы	1	6
14	но и	7	6
15	быть может	1	6
16	отношении к	1	5
17	россии в	2	5
18	с другой	1	5
19	может быть	4	5
20	и о	3	5
21	а н	2	5
22	а также	2	4
23	в своем	3	4
24	как бы	4	4
25	том что	3	4
26	не может	2	4
27	в котором	6	4
28	в русской	3	4
29	что в	7	4
30	же в	2	4
31	а в	2	4
32	то что	7	4
33	столь же	2	3
34	между тем	5	3
35	это не	4	3
36	вслед за	1	3
37	хотя и	1	3
38	и как	3	3
39	в себе	2	3
40	в нем	6	3
41	в россии	5	3
42	заключается в	1	3
43	прежде всего	1	3
44	россия в	1	3
45	с точки	2	3
46	но не	1	3
47	наряду с	3	3
48	могут быть	1	3
49	т е	3	3
50	тем самым	1	3
51	потому что	1	3
52	точки зрения	2	3
53	и это	2	2
54	отношения к	2	2
55	в ее	1	2
56	и есть	1	2
57	в мире	2	2
58	было в	1	2
59	по характеру	1	2
60	во всех	1	2
61	говорить о	1	2
62	если в	1	2
63	во всей	1	2
64	в е	1	2
65	отнюдь не	2	2
66	с этим	1	2
67	и дети	2	2
68	того что	1	2
69	и и	1	2
70	в начале	6	2
71	в его	3	2
72	из них	2	2
73	в силу	1	2
74	как раз	2	2
75	и с	6	2
76	именно в	1	2
77	в жизни	1	2
78	в них	2	2
79	не было	5	2
80	нужно было	1	2
81	в эту	2	2
82	не будем	1	2
83	и достоевского	9	2
84	что из	1	2
85	не менее	2	2
86	все это	4	2
87	между прочим	1	2
88	одна из	2	2
89	русский народ	1	2
90	да и	1	2
91	в полной	1	2
92	еще более	1	2
93	тем более	2	2
94	для нас	4	2
95	в частности	1	2
96	в недрах	1	2
97	как на	1	2
98	которых не	1	1
99	от этой	1	1
100	россию и	1	1
101	с утверждением	1	1
102	также что	1	1
103	также и	1	1
104	в русских	2	1
105	же как	2	1
106	и то	2	1
107	с большою	1	1
108	как известно	1	1
109	на основе	2	1
110	как по	1	1
111	по преимуществу	1	1
112	к смерти	1	1
113	на нее	1	1
114	не с	1	1
115	сказалось в	1	1
116	еще в	1	1
117	что уже	1	1
118	развитие в	1	1
119	внимание к	1	1
120	выразилось в	1	1
121	с ее	1	1
122	и ее	2	1
123	и что	8	1
124	еще не	2	1
125	он был	3	1
126	с его	3	1
127	вопросу о	1	1
128	не все	1	1
129	не просто	1	1
130	и достоевский	2	1
131	также в	1	1
132	не отмечен	1	1
133	м е	1	1
134	в истории	4	1
135	на россию	1	1
136	тех пор	1	1
137	в –	1	1
138	известном смысле	1	1
139	все же	6	1
140	действие в	1	1
141	россии не	1	1
142	в самом	1	1
143	в условиях	1	1
144	но как	2	1
145	что это	1	1
146	в эти	2	1
147	человека с	2	1
148	себя в	1	1
149	в известном	2	1
150	уже в	4	1
151	во многих	1	1
152	говорить об	1	1
153	этот вывод	1	1
154	на то	3	1
155	но на	1	1
156	не могла	1	1
157	тем чтобы	1	1
158	мы знаем	2	1
159	при виде	1	1
160	европы и	1	1
161	свои собственные	1	1
162	к ним	2	1
163	друг друга	1	1
164	каждый из	1	1
165	одно и	1	1
166	из двух	1	1
167	он вынул	1	1
168	в н	1	1
169	из всех	1	1
170	ясно что	1	1
171	его в	3	1
172	в душе	1	1
173	живет в	1	1
174	а с	2	1
175	в это	2	1
176	далеко не	3	1
177	в этой	2	1
178	как и	6	1
179	и уже	3	1
180	с которым	2	1
181	в свете	1	1
182	и я	1	1
183	в развитии	1	1
184	не об	1	1
185	так же	4	1
186	за тем	1	1
187	всяком случае	1	1
188	место в	2	1
189	важнее всего	1	1
190	можно говорить	1	1
191	к русскому	1	1
192	как к	1	1
193	может идти	1	1
194	что есть	3	1
195	вячеслав иванов	1	1
196	в основном	1	1
197	что эта	1	1
198	но для	1	1
199	этом смысле	1	1
200	г а	5	1
201	мнения о	1	1
202	и образы	2	1
203	нем в	1	1
204	не имеет	1	1
205	никогда не	2	1
206	о котором	1	1
207	– годах	1	1
208	христа и	1	1
209	иными словами	1	1
210	более что	1	1
211	другой стороны	1	1
212	только что	1	1
213	в этих	1	1
214	давно уже	3	1
215	нет ничего	1	1
216	в каком	1	1
217	гоголя и	1	1
218	только как	1	1
219	они как	1	1
220	в момент	2	1
221	и никому	1	1
222	ли не	1	1
223	к сожалению	1	1
224	к этой	1	1
225	не есть	1	1
226	вместе с	2	1
227	это в	2	1
228	который не	1	1
229	во всяком	1	1
230	они не	1	1
