N	4gram	Vygotskiy__3	Marksizm
1	бы то ни было	1	8
2	одного и того же	4	5
3	в связи с этим	1	3
4	в том числе и	1	2
5	одной и той же	2	2
6	какого бы то ни	1	2
7	так же как и	4	2
8	это значит что в	1	1
9	связаны между собой и	1	1
10	как и все остальные	1	1
11	если мы скажем что	1	1
12	и все остальные особенности	1	1
13	все более и более	1	1
14	случае можно было бы	1	1
15	с этой точки зрения	2	1
16	независимо от того как	2	1
17	в тот или иной	1	1
18	взаимно дополняющих друг друга	3	1
19	связи с тем что	1	1
20	с их точки зрения	1	1
21	в конце концов к	1	1
22	не выходит за пределы	1	1
23	одним и тем же	1	1
24	ни в какой степени	1	1
25	с точки зрения ее	1	1
26	в связи с тем	1	1
