N	3gram	Medvedev_V_1	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	2	7
3	во всяком случае	1	6
4	более или менее	6	5
5	в том числе	2	5
6	до сих пор	1	5
7	по крайней мере	2	5
8	для того чтобы	3	5
9	о том что	3	4
10	том числе и	2	4
11	и вместе с	1	4
12	к тому же	1	4
13	так или иначе	1	3
14	главным образом в	1	3
15	в конце концов	2	3
16	так же как	1	3
17	в связи с	3	3
18	в том что	5	3
19	то же самое	1	2
20	в этом отношении	13	2
21	заключает в себе	1	2
22	может быть даже	1	2
23	в значительной мере	3	2
24	с этой точки	1	2
25	то или иное	1	2
26	не только для	1	2
27	некоторые из них	1	2
28	может быть и	1	2
29	по сравнению с	1	2
30	с того момента	1	2
31	так и от	2	2
32	между этими двумя	1	2
33	таким образом в	2	2
34	то же время	5	2
35	ничего общего с	1	2
36	этой точки зрения	2	2
37	но и для	1	2
38	той или иной	1	2
39	не как на	1	2
40	можно сказать что	4	2
41	в то же	5	2
42	а между тем	1	1
43	не может не	2	1
44	и есть то	1	1
45	что и этот	1	1
46	в силу этого	4	1
47	в прямом смысле	1	1
48	одном и том	2	1
49	иметь в виду	2	1
50	чуть ли не	2	1
51	по отношению к	7	1
52	имеем в виду	1	1
53	одной из этих	1	1
54	в самом деле	1	1
55	у них не	1	1
56	ни один из	2	1
57	в соответствии с	1	1
58	о том как	3	1
59	многим из них	1	1
60	в таком случае	1	1
61	и в то	3	1
62	сами по себе	1	1
63	в одном и	1	1
64	что все эти	1	1
65	а вместе с	1	1
66	все это мы	1	1
67	с этим и	1	1
68	том или ином	1	1
69	с ними в	1	1
70	их отношение к	1	1
71	таким образом уже	1	1
72	в том или	1	1
73	того момента когда	1	1
74	в этой области	3	1
75	в данном случае	1	1
76	но в то	1	1
77	как видно из	1	1
78	и том же	2	1
79	хотя бы с	1	1
80	не в том	2	1
81	из них не	2	1
82	а как на	1	1
83	с другой стороны	8	1
84	мы видели что	3	1
85	лицом к лицу	1	1
86	этом отношении представляет	1	1
87	а в том	1	1
88	только то что	2	1
89	сих пор не	1	1
90	у него в	1	1
91	не может быть	8	1
92	но по существу	1	1
93	но с другой	1	1
94	в то время	1	1
95	в свою очередь	1	1
96	это и есть	3	1
97	во всех других	1	1
98	в одном из	3	1
99	и никогда не	1	1
100	не только не	2	1
101	и в результате	1	1
102	в силу самой	1	1
103	после того как	1	1
104	мы видим что	1	1
105	может быть в	1	1
106	могло бы быть	1	1
107	только тогда когда	1	1
108	в этом процессе	2	1
109	что оно является	1	1
