N	3gram	Berdyaev_M_2	Problemy
1	на самом деле	1	9
2	по замыслу достоевского	1	7
3	с самим собою	2	7
4	в отношении к	2	7
5	с самим собой	1	7
6	по отношению к	2	6
7	в творчестве достоевского	3	4
8	его отношение к	4	4
9	на протяжении всего	1	4
10	в романах достоевского	1	4
11	той или иной	1	4
12	а между тем	1	3
13	записок из подполья	1	3
14	с другим и	1	3
15	в высшей степени	3	3
16	в конце концов	1	3
17	друг к другу	5	3
18	в братьях карамазовых	2	3
19	и в нем	1	3
20	не может быть	8	3
21	смысле этого слова	1	2
22	к нему он	1	2
23	для этого необходимо	3	2
24	с точки зрения	1	2
25	как и все	1	2
26	сам по себе	1	2
27	друг на друга	1	2
28	в обычном смысле	1	2
29	и в этом	3	2
30	для него и	2	2
31	что он сам	1	2
32	что у достоевского	1	2
33	и та же	2	2
34	одна и та	2	2
35	к одному знаменателю	1	2
36	не в силах	1	2
37	подобно тому как	2	2
38	у достоевского нет	2	2
39	в том что	2	2
40	мы увидим что	2	2
41	именно потому что	1	2
42	что он в	1	2
43	и всегда у	1	1
44	у достоевского это	1	1
45	в его собственной	1	1
46	иван карамазов в	1	1
47	в чем не	2	1
48	прежде всего как	1	1
49	он сам не	1	1
50	потому что в	1	1
51	из подполья и	2	1
52	а не о	1	1
53	в записках из	1	1
54	том что он	1	1
55	так и не	1	1
56	не приводит в	1	1
57	в нем и	1	1
58	до сих пор	3	1
59	он сам по	1	1
60	для себя и	1	1
61	что он не	1	1
62	но для этого	2	1
63	в другом и	1	1
64	достоевский не знает	1	1
65	старца зосимы в	1	1
66	смирись гордый человек	1	1
67	записках из подполья	1	1
68	как и всегда	2	1
69	у него нет	3	1
70	зачем живет такой	1	1
71	и иван карамазов	3	1
72	может быть и	2	1
73	к тому что	3	1
74	ибо и в	1	1
75	в значительной степени	1	1
76	милый мой мальчик	1	1
77	в противоречии с	1	1
78	обращенность к своему	1	1
79	так же не	1	1
80	только с другой	1	1
81	один из моментов	1	1
82	федор павлович карамазов	1	1
83	к другу как	1	1
84	в этом направлении	1	1
85	всегда у достоевского	3	1
86	я не могу	1	1
87	в нем есть	6	1
88	нас прежде всего	1	1
89	его отношения к	1	1
90	как будто что-то	1	1
91	что же такое	1	1
92	по ту сторону	1	1
93	как бы не	1	1
94	себя и для	1	1
95	в нем нет	2	1
96	как и в	2	1
97	у достоевского есть	3	1
98	все так же	1	1
99	о том что	2	1
100	как и во	2	1
101	никогда не бывает	2	1
102	и к чему	1	1
103	ни в чем	2	1
104	с отцом и	1	1
105	он не принимает	1	1
106	к матери подростка	1	1
107	с настасьей филипповной	2	1
108	и во всем	1	1
109	как можно более	1	1
110	него на два	1	1
111	сама по себе	1	1
112	уже как бы	1	1
113	себя и других	1	1
114	для того чтобы	4	1
115	мышкина и рогожина	2	1
116	а не в	2	1
117	друг для друга	2	1
118	что и в	4	1
119	в этом отношении	1	1
