N	3gram	Potebnia_M_3	Analitik
1	о том что	1	6
2	в том что	16	6
3	в данном случае	1	5
4	по отношению к	5	4
5	с одной стороны	3	4
6	к тому же	1	4
7	подобно тому как	2	3
8	в этом отношении	2	3
9	по крайней мере	5	3
10	тем не менее	3	3
11	как и в	2	3
12	в таком случае	2	2
13	в то же	5	2
14	и то что	1	2
15	не только в	4	2
16	с другой стороны	4	2
17	то же время	5	2
18	и тем самым	1	2
19	и в самом	2	2
20	не только не	2	2
21	на то что	1	2
22	до такой степени	1	1
23	а между тем	2	1
24	можно сказать что	2	1
25	в действительности и	1	1
26	одним и тем	3	1
27	более или менее	3	1
28	тем более в	1	1
29	те же самые	1	1
30	а тем более	1	1
31	сами по себе	1	1
32	то есть вне	1	1
33	но и в	4	1
34	нельзя сказать что	2	1
35	с другой и	1	1
36	и если бы	1	1
37	так что все	1	1
38	в противном случае	1	1
39	значении этого слова	1	1
40	со всех сторон	1	1
41	то и другое	1	1
42	и тем что	1	1
43	в таких случаях	1	1
44	и тем же	3	1
45	и тот же	1	1
46	и то же	5	1
47	в эту минуту	1	1
48	так или иначе	1	1
49	в свою очередь	3	1
50	так и на	1	1
51	одно и то	5	1
52	из них не	1	1
53	носит в себе	1	1
54	уже не к	1	1
55	в свое время	1	1
56	языка и в	1	1
57	и в словах	1	1
58	а в том	5	1
59	только то что	1	1
60	другие но и	1	1
61	не может быть	3	1
62	том смысле что	1	1
63	заключается в том	1	1
64	упускать из виду	2	1
65	из виду что	1	1
66	в нас самих	1	1
67	в самом деле	1	1
68	нас а в	1	1
69	вообще но и	1	1
70	тому как мы	1	1
71	один из многих	1	1
72	в каждом отдельном	1	1
73	в том смысле	3	1
74	слова или точнее	1	1
75	к тому что	2	1
76	сама по себе	2	1
77	друг с другом	1	1
78	что одно и	1	1
79	почти то же	2	1
80	а в нас	1	1
81	потому что я	1	1
82	в себе не	2	1
83	то же самое	1	1
84	на наш взгляд	1	1
