N	3gram	Bakhtin_KF_1	Analitik
1	в том что	2	7
2	по отношению к	22	7
3	в свою очередь	1	4
4	и того же	1	3
5	то же время	2	3
6	той или иной	2	3
7	в то же	2	3
8	одного и того	1	3
9	дело в том	1	2
10	с точки зрения	9	2
11	в значительной степени	1	2
12	тем не менее	2	2
13	тем или иным	1	2
14	во всяком случае	1	2
15	я в мире	1	2
16	в конечном счете	1	2
17	дело здесь не	2	1
18	и может быть	2	1
19	это уже не	1	1
20	в этом мире	1	1
21	уже не может	2	1
22	на самом деле	3	1
23	в этом смысле	3	1
24	как если бы	1	1
25	другое дело когда	2	1
26	в зависимости от	1	1
27	хотя бы и	1	1
28	между тем как	3	1
29	есть на самом	2	1
30	в основе своей	1	1
31	со всех сторон	1	1
32	по себе а	1	1
33	позицию по отношению	1	1
34	случае мы имеем	1	1
35	в данном контексте	1	1
36	ту или иную	1	1
37	лишь в момент	1	1
38	том что мы	1	1
39	здесь мы имеем	2	1
40	в противоречие с	1	1
41	мы имеем не	1	1
42	в известном смысле	1	1
43	и как бы	1	1
44	а не как	1	1
45	не в том	1	1
46	для него самого	1	1
47	не для того	1	1
48	со стороны его	1	1
49	для того чтобы	1	1
50	один и тот	1	1
51	того или иного	3	1
52	и все же	1	1
53	не может быть	11	1
54	как момент его	7	1
55	отнюдь еще не	1	1
56	не должно быть	1	1
57	в первом случае	1	1
58	само по себе	1	1
59	как бы ни	1	1
60	вопрос о том	2	1
61	в себя и	1	1
62	но лишь в	2	1
63	в большинстве случаев	1	1
64	и не должно	1	1
65	дело не в	1	1
66	что и в	1	1
67	ведь это не	1	1
68	и тот же	1	1
69	которой он не	1	1
