N	2gram	Potebnia_M_4	EvropaiC
1	таким образом	24	32
2	в том	23	31
3	и в	23	24
4	том что	12	20
5	все эти	3	19
6	не может	11	18
7	то что	29	17
8	может быть	26	15
9	все же	1	15
10	точки зрения	4	13
11	самом деле	3	12
12	в своем	8	12
13	до сих	4	12
14	в этом	23	12
15	сих пор	4	12
16	с этим	7	11
17	между тем	9	11
18	все это	5	11
19	во всех	1	10
20	по отношению	10	10
21	так и	6	10
22	из себя	2	10
23	как бы	5	10
24	отношению к	8	10
25	все что	2	10
26	того же	1	9
27	на то	7	9
28	при этом	15	9
29	как и	14	9
30	что в	17	9
31	в самом	3	8
32	касается до	1	8
33	с точки	3	8
34	не в	11	8
35	ясно что	1	8
36	если бы	13	8
37	земного шара	1	8
38	так же	4	8
39	и все	4	8
40	а между	4	7
41	на самом	3	7
42	из этих	2	7
43	в силу	7	7
44	не менее	5	7
45	того чтобы	4	7
46	к тому	3	7
47	о том	8	7
48	и что	7	7
49	что он	4	7
50	для того	6	7
51	но и	11	7
52	и не	18	7
53	о котором	1	7
54	из этого	2	7
55	должна быть	1	6
56	еще не	3	6
57	и на	3	6
58	тогда как	4	6
59	в этой	1	6
60	в мире	2	6
61	в сознании	4	6
62	и при	2	6
63	от друга	1	6
64	с ним	5	6
65	что и	7	6
66	того что	14	6
67	только в	15	6
68	так что	5	6
69	так как	14	6
70	мы можем	10	6
71	друг от	1	6
72	с другой	2	6
73	вместе с	6	6
74	у них	1	6
75	как на	1	6
76	столь же	2	5
77	основано на	1	5
78	и к	6	5
79	но в	8	5
80	в которой	6	5
81	ступени развития	1	5
82	что это	7	5
83	в себе	14	5
84	не только	10	5
85	и если	3	5
86	но все	1	5
87	не будет	3	5
88	что все	4	5
89	и с	4	5
90	на все	1	5
91	лишь в	3	5
92	его в	4	5
93	между собою	4	5
94	и без	2	5
95	что с	1	5
96	в то	4	5
97	как будто	1	5
98	что при	1	5
99	в его	5	5
100	большею частью	2	5
101	потому что	33	5
102	и их	3	5
103	у него	1	5
104	именно в	3	5
105	далеко не	1	5
106	другой стороны	1	5
107	по своему	2	5
108	быть и	2	5
109	и для	2	5
110	случае если	1	5
111	одним из	1	4
112	в такой	1	4
113	и то	5	4
114	то же	14	4
115	мы уже	3	4
116	та же	1	4
117	что его	2	4
118	отношение к	2	4
119	что как	4	4
120	хотя и	5	4
