N	2gram	Propp_Isto_1	UchenyiS
1	и в	28	14
2	а не	15	10
3	не только	12	10
4	прежде всего	10	8
5	и не	9	8
6	не может	15	7
7	вот почему	1	7
8	в этом	8	7
9	то что	9	7
10	может быть	25	6
11	то же	12	5
12	и только	2	5
13	все это	4	5
14	хотя бы	4	5
15	с другой	6	4
16	но и	10	4
17	что такое	2	4
18	в их	3	4
19	в конечном	2	4
20	в этой	6	4
21	конечно не	2	4
22	то ни	2	3
23	и то	1	3
24	это не	7	3
25	было бы	7	3
26	как и	4	3
27	для этого	3	3
28	в частности	2	3
29	в своей	1	3
30	бы то	2	3
31	к сожалению	3	3
32	в то	3	3
33	все же	10	3
34	но в	8	3
35	пришлось бы	1	3
36	в области	2	3
37	у нас	1	3
38	другой стороны	5	3
39	для него	2	3
40	не как	3	3
41	ни было	2	3
42	же не	3	2
43	одним из	2	2
44	и с	4	2
45	художественного произведения	1	2
46	материала и	2	2
47	до сих	5	2
48	ее нельзя	2	2
49	а как	1	2
50	это было	2	2
51	противном случае	1	2
52	должна быть	5	2
53	в некоторых	2	2
54	превращается в	4	2
55	мы не	10	2
56	на эту	3	2
57	если бы	8	2
58	что мы	7	2
59	ничего не	2	2
60	том что	7	2
61	на первый	2	2
62	сводится к	1	2
63	но даже	1	2
64	меньшей степени	1	2
65	надо было	1	2
66	нас в	2	2
67	но не	5	2
68	в сторону	1	2
69	не все	4	2
70	в его	5	2
71	по существу	5	2
72	что и	6	2
73	по себе	3	2
74	сих пор	5	2
75	но это	4	2
76	этом смысле	1	2
77	в противном	1	2
78	могли бы	3	2
79	в том	9	2
80	тех или	1	2
81	и для	4	2
82	что он	10	2
83	в себе	2	2
84	при таком	1	2
85	между тем	2	2
86	и у	1	2
87	только в	11	2
88	мы получаем	1	2
89	не в	9	2
90	для всех	2	2
91	в системе	1	2
92	не есть	2	2
93	этом отношении	1	2
94	еще ничего	1	2
95	или иных	1	2
96	его и	2	2
97	всех этих	2	2
98	сколько угодно	1	2
99	не могут	2	2
100	могут быть	4	2
101	в конце	1	2
102	смысле этого	1	2
103	же самое	3	2
104	как раз	2	2
105	тем что	3	2
106	что она	5	2
107	таким образом	8	2
108	все частности	1	1
109	и это	1	1
110	таковы в	1	1
111	об этом	4	1
112	же как	2	1
113	в исторической	6	1
114	связанных с	1	1
115	не делает	1	1
116	в этот	1	1
117	но по	1	1
118	даже не	2	1
119	на материал	2	1
120	в виду	1	1
121	только исторической	1	1
122	бывает что	2	1
123	и исторические	1	1
124	или меньшей	2	1
125	было и	1	1
126	в пределах	4	1
127	это для	2	1
128	и др	7	1
129	еще одно	1	1
130	она все	1	1
131	из первых	1	1
132	к которой	1	1
133	что для	1	1
134	слова а	1	1
135	никогда не	14	1
136	так и	9	1
137	по его	2	1
138	одной стороны	4	1
139	относится к	2	1
140	этого не	1	1
141	оно все	1	1
142	часто бывает	1	1
143	с тем	4	1
144	мы имеем	13	1
145	со своими	1	1
146	и даже	4	1
147	должно быть	2	1
148	не вполне	2	1
149	пройти мимо	2	1
150	или менее	5	1
151	о нем	2	1
152	все элементы	1	1
153	этой же	1	1
154	метод и	1	1
155	приводит к	2	1
156	о том	9	1
157	в ней	7	1
158	и потому	2	1
159	почти не	3	1
160	в котором	3	1
161	свойственна не	1	1
162	только для	2	1
163	и что	10	1
164	она в	1	1
165	он был	1	1
166	из которых	3	1
167	в значительной	1	1
168	в пользу	2	1
169	чем то	1	1
170	кого бы	1	1
171	как таковая	2	1
172	он будет	1	1
173	строго говоря	1	1
