N	3gram	Medvedev_V_1	Mirosoze
1	не может быть	8	8
2	для того чтобы	3	4
3	же как и	1	3
4	до сих пор	1	3
5	к тому что	3	3
6	так же как	1	3
7	от того что	2	3
8	это и есть	3	3
9	подобно тому как	2	2
10	также и в	2	2
11	и никогда не	1	2
12	в братьях карамазовых	1	2
13	может быть и	1	2
14	т е в	2	2
15	о том что	3	2
16	по отношению к	7	2
17	после того как	1	2
18	в том что	5	2
19	а между тем	1	1
20	с анной карениной	1	1
21	органической связи с	1	1
22	идет дальше и	1	1
23	только тогда когда	1	1
24	он сам по	1	1
25	как и все	1	1
26	что он не	1	1
27	но и в	1	1
28	в этом отношении	13	1
29	его не интересует	1	1
30	в своем творчестве	3	1
31	действия не только	1	1
32	отношению к этим	1	1
33	бы и не	3	1
34	а не только	1	1
35	не было еще	1	1
36	не было в	2	1
37	ни к какому	1	1
38	из моментов в	1	1
39	всего может быть	1	1
40	тому что на	1	1
41	по сравнению с	1	1
42	они должны быть	2	1
43	лежит в основе	1	1
44	может быть никакого	1	1
45	сих пор не	1	1
46	та или иная	1	1
47	хотя бы в	3	1
48	той или иной	1	1
49	сама по себе	1	1
50	во всех его	2	1
51	в письме к	8	1
52	толстой и достоевский	1	1
53	в конце концов	2	1
54	что он в	1	1
