N	2gram	Nazirov_Vr_1	Morfolog
1	может быть	4	52
2	таким образом	2	20
3	не может	2	17
4	в этих	1	16
5	т е	3	16
6	могут быть	1	15
7	с этим	1	14
8	и в	8	13
9	в этом	8	13
10	связи с	3	11
11	то же	5	9
12	так и	1	9
13	не всегда	1	9
14	прежде всего	1	9
15	в связи	3	9
16	и не	5	9
17	при помощи	2	8
18	с другой	1	8
19	нет необходимости	1	7
20	в качестве	1	7
21	все же	6	7
22	но не	1	6
23	это не	4	6
24	во время	2	6
25	а также	2	6
26	в форме	1	6
27	в том	3	6
28	а в	2	6
29	во всех	1	5
30	не все	1	5
31	то что	7	5
32	далеко не	3	5
33	не менее	2	5
34	потому что	1	5
35	этот момент	2	5
36	вслед за	1	5
37	один из	1	5
38	наряду с	3	5
39	как бы	4	5
40	также и	1	4
41	обращается в	1	4
42	если в	1	4
43	как в	1	4
44	хотя и	1	4
45	и как	3	4
46	не только	9	4
47	об этом	5	4
48	его в	3	4
49	было бы	1	4
50	как и	6	4
51	несмотря на	4	4
52	точки зрения	2	4
53	с точки	2	4
54	тем не	1	4
55	ничего не	1	4
56	тем что	3	4
57	другой стороны	1	4
58	так же	4	4
59	героя в	1	4
60	что в	7	4
61	начинается с	1	3
62	о помощи	1	3
63	заметим что	1	3
64	независимо от	1	3
65	целый ряд	4	3
66	но в	6	3
67	с просьбой	1	3
68	в целом	1	3
69	из них	2	3
70	том что	3	3
71	в то	5	3
72	в бою	1	3
73	от того	1	3
74	но и	7	3
75	он не	3	3
76	к нему	1	3
77	и ее	2	3
78	в начале	6	3
79	друг друга	1	3
80	что они	1	3
81	из которых	1	3
82	но это	2	3
83	только что	1	3
84	же в	2	3
85	мы получаем	1	2
86	совсем не	1	2
87	а с	2	2
88	рассказы о	1	2
89	первый взгляд	1	2
90	то в	1	2
91	одному из	1	2
92	с предложением	1	2
93	это было	1	2
94	этого не	1	2
95	на первый	2	2
96	для него	2	2
97	имеется в	1	2
98	однако в	1	2
99	что эта	1	2
100	в обоих	1	2
101	не имеет	1	2
102	одна из	2	2
103	что ни	1	2
104	б в	1	2
105	и его	3	2
106	в каком	1	2
107	один раз	1	2
108	к себе	2	2
109	в в	2	2
110	то время	1	2
111	и что	8	2
112	не с	1	2
113	ясно что	1	2
114	просьбой о	1	2
115	с героем	1	2
116	другой не	1	2
117	можно бы	1	2
118	о том	4	2
119	того что	1	2
120	быть и	1	2
121	что он	4	2
122	себя в	1	2
123	уже не	2	2
124	его и	2	2
125	никто не	1	2
126	из двух	1	2
127	в частности	1	2
128	д в	1	2
129	или по	1	2
130	но для	1	2
131	сразу же	1	2
132	но вот	1	2
133	в свое	1	2
134	к этому	3	2
135	во сне	1	2
136	точно так	1	2
137	к людям	1	1
138	и то	2	1
139	к своей	1	1
140	говорилось выше	1	1
141	свое место	1	1
142	быть применено	1	1
143	уже по	1	1
144	их и	1	1
145	он как	1	1
146	что это	1	1
147	ему в	1	1
148	не совсем	1	1
149	в виду	4	1
150	очень высоко	2	1
151	в числе	1	1
152	него он	1	1
153	собой в	1	1
154	он был	3	1
155	служит для	1	1
156	одним словом	1	1
157	но как	2	1
158	ответ на	2	1
159	тогда как	2	1
160	некоторые черты	1	1
161	отношение к	2	1
162	некоторые мотивы	1	1
163	дает нам	1	1
164	и дети	2	1
165	для всех	1	1
166	что ее	1	1
167	третий раз	1	1
168	и наконец	1	1
169	и был	1	1
170	в этот	3	1
171	же быть	1	1
172	в этой	2	1
173	рассказ о	1	1
174	во многих	1	1
175	но ведь	1	1
176	этот вывод	1	1
177	на то	3	1
178	время и	2	1
179	всех этих	1	1
180	прочим и	1	1
181	в россии	5	1
182	ее своей	1	1
183	на свое	1	1
184	и этот	1	1
185	в окно	1	1
186	одно и	1	1
187	по его	1	1
188	конечно в	1	1
189	а их	1	1
190	домой в	1	1
191	следить за	1	1
192	дурак так	1	1
193	в итоге	1	1
194	из первых	1	1
195	в это	2	1
196	другие персонажи	1	1
197	может идти	1	1
198	этот материал	1	1
199	том как	1	1
200	и их	1	1
201	с различными	1	1
202	в их	1	1
203	этому же	1	1
204	что я	2	1
205	и уж	1	1
206	при этом	4	1
207	но он	3	1
208	все это	4	1
209	второй раз	1	1
210	без всяких	1	1
211	возвращается к	1	1
212	а от	1	1
213	встреча с	1	1
214	это дает	1	1
215	того как	1	1
216	он дважды	1	1
217	же время	5	1
218	в другую	1	1
219	за исключением	1	1
220	как на	1	1
221	же он	1	1
222	одним из	3	1
223	такие же	1	1
224	в момент	2	1
225	иваном в	1	1
226	не есть	1	1
227	на это	2	1
228	ничего общего	1	1
229	с ее	1	1
230	это будет	1	1
231	же не	2	1
232	как по	1	1
233	на той	1	1
234	роль в	1	1
235	еще в	1	1
236	во второй	1	1
237	и с	6	1
238	но мы	1	1
239	там же	2	1
240	их в	2	1
241	доходит до	1	1
242	в его	3	1
243	во всей	1	1
244	в другой	1	1
245	встречается лишь	1	1
246	если это	1	1
247	в него	2	1
248	после смерти	2	1
249	в третий	1	1
250	ли он	1	1
251	говорить о	1	1
252	литературе и	1	1
253	в предисловии	1	1
254	в эти	2	1
255	и у	3	1
256	в нашей	2	1
257	всяком случае	1	1
258	узнает в	1	1
259	в одном	1	1
260	ее не	1	1
261	у него	5	1
262	и никогда	1	1
263	между прочим	1	1
264	как при	1	1
265	лишь один	1	1
266	и даже	6	1
267	или а	1	1
268	до сих	1	1
269	именно в	1	1
270	как же	2	1
271	такое же	1	1
272	что им	1	1
273	на этот	1	1
274	в рассказе	1	1
275	о чем	2	1
276	уже давно	1	1
277	о себе	3	1
278	же с	1	1
279	этот мотив	1	1
280	по своему	1	1
281	предположить что	1	1
282	может как	1	1
283	что за	1	1
284	не дают	1	1
285	отношения к	2	1
286	что же	1	1
287	еще раз	1	1
288	с любовью	1	1
289	в подобных	1	1
290	сих пор	1	1
291	не будем	1	1
292	у вас	1	1
293	к царю	1	1
294	для описания	1	1
295	но на	1	1
296	для нас	4	1
297	и все	7	1
298	которую он	1	1
299	бы в	1	1
300	возникает вопрос	1	1
301	у которого	1	1
302	или вообще	1	1
303	а н	2	1
304	и начинается	1	1
305	не будет	1	1
306	со мной	1	1
307	равно как	1	1
308	материал и	1	1
309	которым он	1	1
310	который их	1	1
311	только о	1	1
312	влияния на	1	1
313	место принимая	1	1
314	он лишь	1	1
315	в таком	1	1
316	во всяком	1	1
