N	2gram	Kanaev_Sov_1	Problemy
1	и в	7	34
2	и не	6	29
3	как бы	4	27
4	в его	2	22
5	к другому	1	20
6	не может	17	19
7	и все	3	19
8	в нем	3	19
9	может быть	12	19
10	как и	6	18
11	и его	1	16
12	в этом	7	16
13	но в	3	16
14	все это	3	16
15	прежде всего	5	15
16	он не	1	15
17	к нему	1	14
18	то же	3	14
19	самом деле	2	13
20	же время	1	12
21	и к	3	12
22	в то	1	12
23	себя самого	1	11
24	вовсе не	1	11
25	на самом	1	11
26	не только	4	10
27	не в	3	9
28	а не	3	9
29	в другом	1	8
30	точки зрения	12	8
31	так же	1	8
32	с ним	1	8
33	что же	5	8
34	никогда не	1	8
35	и для	1	8
36	самого начала	3	8
37	с самого	3	8
38	в самом	2	8
39	как мы	2	7
40	все же	3	7
41	там где	1	7
42	что в	2	7
43	и даже	2	7
44	в себе	3	6
45	не знает	1	6
46	отношению к	1	6
47	только в	1	6
48	мы уже	1	6
49	с его	1	6
50	ни одного	1	5
51	и наконец	5	5
52	во всяком	2	5
53	все время	1	5
54	таким образом	11	5
55	и у	1	5
56	что это	2	5
57	в конце	3	5
58	в одном	3	5
59	а в	4	5
60	мы должны	4	5
61	он сам	1	5
62	но все	2	5
63	по отношению	1	5
64	в целом	4	5
65	это не	4	5
66	и от	1	5
67	всяком случае	2	5
68	на них	1	5
69	и что	2	5
70	из них	4	5
71	дело идет	1	5
72	все эти	5	4
73	на его	2	4
74	еще не	3	4
75	о другом	1	4
76	бы то	1	4
77	его с	1	4
78	рядом с	1	4
79	при этом	3	4
80	в виде	2	4
81	не принимает	1	4
82	то ни	2	4
83	его в	1	4
84	но не	1	4
85	что все	2	4
86	этом смысле	1	4
87	в начале	1	4
88	но как	1	4
89	вместе с	4	4
90	с точки	5	4
91	и прежде	1	4
92	ни в	1	4
93	ничего не	6	4
94	если бы	1	4
95	человека как	1	4
96	ни было	1	4
97	у него	2	4
98	он в	3	4
99	в мире	1	4
100	на этом	2	4
101	с другой	1	4
102	он с	1	4
103	все равно	1	4
104	и это	1	4
105	только на	1	4
106	так как	4	4
107	но это	1	4
108	их в	4	3
109	в такой	1	3
110	говорить о	2	3
111	жизни и	4	3
112	крайней мере	1	3
113	не менее	2	3
114	что его	1	3
115	к концу	1	3
116	функции в	1	3
117	за собой	1	3
118	и во	2	3
119	его и	1	3
120	по себе	1	3
121	это как	1	3
