N	4gram	Voloshinov_2	Vvedenie
1	в то же время	8	6
2	не что иное как	1	4
3	в широком смысле слова	1	3
4	с одной стороны и	2	3
5	но в то же	5	3
6	для того чтобы понять	2	2
7	как мы уже знаем	2	2
8	дело в том что	1	2
9	на то или иное	1	1
10	только в особых исключительных	1	1
11	одно и то же	3	1
12	так а не иначе	1	1
13	или иной степени в	1	1
14	в той или иной	3	1
15	уже о том что	1	1
16	так как если бы	2	1
17	в особых исключительных случаях	1	1
18	в собственном смысле слова	2	1
19	что и эта черта	1	1
20	говоря уже о том	1	1
21	но во всяком случае	1	1
22	же самое что история	1	1
23	то же самое что	1	1
24	не сам по себе	1	1
25	в самом деле даже	1	1
26	слова для того чтобы	1	1
27	не говоря уже о	1	1
28	именно для того чтобы	2	1
29	не может быть и	2	1
30	по отношению к нему	1	1
31	той или иной степени	2	1
32	но как мы уже	1	1
33	бы то ни было	4	1
34	может быть и речи	2	1
35	одного и того же	4	1
36	в самом деле как	1	1
37	в истории языка и	1	1
38	в соответствии с этим	1	1
39	какой бы то ни	2	1
