N	3gram	Tiupa_Lite_2	Mirosoze
1	не может быть	7	17
2	вместе с тем	1	5
3	прежде всего в	1	2
4	по отношению к	3	2
5	он не может	1	2
6	и не может	1	2
7	что он не	1	2
8	в конце концов	1	2
9	не могут быть	1	2
10	для того чтобы	1	2
11	нет и не	1	1
12	ни с какой	1	1
13	может быть названа	1	1
14	в русской поэзии	1	1
15	и не было	1	1
16	свобода есть свобода	1	1
17	в отличие от	1	1
18	и т п	2	1
19	у него нет	1	1
20	жизни и в	1	1
21	он преодолевается как	1	1
22	быть может наиболее	1	1
23	имел в виду	1	1
24	что человек всегда	1	1
25	для него как	1	1
26	это прежде всего	2	1
27	во всех этих	1	1
28	не в том	1	1
29	тем что в	1	1
30	не мог бы	1	1
31	в себе и	1	1
32	с первого дня	1	1
33	жизни а не	1	1
34	себя в них	1	1
35	но и он	1	1
36	о том что	2	1
37	можно было бы	1	1
38	во многих отношениях	1	1
39	в том что	5	1
40	не так как	2	1
