N	3gram	Tiupa_Vved_1	Literetu
1	в том что	3	11
2	в то же	4	5
3	состоит в том	2	5
4	в отличие от	2	5
5	то же время	3	5
6	не только в	2	4
7	в связи с	1	4
8	в конечном счете	1	4
9	в данном случае	6	4
10	в том же	1	3
11	и прежде всего	1	3
12	том же году	1	3
13	по аналогии с	1	3
14	не сводится к	4	3
15	подобно тому как	2	2
16	и тем самым	2	2
17	о том что	4	2
18	с легкой руки	2	2
19	по отношению к	7	2
20	с одной стороны	5	2
21	как сказано в	1	2
22	в коммуникативном событии	1	2
23	из того что	1	2
24	в своем составе	1	2
25	не могло быть	1	2
26	но при этом	2	2
27	в этом отношении	4	2
28	тем не менее	3	2
29	в е годы	1	2
30	во всяком случае	1	2
31	объекта и адресата	1	2
32	мир персонажей как	1	1
33	в этом и	1	1
34	по сути своей	1	1
35	по большей части	3	1
36	литературная классика xix	1	1
37	в евгении онегине	1	1
38	в первой главе	1	1
39	в том числе	1	1
40	который известен только	1	1
41	и который известен	1	1
42	мира представляет собой	1	1
43	другого в этом	1	1
44	была выявлена и	1	1
45	не только от	1	1
46	а то и	2	1
47	том или ином	1	1
48	всегда всему свету	1	1
49	в целом как	1	1
50	жизни но и	1	1
51	неизвестен и который	1	1
52	в предсмертном бреду	1	1
53	при всем многообразии	1	1
54	в этом ракурсе	1	1
55	на второй план	1	1
56	свету остается неизвестен	1	1
57	и в этом	1	1
58	войне и мире	2	1
59	то что просто	1	1
60	а не только	1	1
61	в ответ на	1	1
62	же время у	1	1
63	аналог действительного мира	1	1
64	с другой стороны	1	1
65	здесь как и	1	1
66	к тому же	4	1
67	без другого в	1	1
68	а с другой	2	1
69	всему свету остается	1	1
70	в этом последнем	1	1
71	уединенного сознания это	1	1
72	такого рода не	1	1
73	тогда как в	1	1
74	собственно говоря и	1	1
75	в силу его	1	1
76	и того же	1	1
77	в воспринимающем сознании	1	1
78	на первый взгляд	1	1
79	в рамках которого	1	1
80	который всегда всему	1	1
81	может быть названа	1	1
82	можно было бы	2	1
83	при этом значимость	1	1
84	на самом деле	3	1
85	пока еще не	3	1
86	но только в	1	1
87	конвергенции схождения сознаний	1	1
88	потому что я	1	1
89	между двумя или	2	1
90	на то что	1	1
91	сказано в тексте	1	1
92	в значительной степени	1	1
93	в равной степени	1	1
94	одного и того	1	1
95	известен только им	1	1
96	субъекта объекта и	1	1
97	сюда же следует	1	1
98	едва ли не	2	1
99	же году в	1	1
100	в области художественной	1	1
101	становится одним из	2	1
102	в той мере	2	1
103	в полной мере	1	1
104	и рецептивного сознаний	1	1
105	в зависимости от	1	1
106	том что печорин	1	1
107	остается неизвестен и	1	1
108	двумя или несколькими	2	1
109	не столько в	1	1
110	к себе в	1	1
111	создается не столько	1	1
112	взаимодействия субъекта объекта	1	1
113	и рецептивного сознания	1	1
114	классика xix столетия	1	1
115	в войне и	2	1
116	мы имеем дело	3	1
117	а не в	1	1
118	так и не	1	1
119	как уже говорилось	1	1
120	к тому чтобы	1	1
121	а не как	1	1
122	но и от	1	1
123	в свою очередь	4	1
124	по воле автора	1	1
125	креативного и рецептивного	1	1
126	герой нашего времени	1	1
127	если говорить о	1	1
128	в соответствии с	6	1
129	по крайней мере	1	1
130	окружающей его жизни	1	1
131	же следует отнести	1	1
132	не может быть	3	1
