N	2gram	Berdyaev_M_2	Sovremen
1	не может	15	17
2	может быть	21	12
3	точки зрения	2	12
4	мы не	1	9
5	в каждом	3	8
6	в этом	20	7
7	и в	46	7
8	ничего не	2	6
9	как и	13	6
10	и не	18	6
11	все эти	1	5
12	что же	2	5
13	прежде всего	12	5
14	с точки	1	5
15	вопрос о	6	4
16	нет и	1	4
17	мы должны	1	4
18	в том	3	4
19	в целом	1	4
20	так как	8	4
21	не только	18	4
22	в развитии	1	4
23	как бы	8	4
24	вместе с	2	4
25	это не	5	4
26	их в	1	4
27	а в	2	4
28	жизни и	6	4
29	он может	1	3
30	то же	5	3
31	может не	1	3
32	у всех	2	3
33	в органической	1	3
34	но в	10	3
35	он в	3	3
36	в этой	7	3
37	в себе	10	3
38	уже в	2	3
39	как он	3	3
40	что она	5	3
41	в конце	5	3
42	в нем	22	3
43	было бы	1	3
44	а не	13	3
45	и потому	7	3
46	не в	9	3
47	все это	1	3
48	а все	1	3
49	и все	5	3
50	у нас	11	3
51	и к	7	3
52	отличается от	1	3
53	и есть	8	2
54	приводит к	1	2
55	роль в	1	2
56	все те	1	2
57	той же	3	2
58	на этом	2	2
59	говорить о	1	2
60	и что	2	2
61	на их	1	2
62	и во	3	2
63	самом деле	1	2
64	в его	5	2
65	с этим	1	2
66	быть и	2	2
67	только один	1	2
68	в самом	5	2
69	к чему	4	2
70	в которой	2	2
71	что это	6	2
72	в нашем	7	2
73	со всеми	1	2
74	и они	1	2
75	уже не	4	2
76	на его	2	2
77	у него	22	2
78	ее на	1	2
79	но все	1	2
80	что все	5	2
81	или иной	2	2
82	которой он	1	2
83	как угодно	1	2
84	первые два	1	2
85	что такое	1	2
86	он должен	1	2
87	всего только	1	2
88	такого рода	2	2
89	это за	1	2
90	и именно	1	2
91	еще более	2	2
92	в новых	2	2
93	мы видим	2	2
94	не дает	1	2
95	тот же	2	2
96	в свою	4	2
97	представлять себе	1	2
98	не могут	1	2
99	что в	4	2
100	а может	1	1
101	должен быть	4	1
102	и это	5	1
103	совпадают с	1	1
104	человека и	7	1
105	на самом	1	1
106	это и	3	1
107	целостность целостность	1	1
108	между двумя	1	1
109	отношению к	2	1
110	по преимуществу	5	1
111	не имеют	2	1
112	что такой	1	1
113	значение но	1	1
114	в мире	7	1
115	можно было	2	1
116	этом направлении	1	1
117	те же	5	1
118	их и	1	1
119	есть не	5	1
120	в социальном	1	1
121	начала должны	1	1
122	же как	3	1
123	еще в	2	1
124	когда в	1	1
125	если бы	3	1
126	существенно отличается	1	1
127	с человеком	1	1
128	совсем иное	2	1
129	что иное	3	1
130	и гармонии	1	1
131	жизни которое	1	1
132	в будущем	1	1
133	для нашей	2	1
134	и должно	3	1
135	или как	1	1
136	того же	1	1
137	о том	3	1
138	в ней	11	1
139	и та	2	1
140	вражда к	1	1
141	не соответствует	1	1
142	она всегда	1	1
143	на них	1	1
144	он сам	6	1
145	иное как	3	1
146	быть в	1	1
147	его в	3	1
148	с его	4	1
149	во всех	2	1
150	как нет	1	1
151	совсем не	5	1
152	к этому	1	1
153	и все-таки	1	1
154	друг на	1	1
155	если в	1	1
156	во втором	1	1
157	по отношению	2	1
158	а потому	1	1
159	с поразительной	1	1
160	к концу	1	1
161	все время	2	1
162	человека как	1	1
163	независимо от	1	1
164	к которому	3	1
165	к нему	2	1
166	против него	1	1
167	один из	5	1
168	образуются два	1	1
169	природой и	3	1
170	ли он	1	1
171	в действительности	2	1
172	увидим что	2	1
173	только в	3	1
174	на какой	2	1
175	правда и	1	1
176	то он	2	1
177	он уже	2	1
178	та же	10	1
179	к другому	3	1
180	одни и	2	1
181	нет свободы	1	1
182	и тот	2	1
183	и у	1	1
184	мира но	1	1
185	и те	2	1
186	ни одного	2	1
187	пусть это	1	1
188	этот процесс	2	1
189	и если	2	1
190	и чисто	1	1
191	не принимает	1	1
192	в первых	1	1
193	он не	10	1
194	его и	1	1
195	искать в	1	1
196	себе в	2	1
197	к одному	1	1
198	для них	1	1
199	но что	1	1
200	не случайно	2	1
201	одной и	2	1
202	кто этот	1	1
203	или так	1	1
204	не из	1	1
205	и только	1	1
206	не будет	3	1
207	в другом	1	1
208	чем в	2	1
209	до сих	3	1
210	с другой	1	1
211	как у	2	1
212	может ли	1	1
213	и прежде	1	1
214	такое же	1	1
215	на которые	1	1
216	в природе	1	1
217	его с	2	1
218	на поверхности	4	1
219	ни в	3	1
220	он начал	1	1
221	нет в	4	1
222	не было	11	1
223	она и	1	1
224	все равно	3	1
225	этого не	1	1
226	на друга	1	1
227	они одинаково	1	1
228	одна и	3	1
229	для чего	3	1
230	на эту	1	1
231	не допускает	1	1
232	должно быть	2	1
233	связей и	1	1
234	и становится	1	1
235	том что	4	1
236	но если	1	1
237	так же	6	1
238	в такой	3	1
239	уже к	1	1
240	она в	1	1
241	но никогда	1	1
242	существо и	1	1
243	xix века	1	1
244	от его	2	1
245	и той	2	1
246	но эта	2	1
247	которые в	2	1
248	а потом	1	1
249	и более	1	1
250	мере в	1	1
251	жизни в	3	1
252	если нет	8	1
253	по себе	2	1
254	в своем	8	1
255	и нет	3	1
256	сих пор	3	1
257	но они	1	1
258	с ним	3	1
259	все три	1	1
260	она не	8	1
261	быть при	1	1
262	и тогда	3	1
263	но для	2	1
264	для каждого	1	1
265	которых он	1	1
266	не имеет	4	1
267	без остатка	1	1
268	и от	3	1
269	конца к	1	1
270	он с	1	1
271	никогда не	18	1
272	организма но	1	1
273	и всегда	3	1
274	это совершенно	1	1
275	человек и	2	1
276	хотя и	2	1
277	только и	4	1
278	жизни не	2	1
279	и ответственности	1	1
280	и первое	1	1
281	же этот	1	1
282	все они	1	1
283	и его	5	1
284	связи с	2	1
285	был прежде	1	1
286	на такой	1	1
287	но это	8	1
288	могли быть	1	1
289	всеми его	1	1
290	а о	1	1
291	между ними	1	1
292	не знает	9	1
293	сказать что	3	1
294	не быть	1	1
295	и для	7	1
296	в духе	5	1
297	не что	3	1
298	свободы и	4	1
299	человека в	14	1
300	в свое	1	1
301	есть то	1	1
302	что наш	1	1
303	в какой	1	1
304	в окончательном	1	1
305	той или	1	1
306	в своих	3	1
307	и эта	2	1
308	которая не	1	1
309	все что	4	1
310	они не	4	1
