N	3gram	Tiupa_Anal_2	StatiiOP
1	в том что	6	16
2	о том что	6	11
3	в этом отношении	3	9
4	к тому что	1	5
5	обращает на себя	3	3
6	с другой стороны	2	3
7	речь идет о	1	3
8	в сочетании с	7	2
9	на себя внимание	3	2
10	с точки зрения	2	2
11	сами по себе	1	2
12	в отличие от	2	2
13	в значительной степени	2	2
14	в этом месте	1	2
15	и в этом	4	2
16	более или менее	1	2
17	не только не	2	2
18	в самом деле	1	2
19	на то что	2	2
20	в том смысле	1	2
21	тем не менее	3	2
22	к тому же	4	2
23	а между тем	1	1
24	в обоих случаях	2	1
25	должна была бы	1	1
26	одним и тем	1	1
27	между прочим и	1	1
28	его собственному признанию	1	1
29	не столько с	1	1
30	в этом смысле	2	1
31	внимание на то	1	1
32	в ответ на	2	1
33	он не только	1	1
34	то что с	1	1
35	еще и до	1	1
36	в первую очередь	1	1
37	точно так же	1	1
38	на этот вопрос	1	1
39	одно и то	1	1
40	а как бы	1	1
41	из того же	1	1
42	в данном случае	5	1
43	и тем же	1	1
44	том смысле что	1	1
45	не хотелось бы	1	1
46	и то же	1	1
47	очень близко к	1	1
48	в известном смысле	1	1
49	как она была	1	1
50	так или иначе	1	1
51	одни и те	1	1
52	в связи с	1	1
53	так и на	1	1
54	в свое время	1	1
55	той точки зрения	1	1
56	по отношению к	4	1
57	а то что	1	1
58	то же время	2	1
59	заключается в том	1	1
60	в свою очередь	1	1
61	в этом случае	4	1
62	во второй половине	1	1
63	и те же	1	1
64	в то же	2	1
65	в том-то и	1	1
66	ответ на вопрос	1	1
67	в отношении к	1	1
68	по его собственному	1	1
69	дело не в	1	1
