N	3gram	Ircho_Kome_1	Vladivir
1	в том что	9	9
2	во всяком случае	2	6
3	в то время	5	6
4	тем не менее	1	6
5	что же касается	1	5
6	в эти годы	2	4
7	в это время	1	4
8	можно судить по	2	4
9	более или менее	1	3
10	в отличие от	1	3
11	в то же	4	3
12	на этот раз	1	3
13	в конце концов	4	3
14	так или иначе	1	3
15	то же время	4	3
16	о том что	3	3
17	т i с	1	3
18	хотя и не	1	2
19	не говоря уже	2	2
20	на то что	2	2
21	том что он	4	2
22	в том же	1	2
23	можно было бы	1	2
24	говоря уже о	2	2
25	сам по себе	1	2
26	в данном случае	1	2
27	не только в	1	2
28	и на его	1	2
29	к этому времени	1	2
30	во второй половине	2	2
31	в течение всей	1	2
32	после того как	3	2
33	как мы видели	1	2
34	наконец в г	1	1
35	что иное как	1	1
36	да и в	1	1
37	и в конце	1	1
38	чуть ли не	1	1
39	конце концов в	1	1
40	со своей стороны	1	1
41	именно здесь в	1	1
42	в том числе	1	1
43	ни в этой	1	1
44	до сих пор	2	1
45	которую он считал	1	1
46	бы то ни	2	1
47	у него не	1	1
48	а может быть	1	1
49	в этом отношении	3	1
50	как тот же	1	1
51	что все это	1	1
52	в году он	1	1
53	в следующем году	1	1
54	вместе с тем	1	1
55	в самом начале	1	1
56	на третьем месте	1	1
57	до конца и	1	1
58	за несколько месяцев	1	1
59	в высшей степени	1	1
60	что эти слова	1	1
61	том же году	1	1
62	то время как	4	1
63	за собой и	1	1
64	март г в	1	1
65	из других источников	1	1
66	в первую очередь	2	1
67	из них не	1	1
68	и в том	1	1
69	нет никаких оснований	1	1
70	насколько можно судить	1	1
71	в той же	1	1
72	но и она	1	1
73	в тех же	2	1
74	и особенно в	1	1
75	с самого начала	1	1
76	и прежде всего	1	1
77	в течение всего	1	1
78	из этих элементов	1	1
79	к нему с	1	1
80	несколько месяцев до	1	1
81	как мы уже	1	1
82	не что иное	1	1
83	в этот период	1	1
84	или вовсе не	1	1
85	для того чтобы	1	1
86	может быть в	1	1
87	к тому же	5	1
88	в отрыве от	1	1
89	и т д	4	1
