N	3gram	Vinokur_St_1	VLabPisa
1	и т д	21	15
2	в этом отношении	7	13
3	и т п	9	9
4	с другой стороны	6	8
5	не может быть	5	8
6	по отношению к	3	7
7	по этому поводу	2	7
8	в зависимости от	1	5
9	хотя бы и	2	5
10	то же время	4	5
11	в то же	4	5
12	в том что	17	4
13	о том как	1	3
14	как это делает	1	3
15	и в то	1	3
16	в этой области	5	3
17	о том что	11	3
18	в одном из	1	3
19	хотя бы в	1	3
20	к тому что	1	3
21	в другом месте	1	2
22	том отношении что	2	2
23	не может не	1	2
24	чуть ли не	2	2
25	также и в	1	2
26	в том числе	2	2
27	до сих пор	7	2
28	каждой из этих	1	2
29	только то что	1	2
30	таким образом в	1	2
31	можно было бы	8	2
32	и не может	1	2
33	по крайней мере	2	2
34	в том чтобы	1	2
35	на эти вопросы	3	2
36	с одной стороны	2	2
37	в конце концов	1	2
38	во всех этих	1	2
39	нет никаких оснований	1	2
40	во всяком случае	6	2
41	в том отношении	4	2
42	том числе и	2	2
43	в каждом отдельном	1	2
44	для того чтобы	10	2
45	то все же	1	1
46	даже и в	1	1
47	у пушкина в	1	1
48	том смысле что	1	1
49	на этот вопрос	1	1
50	в той или	1	1
51	в которой он	1	1
52	в прямом смысле	1	1
53	то время как	1	1
54	по меньшей мере	3	1
55	в самом деле	5	1
56	но даже и	1	1
57	вот несколько примеров	2	1
58	и по отношению	1	1
59	в этом смысле	1	1
60	а не по	1	1
61	т е не	1	1
62	в соответствии с	1	1
63	в том же	1	1
64	его работе над	1	1
65	же как и	1	1
66	представляет собою особенно	1	1
67	говоря уже о	1	1
68	сами по себе	1	1
69	что он не	1	1
70	но и в	2	1
71	т д но	4	1
72	только в том	3	1
73	то что в	2	1
74	из них и	1	1
75	прежде всего необходимо	1	1
76	оснований видеть в	1	1
77	еще не означает	1	1
78	это вовсе не	1	1
79	ответа на эти	1	1
80	может быть и	2	1
81	как увидим ниже	1	1
82	см хотя бы	1	1
83	то или иное	3	1
84	говорит о том	2	1
85	некоторые из них	1	1
86	ту или иную	1	1
87	так или иначе	2	1
88	в применении к	3	1
89	уже о том	1	1
90	можно ли считать	1	1
91	в данном случае	6	1
92	может быть даже	1	1
93	но в то	2	1
94	не только в	4	1
95	и это самое	1	1
96	в печатном тексте	1	1
97	так же как	3	1
98	имеет ничего общего	2	1
99	как будто бы	1	1
100	никаких оснований видеть	1	1
101	которая должна быть	1	1
102	имеем дело с	2	1
103	т е тот	1	1
104	не в том	2	1
105	пушкину и в	1	1
106	ответ на этот	1	1
107	для правильного понимания	1	1
108	а между тем	1	1
109	не имеет ничего	2	1
110	именно в том	1	1
111	может быть никакого	1	1
112	нет ни одного	1	1
113	того или иного	4	1
114	а в том	1	1
115	сих пор не	1	1
116	но с другой	2	1
117	в то время	2	1
118	не говоря уже	1	1
119	отношении что они	2	1
120	спорного и просто	1	1
121	т е из	1	1
122	об этом у	1	1
123	быть и речи	1	1
124	и никогда не	1	1
125	те или иные	1	1
126	ничего общего с	3	1
127	и без того	1	1
128	обратил внимание на	1	1
129	может быть признана	1	1
130	вопрос о том	2	1
131	в статье о	2	1
132	той или иной	1	1
133	в этой системе	1	1
134	мы говорим о	1	1
135	что в своем	1	1
136	этой области не	1	1
137	после того как	1	1
138	действительному положению вещей	1	1
139	том что и	1	1
140	в том смысле	2	1
141	мы имеем дело	1	1
142	дают возможность поднять	1	1
143	в результате этого	1	1
144	дело не в	2	1
145	могло бы быть	1	1
146	не значит что	3	1
147	что он в	1	1
148	этому поводу с	1	1
149	т е в	2	1
