N	4gram	Savitsky_E_1	Myshleni
1	в то время как	1	4
2	так же как и	3	4
3	заключается в том что	2	4
4	с одной стороны и	6	1
5	дело в том что	1	1
6	с другой стороны в	1	1
7	если оставить в стороне	1	1
8	и с точки зрения	1	1
9	и та и другая	1	1
10	и в то же	8	1
11	и не быть в	1	1
12	в том числе и	1	1
13	с точки зрения развития	1	1
14	с этой точки зрения	5	1
15	в то же время	14	1
16	в некотором смысле она	1	1
17	о котором мы говорили	1	1
18	из того что в	1	1
19	то же время не	1	1
20	в тех случаях когда	1	1
21	того что мы знаем	1	1
