N	3gram	Savitsky_P_1	Analitik
1	в том что	4	6
2	с одной стороны	3	4
3	и в этом	1	4
4	а л и	1	2
5	в этом смысле	1	2
6	с точки зрения	3	2
7	в то же	7	2
8	и то что	1	2
9	не только в	4	2
10	в отличие от	1	2
11	с другой стороны	1	2
12	в частности в	1	2
13	л и з	1	2
14	то же время	7	2
15	в борьбе с	1	2
16	и тем самым	1	2
17	и к а	1	2
18	а ц и	2	2
19	более или менее	1	1
20	начала и конца	1	1
21	хотя бы и	1	1
22	сами по себе	3	1
23	но и в	2	1
24	о с с	1	1
25	и если бы	2	1
26	к а л	1	1
27	в полной мере	2	1
28	в применении к	1	1
29	в известном смысле	1	1
30	общественной и частной	1	1
31	р и т	1	1
32	не может быть	1	1
33	заключается в том	2	1
34	в отношении к	5	1
35	друг с другом	1	1
36	на наш взгляд	1	1
