N	3gram	Vygotskiy__5	Stilisti
1	в зависимости от	6	7
2	для того чтобы	19	7
3	мы никогда не	2	5
4	с точки зрения	2	5
5	того или иного	1	5
6	и то же	3	4
7	то же самое	3	4
8	одно и то	3	4
9	то что мы	2	4
10	в свою очередь	1	4
11	с самого начала	3	4
12	той или иной	2	4
13	на самом деле	2	3
14	в этом случае	2	3
15	заключает в себе	4	3
16	то или иное	1	3
17	не только в	2	3
18	в конце концов	2	3
19	и т.п и	1	3
20	и той же	2	2
21	равно как и	1	2
22	мы не имеем	1	2
23	вместе с тем	3	2
24	в этом отношении	3	2
25	и для того	1	2
26	только потому что	1	2
27	содержание и форму	1	2
28	смысле этого слова	1	2
29	зависимости от того	2	2
30	чуть ли не	1	2
31	как бы в	2	2
32	у нас не	1	2
33	не может быть	2	2
34	и как бы	4	2
35	не что иное	2	2
36	и тем же	3	2
37	о том что	6	2
38	что иное как	2	2
39	можно сказать что	2	2
40	к тому что	6	2
41	мы видим что	3	2
42	одной и той	2	2
43	что у нас	1	2
44	все то что	2	2
45	мы видели что	1	2
46	это же самое	1	1
47	в другом месте	1	1
48	и того же	2	1
49	по себе не	2	1
50	мы должны будем	2	1
51	как только мы	1	1
52	прежде всего на	1	1
53	или иного решения	1	1
54	одним и тем	3	1
55	по отношению к	1	1
56	более или менее	1	1
57	не только о	1	1
58	в самом деле	5	1
59	для наших целей	1	1
60	то есть к	1	1
61	должен был бы	3	1
62	и при этом	1	1
63	мы увидим то	1	1
64	до сих пор	5	1
65	связь между языком	1	1
66	котором мы говорили	2	1
67	иметь дело со	1	1
68	в собственном смысле	1	1
69	несмотря на это	1	1
70	можно было бы	3	1
71	в нашем сознании	1	1
72	на этот вопрос	3	1
73	которая могла бы	1	1
74	они находятся в	1	1
75	по крайней мере	1	1
76	между языком и	1	1
77	и уже через	1	1
78	если мы возьмем	1	1
79	язык и что	1	1
80	и в эти	1	1
81	в литературном произведении	1	1
82	никогда не найдем	2	1
83	тем что он	1	1
84	мы можем подвести	1	1
85	и в этом	1	1
86	по сравнению с	4	1
87	и никак не	1	1
88	мы показали что	1	1
89	благодаря тому что	1	1
90	как и вообще	1	1
91	согласие или несогласие	1	1
92	иметь в виду	3	1
93	но вместе с	1	1
94	мы говорили выше	2	1
95	собственном смысле слова	1	1
96	которое существует между	2	1
97	и вот это	1	1
98	и в романе	1	1
99	но не только	1	1
100	о котором мы	3	1
101	когда мы говорили	1	1
102	и все же	1	1
103	первой и второй	1	1
104	мы не можем	1	1
105	таким образом мы	2	1
106	то для того	1	1
107	само по себе	2	1
108	в конечном счете	1	1
109	не только не	4	1
110	вопрос о том	2	1
111	в русской литературе	1	1
112	и тем более	1	1
113	мы имеем в	1	1
114	с другой стороны	5	1
115	они как бы	1	1
116	одного и того	2	1
117	для этого необходимо	2	1
118	это сделать то	1	1
119	мы все же	3	1
120	в том что	14	1
121	именно потому что	2	1
122	мы увидим что	6	1
123	в жизни и	1	1
124	тому же способу	1	1
125	тот факт что	4	1
