N	2gram	Tiupa_Narr_2	DiskursI
1	в качестве	14	34
2	не только	26	28
3	в том	14	23
4	а не	17	22
5	то есть	9	20
6	тогда как	15	19
7	том что	13	19
8	представляет собой	16	17
9	может быть	10	17
10	как и	4	16
11	и в	13	16
12	в этом	13	15
13	еще не	2	14
14	коммуникативного события	8	14
15	но и	15	14
16	при этом	14	13
17	дискурсивных практик	1	13
18	и т.п	6	12
19	по своей	3	11
20	но не	3	11
21	прежде всего	6	11
22	и не	14	11
23	как в	5	10
24	далеко не	5	10
25	с другой	5	10
26	по отношению	5	9
27	в нем	5	9
28	не может	8	9
29	состоит в	12	9
30	с одной	5	9
31	одной стороны	5	9
32	в частности	11	9
33	отношению к	5	9
34	отнюдь не	4	8
35	но в	6	8
36	своего рода	9	8
37	о том	5	8
38	так и	9	8
39	а также	6	8
40	в себе	8	7
41	то же	4	7
42	художественного письма	2	7
43	не в	8	7
44	в основе	1	7
45	роль в	2	7
46	со стороны	6	7
47	в его	6	7
48	только в	11	7
49	высказывания в	1	6
50	в своем	6	6
51	пока еще	3	6
52	и как	1	6
53	в составе	2	5
54	во всех	1	5
55	отличие от	5	5
56	в рамках	6	5
57	природе своей	1	5
58	тому же	4	5
59	в силу	4	5
60	[...] в	1	5
61	в котором	5	5
62	в отличие	5	5
63	в процессе	2	5
64	в себя	4	5
65	сводится к	9	5
66	по природе	1	5
67	коммуникативное событие	6	5
68	или иной	3	5
69	можно сказать	6	5
70	а с	2	5
71	дискурса и	1	5
72	в данном	10	5
73	как бы	6	5
74	к тому	9	5
75	а в	9	5
76	то что	8	5
77	в своей	4	5
78	в нарративном	2	4
79	втором значении	1	4
80	и о	1	4
81	в которых	1	4
82	с его	3	4
83	в сторону	1	4
84	отношение к	1	4
85	и к	6	4
86	уже не	4	4
87	в целом	3	4
88	дискурса как	2	4
89	претендует на	1	4
90	и дискурс	1	4
91	потому что	2	4
92	для себя	3	4
93	по сути	1	4
94	писал бахтин	1	4
95	и т.д	4	4
96	внимание на	3	4
97	же время	3	4
98	между тем	3	4
99	как правило	3	4
100	одной из	1	4
101	что он	5	4
102	для него	4	4
103	не обязательно	2	4
104	что не	1	4
105	связи с	1	4
106	такого рода	12	4
107	не является	4	4
108	не предполагает	1	4
109	что в	4	4
110	также и	1	3
111	того же	1	3
112	и потому	1	3
113	в каждой	2	3
114	столь же	2	3
115	той или	3	3
116	в одной	1	3
117	перед нами	4	3
118	в самом	2	3
119	т.п но	1	3
120	нарративный дискурс	2	3
121	вследствие этого	2	3
122	зрения на	2	3
123	это не	3	3
124	по мысли	5	3
125	события рассказывания	7	3
126	ведет к	2	3
127	и того	3	3
128	точки зрения	5	3
129	в ходе	1	3
130	самого рассказывания	2	3
131	в своих	2	3
132	однако в	2	3
133	нарративного дискурса	8	3
134	в то	5	3
135	принадлежат к	1	3
136	качестве дискурса	1	3
137	к той	1	3
138	таким образом	5	3
139	ли не	1	3
140	излагаемых событий	1	3
141	в строгом	2	3
142	в ситуации	1	3
143	но при	4	3
144	в ее	4	3
145	времени и	4	3
146	не с	1	3
