N	3gram	Bakhtin_sl_2	Komedia
1	в том что	4	9
2	и т п	33	5
3	с другой стороны	1	5
4	том что он	1	4
5	то же время	4	4
6	в то же	4	4
7	и т д	2	4
8	по отношению к	4	3
9	в этом отношении	3	3
10	речь идет о	1	3
11	с одной стороны	5	3
12	о том что	1	3
13	но и в	1	2
14	до сих пор	2	2
15	как и в	1	2
16	во всяком случае	2	2
17	на протяжении всего	1	2
18	на то что	1	2
19	в новое время	2	2
20	таким образом в	1	2
21	но прежде всего	2	1
22	том что в	1	1
23	до конца в	1	1
24	хотя и не	1	1
25	время от времени	1	1
26	более или менее	2	1
27	большей или меньшей	1	1
28	на этом фоне	1	1
29	и даже не	1	1
30	и все остальные	1	1
31	в том числе	1	1
32	и не только	1	1
33	в зависимости от	4	1
34	в чем не	2	1
35	со всех сторон	1	1
36	в значительной степени	6	1
37	в применении к	1	1
38	к сожалению не	1	1
39	и его современников	1	1
40	не только в	2	1
41	в той же	1	1
42	в чем же	1	1
43	в отличие от	12	1
44	для этой цели	1	1
45	если они не	1	1
46	поэтому и в	1	1
47	о которых мы	1	1
48	и в дальнейшем	1	1
49	ни в чем	2	1
50	может быть также	1	1
51	что он не	1	1
52	и особенно в	1	1
53	как один из	1	1
54	до конца и	1	1
55	с самого начала	1	1
56	т п в	2	1
57	может и не	1	1
58	в другом случае	1	1
59	в большинстве случаев	5	1
60	как мы уже	2	1
61	в отношении к	4	1
62	тем не менее	1	1
63	как мы видели	1	1
64	для того чтобы	2	1
