N	3gram	Vinokur_Ku_2	Otkroven
1	для того чтобы	8	3
2	что же это	1	2
3	не может быть	4	2
4	ли сказать что	1	2
5	можно ли сказать	1	2
6	не могут быть	1	2
7	и никогда не	1	2
8	смысле этого слова	1	1
9	по сравнению с	1	1
10	хотя и не	1	1
11	по природе своей	1	1
12	в виду не	1	1
13	не в том	1	1
14	прежде всего в	1	1
15	том что в	1	1
16	что и это	1	1
17	но в этой	1	1
18	я имею в	1	1
19	в самом деле	7	1
20	дана уже в	1	1
21	и в том	2	1
22	в совершенно ином	1	1
23	должен был бы	1	1
24	да и то	1	1
25	находится в противоречии	1	1
26	имею в виду	1	1
27	во всяком случае	5	1
28	том случае если	2	1
29	сам по себе	1	1
30	в том только	1	1
31	в иных случаях	1	1
32	потому что у	1	1
33	само по себе	5	1
34	после того как	1	1
35	о том что	1	1
36	в этом отношении	3	1
37	и все это	1	1
38	и в самом	2	1
39	и прежде всего	1	1
40	в том что	10	1
41	что не в	1	1
42	и дело что	1	1
43	на то что	2	1
44	в первый период	2	1
45	и не в	1	1
46	в том случае	2	1
47	и то что	1	1
48	что не все	1	1
49	вместо того чтобы	1	1
50	как и в	1	1
51	в противоречии с	1	1
