N	2gram	Losev_Prob_4	UchenyiS
1	и в	20	14
2	а не	7	10
3	не только	24	10
4	прежде всего	11	8
5	и не	28	8
6	не может	5	7
7	в этом	9	7
8	то что	15	7
9	может быть	9	6
10	в искусстве	1	6
11	то же	7	5
12	и только	4	5
13	художественное произведение	1	5
14	в художественном	4	5
15	все это	9	5
16	хотя бы	7	5
17	перестает быть	2	5
18	с другой	7	4
19	но и	14	4
20	в их	1	4
21	в россии	1	4
22	в этой	4	4
23	конечно не	3	4
24	то ни	1	3
25	и то	2	3
26	это не	7	3
27	было бы	14	3
28	как и	6	3
29	для этого	2	3
30	в частности	2	3
31	в своей	4	3
32	бы то	1	3
33	этой области	1	3
34	произведения искусства	2	3
35	в то	4	3
36	все же	2	3
37	но в	8	3
38	в области	3	3
39	только к	3	3
40	у нас	14	3
41	другой стороны	6	3
42	для него	3	3
43	не как	1	3
44	ни было	2	3
45	не о	1	3
46	что все	1	2
47	крайней мере	6	2
48	одним из	1	2
49	и с	7	2
50	художественного произведения	1	2
51	а его	2	2
52	до сих	1	2
53	это было	2	2
54	самом деле	3	2
55	художественных произведений	1	2
56	в буквальном	3	2
57	к области	1	2
58	превращается в	1	2
59	мы не	7	2
60	о чем	1	2
61	на эту	1	2
62	если бы	8	2
63	что мы	3	2
64	ничего не	1	2
65	как таковой	1	2
66	если не	3	2
67	том что	12	2
68	на первый	1	2
69	но даже	4	2
70	мы и	1	2
71	на каждом	1	2
72	нам представляется	2	2
73	нас в	1	2
74	с его	2	2
75	но не	5	2
76	не все	1	2
77	в его	3	2
78	по крайней	6	2
79	что и	3	2
80	по себе	11	2
81	конце концов	1	2
82	сих пор	1	2
83	но это	6	2
84	этом смысле	3	2
85	могли бы	1	2
86	в том	20	2
87	тех или	4	2
88	это уже	3	2
89	и для	4	2
90	что он	8	2
91	роль не	1	2
92	в себе	12	2
93	в самом	2	2
94	и у	1	2
95	только в	23	2
96	не в	13	2
97	для всех	3	2
98	и является	3	2
99	как принцип	1	2
100	все они	3	2
101	не есть	12	2
102	или иных	3	2
103	бы и	3	2
104	всех этих	6	2
105	не могут	1	2
106	могут быть	1	2
107	в конце	2	2
108	же самое	6	2
109	не случайно	1	2
110	как раз	4	2
111	тем что	3	2
112	что она	4	2
113	таким образом	8	2
114	даже и	13	2
115	он прежде	1	1
116	для себя	2	1
117	и это	2	1
118	тем в	1	1
