N	2gram	Tiupa_Hudo_2	Tvorches
1	и в	28	20
2	и т	4	13
3	не только	11	13
4	т д	2	11
5	м м	1	11
6	никогда не	5	11
7	как бы	5	11
8	в его	11	10
9	в то	6	10
10	и не	18	9
11	и его	5	9
12	же с	1	9
13	и с	6	8
14	прежде всего	3	8
15	при этом	11	8
16	в том	15	8
17	но и	9	8
18	в этом	13	8
19	может быть	8	8
20	же время	4	7
21	не может	4	7
22	потому что	2	7
23	что в	5	7
24	то же	6	7
25	это не	6	7
26	наряду с	5	7
27	как и	11	6
28	так и	8	6
29	в конце	1	6
30	в своей	6	6
31	у него	5	6
32	именно в	2	6
33	все это	3	6
34	а не	14	6
35	что он	8	6
36	но не	4	5
37	все же	2	5
38	еще не	3	5
39	так же	3	5
40	то есть	1	5
41	например в	1	5
42	и сам	5	5
43	и на	3	5
44	в этой	5	5
45	в творчестве	1	5
46	в мире	7	5
47	и даже	1	5
48	о том	12	5
49	читателя в	1	5
50	но это	1	5
51	все эти	1	4
52	что они	4	4
53	отнюдь не	2	4
54	не в	13	4
55	м бахтина	1	4
56	тем самым	2	4
57	мы не	1	4
58	об этом	7	4
59	а в	6	4
60	в принципе	2	4
61	хотя и	1	4
62	что она	7	4
63	соответствии с	3	4
64	как в	5	4
65	в дальнейшем	1	4
66	в душе	8	4
67	за собой	1	4
68	что у	3	4
69	и от	2	4
70	и потому	1	4
71	ничего не	5	4
72	но у	1	4
73	если бы	6	4
74	когда он	1	4
75	героя в	1	4
76	но в	2	4
77	по нашему	1	4
78	в духе	2	4
79	в соответствии	3	4
80	том что	19	4
81	одним из	1	3
82	в себе	9	3
83	жить без	1	3
84	тогда как	7	3
85	место в	2	3
86	одна из	2	3
87	отношению к	7	3
88	любви к	2	3
89	в рассказе	21	3
90	сути дела	1	3
91	до сих	2	3
92	в нем	3	3
93	для него	5	3
94	казалось бы	6	3
95	его в	2	3
96	по сути	1	3
97	он сам	2	3
98	жизни в	7	3
99	одной из	3	3
100	вместе с	2	3
101	с ним	7	3
102	превращается в	4	3
103	с этой	1	3
104	но зато	1	3
105	в начале	1	3
106	в таком	1	3
107	а затем	1	3
108	между тем	8	3
109	и через	1	3
110	человека и	3	3
111	что не	2	3
112	своего рода	16	3
113	в одной	1	3
114	один из	2	3
115	он не	4	3
116	тем что	6	3
117	по самой	1	3
118	уже не	10	3
119	то что	6	3
120	в котором	6	3
121	же как	2	3
122	сих пор	2	3
123	в самом	5	3
124	человека в	4	3
125	главного героя	2	3
126	как у	2	3
127	у нее	10	3
128	нет ничего	2	3
129	в своих	1	3
130	по отношению	7	3
131	и это	3	3
132	к этому	1	3
133	по мнению	1	3
134	не является	2	3
135	так как	1	3
136	а с	3	3
137	это был	2	3
138	не означает	1	2
139	характера а	2	2
140	в которой	1	2
141	приводит к	2	2
142	характера в	1	2
143	писателя в	2	2
144	это все	1	2
145	по словам	1	2
146	достоевского и	1	2
147	говорить о	2	2
148	мы узнаем	1	2
149	другой стороны	1	2
150	для которого	1	2
151	может служить	1	2
152	о своих	1	2
153	и ее	3	2
154	т п	2	2
155	личности в	3	2
156	образ человека	1	2
157	не было	6	2
158	не менее	5	2
159	во что	1	2
160	рядом с	5	2
161	вовсе не	2	2
162	из этой	1	2
163	из нас	2	2
164	в виде	2	2
165	у читателя	1	2
166	и вдруг	1	2
167	его и	2	2
168	к которому	1	2
169	себя в	8	2
170	бы не	3	2
171	так что	1	2
172	с другими	3	2
173	что я	2	2
174	ли не	1	2
175	которой он	1	2
176	в одном	3	2
177	более того	1	2
178	или даже	1	2
179	в искусстве	1	2
180	же не	2	2
181	и только	2	2
182	в ее	18	2
183	к жизни	1	2
184	авторского сознания	1	2
185	из жизни	1	2
186	особенно в	1	2
187	нет и	1	2
188	точка зрения	1	2
189	и других	1	2
190	к миру	1	2
191	имеет в	1	2
192	на наш	4	2
193	на него	3	2
194	героя и	3	2
195	все время	3	2
196	из этого	1	2
197	и лишь	1	2
198	при виде	1	2
199	что на	3	2
200	характеров и	1	2
201	таком случае	1	2
202	тому же	2	2
203	и еще	1	2
204	только через	1	2
205	по причине	2	2
206	для автора	1	2
207	только в	4	2
208	не столько	2	2
209	едва ли	3	2
210	это его	1	2
211	в основе	2	2
212	однако это	1	2
213	него в	1	2
214	это прежде	1	2
215	не могли	1	2
216	в классической	1	2
217	с ними	3	2
218	по преимуществу	3	2
219	а я	1	2
220	том же	1	2
221	не мешает	1	2
222	так сказать	1	2
223	действующих лиц	1	2
224	от ее	1	2
225	и он	3	2
226	тоже не	2	2
227	и что	1	2
228	роль в	2	2
229	их в	1	2
230	не случайно	10	2
231	я не	7	2
232	но ведь	1	2
233	с другой	3	2
234	эта мысль	1	2
235	одном из	1	2
236	наш взгляд	4	2
237	в частности	7	2
238	только для	2	2
239	и у	2	2
240	героя с	1	2
241	самом деле	3	2
242	давно уже	2	2
243	его человеческого	1	2
244	как о	3	2
245	а во	1	2
246	это уже	2	2
247	уже в	1	2
248	из них	2	2
249	сводится к	6	2
250	и тогда	2	2
251	в xix	1	2
252	теперь я	1	2
253	с женой	2	1
254	автора не	1	1
255	известном смысле	1	1
256	ней в	1	1
257	из форм	1	1
258	оказывается не	1	1
259	со своим	3	1
260	в драмах	1	1
261	и братьев	1	1
262	для ее	1	1
263	с матерью	2	1
264	и здесь	1	1
265	не знает	1	1
266	она не	5	1
267	отношении к	1	1
268	на себе	1	1
269	о героях	1	1
270	для нас	3	1
271	по выражению	1	1
272	его героев	1	1
273	характера это	1	1
274	к осознанию	1	1
275	когда же	2	1
276	на деле	1	1
277	в другом	2	1
278	но ни	1	1
279	в поле	1	1
280	же это	1	1
281	и а	2	1
282	отцов и	1	1
283	всю жизнь	1	1
284	но он	1	1
285	не все	3	1
286	власть над	1	1
287	только как	1	1
288	героя который	1	1
289	любовь к	1	1
290	на наших	1	1
291	обыкновенным человеком	1	1
292	думать о	1	1
293	николай иванович	1	1
294	его с	1	1
295	сам он	2	1
296	когда в	3	1
297	этого персонажа	1	1
298	до уровня	1	1
299	отличается от	1	1
300	в один	1	1
301	не была	1	1
302	как некий	1	1
303	и для	2	1
304	его но	1	1
305	для себя	6	1
306	мышления и	1	1
307	как на	2	1
308	жизненная позиция	2	1
309	о своем	4	1
310	у меня	1	1
311	с в	1	1
312	за этим	1	1
313	но при	3	1
314	перед ним	1	1
315	с ней	1	1
316	разговоре с	2	1
317	рядом деталей	1	1
318	это я	1	1
319	о герое	1	1
320	к богу	1	1
321	тайны и	2	1
322	факта что	1	1
323	я должен	1	1
324	окна и	1	1
325	глубокое и	1	1
326	и детей	1	1
327	совершенно как	1	1
328	на образ	1	1
329	еще одну	1	1
330	бы он	1	1
331	числе и	1	1
332	нее была	1	1
333	и подлинное	2	1
334	то он	1	1
335	как видим	2	1
336	который бы	1	1
337	в жизни	8	1
338	в самую	1	1
339	жизненной позиции	1	1
340	при всей	1	1
341	каждого из	1	1
342	рассказа это	2	1
343	в будущее	1	1
344	образом и	1	1
345	смысле что	1	1
346	даже в	1	1
347	у себя	1	1
348	с удовольствием	1	1
349	как было	1	1
350	человек и	1	1
351	автором и	2	1
352	л н	1	1
353	у чехова	9	1
354	и другие	5	1
355	который по	1	1
356	же после	1	1
357	как это	7	1
358	на улице	1	1
359	в голову	2	1
360	что это	5	1
361	если в	2	1
362	личности с	2	1
363	во всех	1	1
364	по себе	1	1
365	держится на	1	1
366	таким же	1	1
367	великого писателя	1	1
368	между автором	2	1
369	себе он	1	1
370	смерти в	1	1
371	и рядом	1	1
372	то или	1	1
373	того или	2	1
374	говорил о	1	1
375	жизнь в	2	1
376	драматического напряжения	1	1
377	и лишена	1	1
378	по разным	1	1
379	а между	4	1
380	с такой	2	1
381	сказал бы	1	1
382	бы уже	1	1
383	эти слова	1	1
384	наших глазах	1	1
385	свою жену	1	1
386	и достоевского	1	1
387	века в	1	1
388	ответ на	2	1
389	на жизнь	1	1
390	в большой	1	1
391	его к	1	1
392	другой день	2	1
393	присутствует в	1	1
394	со смертью	1	1
395	приходит к	2	1
396	чем же	1	1
397	в сердце	1	1
398	но когда	1	1
399	дать лишь	1	1
400	нуждается в	2	1
401	и такие	1	1
402	бахтин а	1	1
403	что же	2	1
404	между собой	1	1
405	мнению ученого	1	1
406	всего что	1	1
407	в тексте	5	1
408	о соотношении	1	1
409	я тоже	1	1
410	тогда в	2	1
411	себе самом	1	1
412	отношение к	2	1
413	похож на	1	1
414	для искусства	1	1
415	совершенно не	1	1
416	которого не	1	1
417	между ними	2	1
418	а лишь	1	1
419	а теперь	1	1
420	о смерти	3	1
421	которого в	1	1
422	знаем что	1	1
423	не знаю	1	1
424	в себя	1	1
425	о которой	2	1
426	сарказма у	1	1
427	его собственная	1	1
428	если можно	2	1
429	к тому	7	1
430	ключевых фраз	2	1
431	к ней	2	1
432	высшей степени	1	1
433	еще более	1	1
434	нам представляется	2	1
435	жизнь и	1	1
436	и о	4	1
437	в этих	3	1
438	духовной жизни	1	1
439	каждым из	1	1
440	мысли и	2	1
441	в любви	2	1
442	и комизма	1	1
443	однако в	2	1
444	не видно	1	1
445	жизни не	2	1
446	когда герой	1	1
447	и к	2	1
448	не остается	1	1
449	виду что	1	1
450	и точно	1	1
451	для меня	1	1
452	теперь же	3	1
453	он будет	2	1
454	узнаем что	1	1
455	нас к	1	1
456	и всякого	1	1
457	как мы	2	1
458	из этих	2	1
459	или иное	1	1
460	это и	1	1
461	что если	1	1
462	уходит в	1	1
463	в сфере	1	1
464	зрения и	1	1
465	но как	1	1
466	поскольку он	1	1
467	конечном счете	3	1
468	лишь в	2	1
469	в городе	4	1
470	г в	1	1
471	пока еще	3	1
472	сатирический персонаж	2	1
473	представляет собой	1	1
474	в силу	1	1
475	в течение	1	1
476	не то	1	1
477	дело в	1	1
478	такова же	1	1
479	личности но	1	1
480	я с	2	1
481	ни о	3	1
482	со злобой	1	1
483	уже давно	1	1
484	всего произведения	1	1
485	как будто	4	1
486	автора и	2	1
487	что от	1	1
488	содержит в	1	1
489	сказать что	2	1
490	как она	1	1
491	в сюжете	1	1
492	перед смертью	2	1
493	в глазах	6	1
494	этой связи	2	1
495	этот момент	1	1
496	такого рода	1	1
497	и люди	1	1
498	том как	2	1
499	сказать в	1	1
500	как только	3	1
501	в жертву	1	1
502	в первом	2	1
503	он был	1	1
504	в церкви	2	1
505	к которой	1	1
506	характер и	2	1
507	от матери	1	1
508	что за	1	1
509	на мир	1	1
510	не с	2	1
511	той же	2	1
512	больше не	1	1
513	сама жизнь	1	1
514	еще раньше	1	1
515	его личности	1	1
516	во второй	2	1
517	не о	1	1
518	то все	1	1
519	есть форма	1	1
520	на другой	2	1
521	человек в	3	1
522	того факта	1	1
523	что все	3	1
524	в каждом	1	1
525	со стороны	3	1
526	по поводу	3	1
527	лежит в	1	1
528	образом в	1	1
529	начале xix	1	1
530	во время	1	1
531	них нет	1	1
532	в них	3	1
533	в конечном	4	1
534	а о	2	1
535	от страха	2	1
536	от своего	2	1
537	из названных	1	1
538	жизни то	2	1
539	и она	1	1
540	а у	1	1
541	художественного целого	5	1
542	не понимают	1	1
543	себе не	1	1
544	мы уже	3	1
545	его личной	1	1
546	на это	1	1
547	будто бы	3	1
548	чехова это	2	1
549	является в	1	1
550	что угодно	1	1
551	признать что	1	1
552	с одной	3	1
553	и хорошо	1	1
554	тому что	4	1
555	в ходе	1	1
556	дома он	1	1
557	что и	4	1
558	и внутреннего	1	1
559	а по	2	1
560	как уже	2	1
561	в момент	1	1
562	а его	1	1
563	не мог	1	1
564	чувство юмора	1	1
565	же о	1	1
566	жить в	3	1
567	иного рода	1	1
568	перед лицом	1	1
569	истории не	1	1
570	т с	2	1
571	говоря словами	1	1
572	случае с	1	1
573	это своего	1	1
574	бы с	2	1
575	не просто	1	1
576	русской классической	1	1
577	ее и	1	1
578	его смерти	1	1
579	то в	4	1
580	глубину и	1	1
581	сострадания и	1	1
582	человека к	1	1
583	человек с	1	1
584	на земле	1	1
585	несмотря на	3	1
586	в с	1	1
587	мысль о	2	1
588	ли он	2	1
589	человечности и	1	1
590	слова не	1	1
591	в различных	1	1
592	о своей	1	1
593	можно так	2	1
594	с его	5	1
595	том числе	1	1
596	характер героя	1	1
597	сразу же	1	1
598	на подобные	1	1
599	не зная	2	1
600	ни был	1	1
601	с детьми	2	1
602	и никогда	1	1
603	и умирает	1	1
604	участие в	1	1
605	самого начала	1	1
606	диалоги и	1	1
607	всякий раз	3	1
608	столь же	3	1
609	ему не	1	1
610	уже говорилось	1	1
611	как личности	1	1
612	с самого	1	1
613	и нет	1	1
614	у окна	1	1
615	не столь	1	1
616	персонаж не	1	1
617	то время	1	1
618	так выразиться	2	1
619	или иного	2	1
620	была бы	3	1
621	развитием сюжета	1	1
622	прибегает к	1	1
623	рассказывать о	1	1
624	в саду	1	1
625	в области	1	1
626	от авторского	1	1
627	причине ее	1	1
628	о будущем	1	1
629	и одновременно	1	1
630	который в	2	1
631	в наиболее	1	1
632	одно только	1	1
633	на свое	1	1
634	мы знаем	2	1
635	представляется нам	2	1
636	и всякая	1	1
637	на себя	3	1
638	боли о	1	1
639	зрелого творчества	1	1
640	этом что	1	1
641	было бы	3	1
642	был не	1	1
643	именно потому	1	1
644	в бога	1	1
645	рассказе она	1	1
646	такое же	1	1
647	нами в	1	1
648	в бесконечность	1	1
649	к себе	3	1
650	как раз	4	1
651	внешнего облика	1	1
652	заключается в	1	1
653	него с	1	1
654	что с	1	1
655	в г	2	1
656	точно так	1	1
657	или иной	2	1
658	перед нами	11	1
659	я тебя	1	1
660	на фоне	3	1
661	он прямо	1	1
662	на свете	1	1
663	еще нет	1	1
664	в пределах	1	1
665	о нем	2	1
666	а сама	1	1
667	до предела	1	1
668	первый раз	1	1
669	без этого	1	1
670	можно было	3	1
671	и вновь	1	1
672	говорили о	2	1
673	с собой	2	1
674	почти ничего	1	1
675	жизни как	5	1
676	об отношении	1	1
677	еще в	1	1
678	встречается в	1	1
679	от которого	2	1
