N	2gram	Trubetskoy_1	UchenyiS
1	и в	23	14
2	а не	1	10
3	не только	7	10
4	и не	8	8
5	прежде всего	3	8
6	в этом	12	7
7	не может	17	7
8	то что	18	7
9	может быть	16	6
10	и только	2	5
11	художественное произведение	1	5
12	все это	11	5
13	перестает быть	1	5
14	то же	4	5
15	хотя бы	4	5
16	в их	4	4
17	что такое	1	4
18	с другой	6	4
19	конечно не	3	4
20	но и	9	4
21	в этой	6	4
22	у нас	3	3
23	бы то	2	3
24	в своей	1	3
25	все же	13	3
26	то ни	3	3
27	в то	6	3
28	же время	2	3
29	пришлось бы	2	3
30	в частности	2	3
31	к сожалению	1	3
32	для этого	7	3
33	другой стороны	5	3
34	очевидно что	3	3
35	не следует	1	3
36	в области	4	3
37	для него	2	3
38	но в	4	3
39	и то	4	3
40	было бы	3	3
41	этой области	4	3
42	и т.д	4	3
43	это не	3	3
44	ни было	2	3
45	как и	9	3
46	только к	1	3
47	одним из	4	2
48	а между	8	2
49	сводится к	2	2
50	для всех	1	2
51	на каждом	2	2
52	в себе	5	2
53	мы получаем	1	2
54	и с	5	2
55	же не	3	2
56	именно как	1	2
57	не случайно	1	2
58	конце концов	4	2
59	надо было	1	2
60	мы и	2	2
61	все они	5	2
62	но не	2	2
63	с его	1	2
64	смысле этого	1	2
65	что материал	1	2
66	ничего не	1	2
67	по существу	6	2
68	при таком	2	2
69	и у	4	2
70	тем что	1	2
71	и для	6	2
72	даже и	1	2
73	в широком	1	2
74	вопроса о	1	2
75	т.е в	1	2
76	крайней мере	1	2
77	что она	1	2
78	это было	1	2
79	должна была	1	2
80	что он	7	2
81	что все	5	2
82	должна быть	5	2
83	в том	30	2
84	только в	6	2
85	между тем	12	2
86	конечно нет	1	2
87	таким образом	31	2
88	на эту	1	2
89	на первый	2	2
90	но даже	3	2
91	что и	7	2
92	по крайней	1	2
93	всех этих	4	2
94	в его	5	2
95	сих пор	8	2
96	если бы	8	2
97	могут быть	1	2
98	что мы	4	2
99	не в	8	2
100	же самое	1	2
101	не приходится	1	2
102	в самом	8	2
103	каждом шагу	1	2
104	самом деле	12	2
105	мы не	1	2
106	а как	1	2
107	в сторону	2	2
108	в конце	4	2
109	а его	1	2
110	не есть	2	2
111	том что	19	2
112	не могут	4	2
113	до сих	8	2
114	то и	2	1
115	точно и	1	1
116	что по	3	1
117	какой именно	1	1
118	как элемент	1	1
119	друг с	9	1
120	в процессе	2	1
121	и что	8	1
122	в которой	5	1
123	до конца	1	1
124	есть ли	1	1
125	в качестве	1	1
126	он не	3	1
127	что при	6	1
128	не ставит	1	1
129	была у	1	1
130	с другом	9	1
131	общее правило	1	1
132	деле есть	1	1
133	что такой	1	1
134	будет не	1	1
135	отнюдь не	2	1
136	приводит к	1	1
137	все что	9	1
138	что под	2	1
139	в значительной	1	1
140	на его	1	1
141	данного произведения	1	1
142	с тем	2	1
143	он может	1	1
144	тот же	3	1
145	в различных	1	1
146	бы в	3	1
147	по его	2	1
148	при более	2	1
149	бы это	1	1
150	в виду	2	1
