N	2gram	Trubetskoy_1	Otkroven
1	он не	3	4
2	в самой	2	3
3	от него	3	2
4	для него	2	2
5	различие между	1	2
6	в этом	12	2
7	те которые	1	2
8	а не	1	2
9	отношение к	4	1
10	что для	4	1
11	в другом	2	1
12	другом месте	1	1
13	он сам	1	1
14	у него	5	1
15	как и	9	1
16	также и	2	1
17	мысли и	1	1
18	он должен	2	1
19	оказывается что	5	1
20	что она	1	1
21	о которой	2	1
22	всякий кто	1	1
23	в борьбе	1	1
24	него в	2	1
25	если бы	8	1
26	и эта	1	1
27	должно быть	4	1
28	есть не	1	1
29	и в	23	1
30	это не	3	1
31	не есть	2	1
32	но и	9	1
33	в отношении	1	1
34	не только	7	1
35	и вот	1	1
36	одна из	2	1
37	никогда не	4	1
38	его в	5	1
