N	4gram	Tiupa_Disk_1	Myslijsy
1	в то же время	3	3
2	обратить внимание на то	1	2
3	внимание на то что	1	2
4	в том числе и	2	1
5	заключается в том что	1	1
6	в том что человек	1	1
7	а в том что	2	1
8	имеем дело не с	1	1
9	то же время и	1	1
10	одного и того же	2	1
11	мы имеем дело с	1	1
12	одним и тем же	1	1
13	лицом к лицу с	1	1
14	ни прибавить ни убавить	2	1
15	и не может быть	1	1
16	в чем и состоит	1	1
17	не в том что	1	1
18	в том случае если	1	1
19	нет и не может	1	1
20	только в том что	1	1
21	следует обратить внимание на	1	1
22	дело в том что	1	1
23	мы имеем дело не	1	1
