N	3gram	Tiupa_Disk_2	Literetu
1	то же время	5	7
2	в то же	4	7
3	присутствия в мире	2	6
4	в этом отношении	4	5
5	в отличие от	12	5
6	по отношению к	4	4
7	не говоря уже	1	4
8	в данном случае	6	4
9	с одной стороны	4	4
10	о том что	3	4
11	в том что	6	4
12	я и ты	1	3
13	в том числе	1	3
14	в соответствии с	2	3
15	с точки зрения	2	3
16	говоря уже о	1	3
17	не может быть	3	3
18	себя в другом	1	2
19	и другого в	1	2
20	к себе самому	1	2
21	состоит в том	2	2
22	в самом деле	1	2
23	подобно тому как	2	2
24	одной стороны и	2	2
25	человеческого присутствия в	1	2
26	в такого рода	2	2
27	бы то ни	1	2
28	том числе и	1	2
29	причастности к жизни	2	2
30	и в частности	1	2
31	в целом и	1	2
32	в своего рода	1	2
33	другого в себе	1	2
34	то ни было	1	2
35	лирический герой мандельштама	1	2
36	по большей части	2	2
37	а не как	1	2
38	с другой стороны	1	2
39	в одном из	1	2
40	той или иной	3	2
41	тем что он	1	2
42	а со стороны	1	2
43	обратим внимание на	1	2
44	живем под собою	1	1
45	в другом месте	1	1
46	одних и тех	1	1
47	в той или	1	1
48	своего другого как	1	1
49	объекта и адресата	1	1
50	сближает его с	1	1
51	и там где	1	1
52	как будто бы	1	1
53	друг от друга	1	1
54	коммуникативного события как	1	1
55	я в мире	2	1
56	под собою не	2	1
57	оказались своего рода	1	1
58	в первую очередь	2	1
59	было в том	1	1
60	генетически восходит к	1	1
61	при этом в	2	1
62	тому как в	1	1
63	то что в	1	1
64	по аналогии с	1	1
65	в другом и	1	1
66	но это не	1	1
67	добровольного отказа от	1	1
68	именно в этом	1	1
69	с ней в	1	1
70	тогда как другое	1	1
71	и то что	2	1
72	прежде всего отметим	1	1
73	субъекта объекта и	1	1
74	в рамках же	1	1
75	и тех же	1	1
76	в значительной степени	1	1
77	личности при этом	1	1
78	содержит в себе	2	1
79	по мысли мандельштама	1	1
80	например в стихотворении	1	1
81	на первый взгляд	2	1
82	нет дела до	1	1
83	на мой взгляд	2	1
84	но при этом	2	1
85	в себе как	1	1
86	автором и читателем	1	1
87	в мире и	2	1
88	ивана иваныча из	1	1
89	лирического героя мандельштама	1	1
90	между тем как	1	1
91	которое может быть	1	1
92	не чуя страны	2	1
93	как и всякое	2	1
94	оказывается своего рода	1	1
95	и т.п здесь	1	1
96	может позволить себе	1	1
97	не идет о	1	1
98	все же остается	1	1
99	при этом и	1	1
100	с лирическим героем	2	1
101	другом и другого	1	1
102	собою не чуя	2	1
103	при этом не	1	1
104	в конечном счете	1	1
105	в коммуникативное событие	1	1
106	для русской литературы	1	1
107	речь не идет	1	1
108	между автором и	1	1
109	который не знает	1	1
110	или иной мере	1	1
111	человека в мире	1	1
112	в силу своей	1	1
113	мы живем под	1	1
114	легко может быть	2	1
115	тем не менее	1	1
116	данном случае не	1	1
117	днем и ночью	1	1
118	между я и	1	1
119	героя никогда не	1	1
120	в сочетании с	2	1
