N	3gram	Tiupa_Disk_2	Morfolog
1	в этом случае	2	9
2	не может быть	3	8
3	подобно тому как	2	5
4	по отношению к	4	4
5	с точки зрения	2	4
6	а также и	1	4
7	с другой стороны	1	4
8	тем не менее	1	4
9	не могут быть	1	3
10	может быть названо	1	3
11	как и в	5	3
12	в обоих случаях	2	2
13	прежде всего следует	1	2
14	состоит в том	2	2
15	в иных случаях	1	2
16	с одной стороны	4	2
17	на первый взгляд	2	2
18	друг на друга	1	2
19	которое может быть	1	2
20	в большинстве случаев	1	2
21	в том что	6	2
22	и может быть	2	1
23	одна из них	1	1
24	один из важнейших	1	1
25	же время и	1	1
26	что же касается	2	1
27	и там где	1	1
28	в частности как	1	1
29	бы то ни	1	1
30	но это не	1	1
31	он как бы	1	1
32	одно и то	2	1
33	и только третья	1	1
34	в применении к	1	1
35	его при этом	1	1
36	в данном случае	6	1
37	в целом и	1	1
38	в качестве примера	2	1
39	и то же	2	1
40	он представляет собой	1	1
41	во втором случае	1	1
42	во всяком случае	1	1
43	то же время	5	1
44	о том что	3	1
45	встречается и в	1	1
46	с самого начала	1	1
47	той или иной	3	1
48	двух точек зрения	1	1
49	можно сказать что	1	1
50	может быть продолжен	1	1
51	в то же	4	1
52	также может быть	1	1
53	но в этом	1	1
54	здесь как и	1	1
