N	3gram	Bakhtin_Fr_7	KulturaY
1	в том что	3	15
2	с точки зрения	3	9
3	по отношению к	2	8
4	то обстоятельство что	1	8
5	о том что	1	5
6	в этом отношении	2	5
7	во всяком случае	1	5
8	более или менее	2	3
9	в этом смысле	1	3
10	о том как	2	3
11	можно было бы	2	3
12	в связи с	1	3
13	в свою очередь	3	3
14	не трудно видеть	1	3
15	и еще один	1	2
16	на самом деле	1	2
17	в том и	1	2
18	так и в	3	2
19	а только в	1	2
20	в свое время	2	2
21	то же время	9	2
22	как с помощью	1	2
23	и в самом	1	2
24	в то же	9	2
25	мы увидим что	1	2
26	и может быть	1	1
27	что иное как	1	1
28	потому что он	1	1
29	не в силах	1	1
30	что в этом	1	1
31	их появление в	1	1
32	на той же	1	1
33	свидетельствует о том	1	1
34	с представлением о	1	1
35	на этот вопрос	1	1
36	что все это	1	1
37	и не в	1	1
38	в известной мере	1	1
39	так что в	1	1
40	в это время	1	1
41	тогда как в	1	1
42	в применении к	1	1
43	роль в истории	1	1
44	ничего общего с	1	1
45	в первом случае	1	1
46	не только в	1	1
47	потому что вместе	1	1
48	и в его	2	1
49	с помощью которого	1	1
50	и то обстоятельство	1	1
51	но в нем	1	1
52	есть и еще	1	1
53	имеем в виду	2	1
54	до наших дней	1	1
55	рядом с этим	1	1
56	содержат в себе	1	1
57	что он есть	1	1
58	не есть нечто	1	1
59	однако не в	1	1
60	в следующем отрывке	1	1
61	вместе с ним	1	1
62	и все те	1	1
63	по аналогии с	1	1
64	и для той	1	1
65	дело не с	1	1
66	точки зрения вполне	1	1
67	с тем что	1	1
68	и тем самым	1	1
69	мы имеем в	2	1
70	друг от друга	1	1
71	тем более что	1	1
72	и таким путем	1	1
73	в большинстве случаев	2	1
74	после того как	4	1
75	было бы сказать	1	1
76	не что иное	1	1
77	который в своем	1	1
78	таким образом в	1	1
79	все то что	3	1
80	и с его	1	1
81	не в этом	1	1
