N	4gram	Losev_Prob_3	StatiiOP
1	дело в том что	2	4
2	это не значит что	1	3
3	не имеет ничего общего	3	2
4	и т д и	4	2
5	и в этом случае	3	2
6	при таком положении дела	1	2
7	но с другой стороны	2	2
8	заключается в том что	2	2
9	имеет ничего общего с	1	2
10	одним и тем же	1	2
11	т д и т	4	1
12	может быть и речи	1	1
13	несомненно и то что	1	1
14	в той или иной	2	1
15	что бы то ни	1	1
16	само собой разумеется что	1	1
17	достаточно привести хотя бы	1	1
18	и т д в	1	1
19	может быть и очень	1	1
20	ни в каком случае	2	1
21	говорить о том что	1	1
22	во всяком случае не	1	1
23	в то время как	4	1
24	в каком случае не	1	1
25	может быть даже и	1	1
26	и т д во	1	1
27	д и т д	4	1
28	собой разумеется что в	1	1
29	нечего и говорить о	1	1
30	и т д конечно	1	1
31	и говорить о том	1	1
32	не может быть и	1	1
33	точно так же и	1	1
34	в том что он	1	1
35	во что бы то	1	1
36	а может быть даже	1	1
37	но это не значит	1	1
38	так же как и	1	1
39	в том смысле что	3	1
40	в том что и	1	1
41	ответ на этот вопрос	1	1
42	также и то что	4	1
43	бы то ни стало	1	1
44	не может быть никакого	1	1
