N	2gram	Voloshinov_1	Dialekti
1	и не	1	30
2	а не	1	18
3	может быть	1	17
4	и в	3	15
5	точки зрения	1	14
6	не может	4	11
7	и все	1	11
8	то же	1	9
9	с точки	1	9
10	не только	1	8
11	если бы	1	6
12	в то	1	6
13	же время	1	6
14	и на	1	5
15	в ней	1	5
16	и можно	1	5
17	в его	1	4
18	мы видим	1	4
19	в особенности	1	4
20	один из	2	4
21	бы в	1	4
22	но и	1	4
23	смысл и	1	3
24	и истории	1	3
25	можно назвать	1	3
26	тех же	1	2
27	нет и	1	2
28	ни один	1	2
29	из этих	1	2
30	не менее	1	2
31	может и	1	2
32	можно и	1	2
33	в анализе	1	2
34	и событий	1	2
35	сравнении с	1	2
36	и больше	1	1
37	при анализе	1	1
38	конечно и	1	1
39	может не	1	1
40	его от	1	1
41	с другими	1	1
42	бы на	1	1
43	на месте	1	1
44	вещей и	1	1
45	теми или	1	1
46	именно с	1	1
47	связи с	1	1
48	и должно	1	1
49	событий и	1	1
50	в языке	1	1
51	себя от	1	1
52	не из	1	1
53	рождается вопрос	1	1
54	исходя из	1	1
55	истории но	1	1
56	вполне понятно	1	1
