N	3gram	Ircho_Kome_1	KulturaY
1	и т п	5	18
2	для того чтобы	1	15
3	в том что	9	15
4	и т д	4	14
5	по отношению к	3	8
6	с другой стороны	5	6
7	о том что	3	5
8	в зависимости от	1	5
9	в этом отношении	3	5
10	во всяком случае	2	5
11	что же касается	1	4
12	до сих пор	2	4
13	том что он	4	4
14	тем не менее	1	4
15	состоит в том	1	3
16	более или менее	1	3
17	в соответствии с	1	3
18	можно было бы	1	3
19	вместе с тем	1	3
20	чуть ли не	1	2
21	как раз на	1	2
22	на то что	2	2
23	так или иначе	1	2
24	в первую очередь	2	2
25	на мой взгляд	1	2
26	т е в	2	2
27	в тех случаях	1	2
28	то же время	4	2
29	этой точки зрения	1	2
30	речь идет о	3	2
31	тех случаях когда	1	2
32	в то же	4	2
33	к тому что	1	2
34	но прежде всего	1	1
35	сплошь да рядом	1	1
36	что иное как	1	1
37	в силу этого	1	1
38	всяком случае что	1	1
39	не говоря уже	2	1
40	идет речь в	1	1
41	то и вовсе	1	1
42	относится к г	1	1
43	конца и в	1	1
44	к г и	1	1
45	с одной стороны	3	1
46	можно говорить о	1	1
47	в отличие от	1	1
48	при этом что	2	1
49	следует что в	1	1
50	состоит не в	1	1
51	что все это	1	1
52	с этой точки	1	1
53	указания на то	1	1
54	т п т	1	1
55	в это время	1	1
56	и его современники	1	1
57	в применении к	1	1
58	едва ли не	3	1
59	до конца и	1	1
60	не только в	1	1
61	т д все	1	1
62	в каком контексте	1	1
63	которую можно было	1	1
64	или иначе связанные	1	1
65	было бы однако	1	1
66	если они не	1	1
67	так же как	1	1
68	потому что они	1	1
69	а может быть	1	1
70	до наших дней	1	1
71	том что на	1	1
72	иначе связанные с	1	1
73	из заглавий в	1	1
74	в стороне от	1	1
75	по аналогии с	1	1
76	современном смысле этого	1	1
77	широкое распространение в	1	1
78	случае ясно что	1	1
79	что в рамках	1	1
80	смысле этого слова	1	1
81	друг от друга	1	1
82	в большинстве случаев	1	1
83	после того как	3	1
84	как раз эта	1	1
85	не что иное	1	1
86	в современном смысле	1	1
87	который в своем	1	1
88	таким образом в	2	1
89	отношению к науке	1	1
90	п т е	1	1
91	на этот раз	1	1
92	а то и	2	1
