N	3gram	Medvedev_F_2	Sovremen
1	мы не можем	1	6
2	с точки зрения	7	5
3	в зависимости от	3	4
4	не может быть	10	4
5	что же это	1	3
6	с самого начала	2	3
7	тем не менее	1	2
8	во всяком случае	5	2
9	каждого из них	1	2
10	в отличие от	2	2
11	в свою очередь	1	2
12	с помощью которых	1	2
13	же это за	1	2
14	может быть и	3	2
15	поэтому мы не	1	2
16	в настоящее время	1	2
17	зависимости от различных	1	1
18	в том как	1	1
19	же это не	1	1
20	быть и речи	3	1
21	что иное как	1	1
22	и в этом	5	1
23	и все те	1	1
24	по крайней мере	1	1
25	не могут быть	4	1
26	самому своему существу	1	1
27	в такой же	1	1
28	не в том	3	1
29	в связи с	10	1
30	он уже не	1	1
31	ровно ничего не	1	1
32	все более и	1	1
33	и пр но	3	1
34	равно как и	1	1
35	первый период развития	1	1
36	на самом деле	3	1
37	могут быть поняты	1	1
38	и до сих	1	1
39	в этом смысле	2	1
40	теперь мы должны	1	1
41	влечет за собой	1	1
42	в этом случае	1	1
43	один и тот	1	1
44	остается подвести итоги	1	1
45	не было бы	1	1
46	без определенного метода	1	1
47	и еще более	1	1
48	до сих пор	1	1
49	то же время	5	1
50	раз и навсегда	1	1
51	и в то	3	1
52	но тем не	1	1
53	в ином направлении	2	1
54	сами по себе	2	1
55	по аналогии с	1	1
56	есть не что	1	1
57	бы то ни	1	1
58	но они не	1	1
59	прежде всего необходимо	1	1
60	ни о каком	3	1
61	но все эти	1	1
62	более и более	1	1
63	и не может	3	1
64	в самом деле	5	1
65	что же делает	1	1
66	и прежде всего	2	1
67	но все же	2	1
68	мы знаем что	1	1
69	мы говорим о	2	1
70	в первый период	5	1
71	в этом периоде	1	1
72	при определенных условиях	2	1
73	по самому своему	1	1
74	в том случае	2	1
75	в то же	5	1
76	не что иное	1	1
77	в корне неверной	1	1
78	и мы получим	1	1
79	не может ведь	1	1
80	говорить только о	1	1
81	в том что	2	1
82	в этой области	1	1
83	в данном случае	1	1
84	на этот вопрос	1	1
85	она не может	1	1
86	дело идет о	2	1
87	на котором держится	1	1
88	с одной стороны	1	1
89	именно в том	1	1
90	и тот же	1	1
