N	3gram	Tiupa_Anal_2	Formalny
1	с точки зрения	2	14
2	не может быть	1	14
3	в то же	2	7
4	то же время	2	7
5	с другой стороны	2	5
6	в самом деле	1	4
7	подобно тому как	3	4
8	в данном случае	5	4
9	в связи с	1	4
10	по отношению к	4	3
11	то же самое	1	3
12	в этом отношении	3	3
13	одни и те	1	3
14	в том что	6	3
15	и те же	1	3
16	одним и тем	1	2
17	в этом смысле	2	2
18	с установкой на	1	2
19	до известной степени	1	2
20	сами по себе	1	2
21	в отличие от	2	2
22	те же слова	1	2
23	и тем же	1	2
24	только то что	1	2
25	на этом фоне	1	2
26	не только не	2	2
27	к тому что	1	2
28	тем не менее	3	2
29	дело не в	1	2
30	но и все	1	1
31	так и не	4	1
32	одних и тех	1	1
33	и даже в	1	1
34	лишь в связи	1	1
35	в действительности и	1	1
36	в этом случае	4	1
37	виду что в	1	1
38	в том или	2	1
39	хотя бы и	1	1
40	как система мотивов	1	1
41	не совпадает с	1	1
42	данном случае с	1	1
43	том или ином	2	1
44	этом случае в	1	1
45	одна из них	1	1
46	в противном случае	1	1
47	со всех сторон	1	1
48	одной из своих	1	1
49	с этой точки	1	1
50	и тех же	1	1
51	так или иначе	1	1
52	и тогда когда	1	1
53	в значительной степени	2	1
54	и нисколько не	1	1
55	из виду что	1	1
56	не только в	2	1
57	же имеет место	1	1
58	с одной стороны	4	1
59	и тот же	1	1
60	внутренней речи то	1	1
61	это не так	1	1
62	событие самого рассказывания	1	1
63	в таком случае	2	1
64	а не только	2	1
65	между тем как	1	1
66	этой точки зрения	1	1
67	о том что	6	1
68	того или иного	3	1
69	в частности в	2	1
70	т е к	2	1
71	с той или	2	1
72	можно было бы	2	1
73	другой стороны и	1	1
74	и в самом	2	1
75	но отнюдь не	1	1
76	не только на	1	1
77	той или иной	3	1
78	можно сказать что	1	1
79	на то что	2	1
80	которые могут быть	1	1
81	в этих случаях	1	1
82	в данном контексте	1	1
83	тех или иных	2	1
84	в отношении к	1	1
85	сама по себе	1	1
86	друг с другом	1	1
87	как и в	3	1
88	органическое единство всех	1	1
