N	3gram	Savitsky_P_1	Literetu
1	в том что	4	11
2	в отличие от	1	5
3	то же время	7	5
4	в то же	7	5
5	на наш взгляд	1	5
6	не только в	4	4
7	с точки зрения	3	2
8	и то что	1	2
9	с одной стороны	3	2
10	чуть ли не	1	2
11	во всяком случае	1	2
12	и тем самым	1	2
13	в душе своей	1	2
14	во многих случаях	1	1
15	и как раз	2	1
16	и не только	2	1
17	тот или иной	1	1
18	и в частности	1	1
19	но в то	1	1
20	в xix веке	1	1
21	в отношении к	5	1
22	и в этом	1	1
23	с тем же	1	1
24	тех пор пока	1	1
25	с другой стороны	1	1
26	не может быть	1	1
27	до тех пор	1	1
28	в русской культуре	1	1
29	тем более что	1	1
30	в большинстве случаев	1	1
31	в том числе	2	1
32	в полной мере	2	1
33	и тем более	1	1
