N	2gram	Tiupa_Narr_1	VelikijI
1	и не	20	20
2	и в	19	16
3	то что	11	9
4	еще не	7	8
5	что они	3	7
6	на земле	1	7
7	а не	12	7
8	и потому	2	7
9	не есть	3	6
10	на себя	3	5
11	но и	23	5
12	того что	1	5
13	хотя и	3	5
14	в мире	9	5
15	как бы	4	5
16	и есть	1	4
17	говорить о	2	4
18	в его	9	4
19	нет у	2	4
20	в этом	17	4
21	что он	6	4
22	потому что	1	4
23	в нем	4	4
24	так и	9	4
25	что все	1	4
26	что не	4	4
27	с богом	1	4
28	как и	7	4
29	что мы	2	4
30	в котором	1	4
31	в ней	3	4
32	и все	2	4
33	это еще	1	4
34	от этого	1	3
35	должна быть	2	3
36	к вечности	1	3
37	хотя бы	4	3
38	как не	1	3
39	лишь в	1	3
40	в чем	1	3
41	с его	6	3
42	во всех	1	3
43	христа в	1	3
44	что и	1	3
45	в том	18	3
46	тот же	1	3
47	но в	6	3
48	все эти	2	3
49	они в	2	3
50	в конце	1	3
51	их в	1	3
52	ни в	3	3
53	в них	1	3
54	не было	2	3
55	если не	4	3
56	нет ничего	1	3
57	в первый	1	3
58	не в	14	3
59	но это	1	3
60	не имеет	2	3
61	не верят	1	3
62	никогда не	3	3
63	первый раз	1	3
64	и для	2	3
65	к тому	7	3
66	жизни и	3	3
67	что в	3	3
68	оно не	2	3
69	и то	1	2
70	вечности и	1	2
71	и сам	1	2
72	можно было	2	2
73	и за	1	2
74	мы не	1	2
75	когда в	1	2
76	с ним	1	2
77	и над	1	2
78	и во	1	2
79	между тем	3	2
80	нет и	2	2
81	вслед за	4	2
82	не с	3	2
83	человека как	1	2
84	только в	4	2
85	в себя	6	2
86	уже не	5	2
87	не только	32	2
88	его и	1	2
89	не так	1	2
90	для него	2	2
91	в прошлом	3	2
92	не могли	1	2
93	тем что	3	2
94	на том	3	2
95	не будет	3	2
96	это не	2	2
97	истории и	2	2
98	а с	3	2
99	прежде всего	4	2
100	все равно	1	2
101	мы и	1	2
102	один из	3	2
103	тоска по	1	2
104	и тогда	1	2
105	мира в	5	2
106	не могут	1	2
107	является в	1	2
108	только стало	1	2
109	над ними	1	2
110	что было	1	2
111	да и	4	2
112	в смысл	1	2
113	одна из	3	2
114	почему в	1	2
115	том что	14	2
116	людей так	1	2
117	для нас	1	2
118	от него	1	2
119	в форме	5	2
120	они и	1	2
121	которым можно	2	2
122	есть уже	1	2
123	это все	2	2
124	а в	11	2
125	но не	5	2
126	легенда о	1	2
127	могут быть	3	2
128	чтобы сделать	1	2
129	всего в	1	2
130	всегда в	1	1
131	речь идет	4	1
132	как мы	3	1
133	быть может	2	1
134	в виду	1	1
135	для себя	1	1
136	в ее	3	1
137	царем и	1	1
138	это случилось	1	1
139	и до	2	1
140	том свете	2	1
141	роль в	2	1
142	больше или	1	1
143	мы будем	1	1
144	то же	4	1
145	и могут	1	1
146	лет назад	1	1
147	на путь	1	1
148	живет в	1	1
149	человеческого бытия	1	1
150	в результате	2	1
151	идти в	1	1
152	и вообще	1	1
153	но может	1	1
154	о возможности	1	1
155	никогда и	1	1
156	и ее	2	1
157	возможна лишь	1	1
158	целое и	1	1
159	в их	1	1
160	и на	3	1
161	и который	1	1
162	со словами	2	1
163	бы то	3	1
164	истории в	3	1
165	жизни с	1	1
166	что оно	1	1
167	к нему	5	1
168	ее к	1	1
169	но как	2	1
170	если в	3	1
171	с которыми	1	1
172	в новом	1	1
173	тогда как	12	1
174	крайней мере	1	1
175	мире и	1	1
176	это лишь	1	1
177	если за	1	1
178	как в	7	1
179	в своем	2	1
180	известном смысле	2	1
181	что нет	2	1
182	все же	7	1
183	себя с	1	1
184	в двух	2	1
185	могли бы	1	1
186	идет по	2	1
187	с ними	1	1
188	мы увидим	1	1
189	в разные	1	1
190	в самом	1	1
191	что это	3	1
192	имеет своим	1	1
193	в целом	1	1
194	тоже не	1	1
195	в этой	5	1
196	в известном	2	1
197	уже в	3	1
198	то и	1	1
199	в религиозном	1	1
200	слова не	1	1
201	или даже	2	1
202	но от	2	1
203	искать в	1	1
204	в понимании	1	1
205	слова которое	1	1
206	и должна	1	1
207	вовсе не	1	1
208	отношение к	2	1
209	бытия и	1	1
210	у него	4	1
211	не случайно	2	1
212	и по	1	1
213	на этом	1	1
214	бы все	1	1
215	человека в	2	1
216	то ни	3	1
217	в едином	1	1
218	в состоянии	1	1
219	и с	4	1
220	было не	1	1
221	с другой	8	1
222	хоть и	1	1
223	его личности	2	1
224	есть не	1	1
225	в глазах	1	1
226	и быть	1	1
227	бытия в	3	1
228	и тем	4	1
229	последние дни	1	1
230	люди что	2	1
231	нового времени	2	1
232	говорит о	2	1
233	церкви и	1	1
234	ничем не	1	1
235	человеческой жизни	1	1
236	не всегда	2	1
237	далее и	1	1
238	и уже	1	1
239	с которым	1	1
240	его по	2	1
241	было для	1	1
242	жизни но	2	1
243	теперь у	1	1
244	о чем	2	1
245	и было	1	1
246	мировой истории	1	1
247	выбора все	1	1
248	их на	1	1
249	таким же	1	1
250	так же	2	1
251	как это	6	1
252	человека к	1	1
253	за которым	1	1
254	то есть	19	1
255	и столь	1	1
256	над ним	1	1
