N	2gram	Medvedev_I_1	Sotsiolo
1	все это	1	7
2	в этом	2	5
3	более чем	1	3
4	и в	1	3
5	по отношению	1	2
6	отношению к	1	2
7	очевидно что	1	2
8	по существу	1	2
9	как только	1	2
10	что в	2	2
11	и не	2	1
12	бы в	1	1
13	стр и	7	1
14	слишком много	1	1
15	все эти	1	1
16	не дает	1	1
17	в целом	1	1
18	с другой	1	1
19	в них	1	1
20	а с	1	1
21	а в	1	1
22	придется не	1	1
23	никогда не	1	1
24	и о	1	1
25	автор не	1	1
26	же это	1	1
27	без этого	1	1
28	стало быть	1	1
29	ничего не	2	1
30	тем что	1	1
31	так и	1	1
32	только для	1	1
