1	в то же время	2	3
2	бы то ни было	1	3
3	в искусстве нет содержания	1	2
4	идет не о методах	1	1
5	а о принципах построения	1	1
6	вопрос идет не о	1	1
7	а между тем в	1	1
8	литературы а о принципах	1	1
9	методах изучения литературы а	1	1
10	о методах изучения литературы	1	1
11	таким образом художественное произведение	1	1
12	которое мы получаем от	1	1
13	в том что она	3	1
14	никогда не может быть	1	1
15	принципах построения литературной науки	1	1
16	изучения литературы а о	1	1
17	о принципах построения литературной	1	1
18	не о методах изучения	1	1
19	то же самое что	2	1
