N	2gram	Potebnia_M_3	Komedia
1	и в	30	22
2	и не	15	21
3	том что	18	13
4	таким образом	14	12
5	в том	32	12
6	так как	13	11
7	со стороны	3	11
8	ни в	2	10
9	потому что	46	10
10	в самом	8	9
11	до сих	3	9
12	вместе с	12	9
13	сих пор	3	9
14	в этом	10	8
15	его в	3	8
16	в глазах	1	8
17	в своем	5	8
18	к ней	5	8
19	о том	2	8
20	если бы	12	8
21	в его	4	8
22	что и	13	8
23	что он	6	8
24	едва ли	1	7
25	то же	23	7
26	при этом	3	7
27	об этом	2	7
28	только что	8	7
29	а в	12	7
30	в свою	3	7
31	того же	1	6
32	самом деле	2	6
33	еще не	5	6
34	так что	7	6
35	тому же	1	6
36	в то	10	6
37	и его	4	6
38	к тому	7	6
39	того чтобы	3	6
40	свою очередь	3	6
41	ясно что	1	6
42	и что	10	6
43	для того	4	6
44	может быть	28	6
45	во время	2	6
46	к этому	3	6
47	отношение к	2	5
48	но в	1	5
49	не только	21	5
50	он не	4	5
51	в своей	2	5
52	в которых	2	5
53	то это	6	5
54	не менее	5	5
55	же время	5	5
56	связи с	2	5
57	хотя и	1	5
58	с ним	6	5
59	к нему	3	5
60	что в	17	5
61	по отношению	5	5
62	из них	6	5
63	тем что	7	5
64	прежде всего	3	5
65	все это	4	5
66	и т	5	4
67	в ней	8	4
68	он был	1	4
69	с другой	7	4
70	тут же	2	4
71	нет и	1	4
72	все же	2	4
73	когда он	1	4
74	то что	18	4
75	что к	1	4
76	в себе	16	4
77	что она	3	4
78	но все	2	4
79	и с	2	4
80	должен был	1	4
81	с тем	7	4
82	несмотря на	2	4
83	точки зрения	2	4
84	не в	15	4
85	однако в	1	4
86	на него	3	4
87	у него	2	4
88	и здесь	1	4
89	с самого	1	4
90	друг друга	3	4
91	так и	11	4
92	не дает	2	4
93	т п	2	4
94	вовсе не	7	4
95	но и	19	4
96	а не	15	4
97	не является	1	4
98	бы в	2	4
99	тем более	4	4
100	так же	3	4
101	который в	1	3
102	говорить о	3	3
103	из того	2	3
104	на них	1	3
105	столь же	4	3
106	с его	1	3
107	в ее	2	3
108	с этим	6	3
109	тем же	4	3
110	в которой	3	3
111	в этой	2	3
112	и тот	2	3
113	как он	1	3
114	на то	2	3
115	не могла	2	3
116	в нем	9	3
117	при виде	1	3
118	что ни	2	3
119	прежде чем	2	3
120	от нее	2	3
121	было бы	9	3
122	в них	5	3
123	все равно	4	3
124	далеко не	4	3
125	как и	10	3
126	но если	1	3
127	том как	3	3
128	с точки	1	3
129	тем не	3	3
130	их в	2	3
131	к ним	1	3
132	не имеет	6	3
133	ничего не	1	3
134	и мысли	1	3
135	же самое	1	3
136	судя по	1	3
137	на это	4	3
138	обращается к	1	3
139	в глаза	1	3
140	одного из	1	3
141	должно было	2	3
142	и мы	2	3
143	тех пор	1	3
144	любовь к	1	3
145	в двух	1	3
146	одной из	2	3
147	нисколько не	1	3
148	с одной	7	3
149	в начале	3	3
150	что не	8	3
151	мы можем	3	3
152	отношению к	5	3
153	в других	2	3
154	и даже	2	3
155	даже не	1	3
156	на ее	1	3
157	ему не	2	3
158	на которые	1	3
159	на этот	1	3
160	один из	4	3
161	если не	4	3
162	не может	6	3
163	конечно не	1	3
164	по своему	2	3
165	одной стороны	3	3
166	как бы	3	3
167	с этой	2	3
168	в целом	3	3
169	из себя	2	3
170	из своего	1	3
171	до тех	1	3
172	не знает	3	3
173	все что	4	3
174	в какой	2	3
175	во всяком	1	3
176	отношения к	1	2
177	человека и	5	2
178	о любви	2	2
179	такое же	3	2
180	из его	1	2
181	его не	1	2
182	г в	1	2
183	мы не	9	2
184	в сущности	1	2
185	время как	1	2
186	и он	1	2
187	и на	3	2
188	бы то	1	2
189	во всех	1	2
190	он говорит	2	2
191	отличие от	1	2
192	за пределы	2	2
193	что они	2	2
194	и я	1	2
195	как в	10	2
196	стороны и	1	2
197	в известной	1	2
198	что касается	1	2
199	целый ряд	2	2
200	в результате	1	2
201	так или	2	2
202	бы не	4	2
203	только один	2	2
204	ни было	1	2
205	и если	2	2
206	на его	2	2
207	после этого	1	2
208	в силу	3	2
209	людей и	2	2
210	исходя из	1	2
211	в мире	1	2
212	не с	1	2
213	а как	2	2
214	с другими	5	2
215	это не	1	2
216	я говорю	1	2
217	и без	7	2
218	в котором	4	2
219	в их	2	2
220	в одном	2	2
221	того кто	1	2
222	что эта	2	2
223	тому что	3	2
224	она не	2	2
225	что с	2	2
226	е и	1	2
227	что происходит	1	2
228	за то	1	2
229	больше чем	1	2
230	и после	2	2
231	в области	2	2
232	одним из	1	2
233	и со	1	2
234	нет ни	2	2
235	есть основание	1	2
236	отказаться от	2	2
237	и это	4	2
238	как мы	7	2
239	и о	2	2
240	в виду	1	2
241	здесь не	1	2
242	без всякого	1	2
243	то время	4	2
244	в образе	3	2
245	по тому	5	2
246	сама она	1	2
247	хотя это	1	2
248	именно потому	1	2
249	между тем	9	2
250	этих слов	2	2
251	как из	1	2
252	не как	2	2
253	тот же	1	2
254	должен быть	1	2
255	и ее	1	2
256	не мешает	1	2
257	уже в	5	2
258	если мы	1	2
259	чем они	1	2
260	за ним	3	2
261	мы знаем	1	2
262	был бы	2	2
263	до того	4	2
264	себя от	2	2
265	при всей	1	2
266	этом отношении	2	2
267	от того	8	2
268	к одной	3	2
269	или иначе	1	2
270	себя и	4	2
271	что для	4	2
272	не было	4	2
273	что мы	8	2
274	под влиянием	1	2
275	его на	1	2
276	к своему	2	2
277	не могут	5	2
278	для понимания	4	2
279	много лет	1	2
280	каким он	1	2
281	только для	1	2
282	видно что	1	2
283	все остальные	3	2
284	и все	3	2
285	полагать что	1	2
286	не будет	3	2
287	между ними	1	2
288	только как	5	2
289	другой стороны	4	2
290	равно как	1	2
291	в свое	2	2
292	это в	2	2
293	в таком	3	2
294	и наиболее	1	1
295	формы и	1	1
296	я и	3	1
297	любовь в	1	1
298	в силе	1	1
299	же словом	3	1
300	не думает	1	1
301	например в	6	1
302	чтобы не	1	1
303	без них	1	1
304	причины в	1	1
305	противоречия между	1	1
306	себе путь	1	1
307	на сердце	1	1
308	в первом	3	1
309	он требует	1	1
310	и до	2	1
311	свое место	2	1
312	и должен	1	1
313	если я	1	1
314	вопрос о	1	1
315	со многими	2	1
316	принадлежит к	1	1
317	указывая на	1	1
318	ему в	2	1
319	в числе	1	1
320	жизни это	1	1
321	и говорить	1	1
322	имя и	1	1
323	было до	1	1
324	он сам	1	1
325	здесь относительно	1	1
326	при сравнении	1	1
327	не найдем	1	1
328	все эти	1	1
329	говоря уже	1	1
330	со словами	1	1
331	в чем	3	1
332	только после	1	1
333	не без	1	1
334	при объяснении	2	1
335	одним словом	2	1
336	но не	7	1
337	находит в	2	1
338	но как	2	1
339	вспомнить что	1	1
340	заметим что	1	1
341	не входит	1	1
342	если в	1	1
343	ответ на	3	1
344	очевидно что	5	1
345	а уже	1	1
346	можем не	1	1
347	себе и	1	1
348	друг от	1	1
349	действительности а	1	1
350	относится к	4	1
351	которые не	1	1
352	в истории	1	1
353	в одной	1	1
354	независимо от	5	1
355	общего с	1	1
356	по содержанию	2	1
357	не сделает	1	1
358	что первое	2	1
359	бы при	1	1
360	получает значение	1	1
361	это был	1	1
362	перед нами	2	1
363	на человека	2	1
364	и как	5	1
365	что по	2	1
366	и наконец	2	1
367	беседы в	1	1
368	поздно и	1	1
369	более или	3	1
370	в действительности	5	1
371	более обширного	1	1
372	от этого	2	1
373	не такое	1	1
374	роль играет	1	1
375	сами себя	1	1
376	нам пример	1	1
377	из жизни	1	1
378	отношения между	1	1
379	чем больше	1	1
380	из этих	9	1
381	начнем с	1	1
382	право на	1	1
383	еще один	1	1
384	говорить с	1	1
385	т д	3	1
386	человек не	2	1
387	по крайней	5	1
388	людей из	1	1
389	стороны нет	1	1
390	и почему	2	1
391	в понимании	1	1
392	образом из	1	1
393	к одному	5	1
394	не к	4	1
395	том чтобы	2	1
396	приняв за	1	1
397	ее из	1	1
398	мало того	1	1
399	или вовсе	3	1
400	принадлежат к	1	1
401	находим у	1	1
402	соединения с	1	1
403	в нее	1	1
404	с такими	1	1
405	в каждом	3	1
406	что все	3	1
407	конечно в	1	1
408	той же	2	1
409	них не	1	1
410	себя не	1	1
411	это было	3	1
412	которого не	1	1
413	образом если	1	1
414	непосредственно примыкает	1	1
415	в свой	2	1
416	лицо в	1	1
417	приходит в	1	1
418	и тем	5	1
419	во многом	2	1
420	его и	1	1
421	этого не	3	1
422	не всегда	2	1
423	представляет себе	1	1
424	а потом	1	1
