N	2gram	Bakhtin_sl_2	IolandNe
1	и с	9	3
2	и не	22	2
3	должен быть	2	2
4	в этом	16	2
5	он не	2	2
6	ничего не	1	2
7	что в	3	2
8	нисколько не	1	1
9	все эти	6	1
10	с другой	5	1
11	человеке и	3	1
12	для него	7	1
13	того чтобы	2	1
14	того что	1	1
15	отношению к	4	1
16	и о	1	1
17	говорить о	3	1
18	что при	1	1
19	и широко	1	1
20	в целом	1	1
21	это было	1	1
22	так и	15	1
23	и со	1	1
24	автора и	2	1
25	в основе	4	1
26	них не	1	1
27	жизни и	6	1
28	по отношению	4	1
29	как о	2	1
30	себя в	8	1
31	и сам	1	1
32	этим и	1	1
33	того же	1	1
34	не остается	1	1
35	и еще	1	1
36	в значительной	6	1
37	только для	1	1
38	а также	3	1
39	для того	2	1
40	нам в	1	1
41	а в	4	1
42	то она	1	1
43	и в	39	1
44	как только	1	1
45	в эту	1	1
46	все это	16	1
47	на котором	2	1
48	со всеми	2	1
49	тем что	1	1
50	и др	4	1
51	не здесь	1	1
52	другой стороны	1	1
53	никогда не	7	1
54	в них	6	1
55	и без	1	1
56	автор и	1	1
