N	2gram	Bakhtin_Pr_1	Istorich
1	т е	21	29
2	что он	8	24
3	и т	4	19
4	не только	15	18
5	т д	1	18
6	может быть	24	17
7	мы имеем	1	15
8	и в	29	15
9	никогда не	3	15
10	так как	6	14
11	но и	14	14
12	так же	6	13
13	что в	8	12
14	то что	15	12
15	а в	7	12
16	в этом	22	11
17	об этом	1	11
18	и не	31	11
19	то же	14	10
20	что они	1	10
21	его в	6	10
22	еще не	5	9
23	все же	9	9
24	в другом	1	9
25	и здесь	3	9
26	потому что	8	9
27	должны были	1	8
28	он не	5	8
29	связи с	2	8
30	один из	2	8
31	мы увидим	1	8
32	мы видим	2	8
33	в нем	19	7
34	таким образом	12	7
35	том что	7	7
36	не в	7	7
37	ничего не	5	7
38	и пр	3	7
39	сих пор	2	7
40	то это	1	6
41	но в	7	6
42	что это	1	6
43	и что	2	6
44	в его	24	6
45	что и	4	6
46	мы уже	2	6
47	так что	2	6
48	до сих	2	6
49	как бы	19	6
50	в том	8	6
51	только в	10	6
52	точно так	1	6
53	же как	1	5
54	и есть	2	5
55	что герой	2	5
56	как в	6	5
57	с этим	2	5
58	и наконец	4	5
59	имеем в	1	5
60	что она	6	5
61	но все	5	5
62	было бы	5	5
63	можно найти	1	5
64	в котором	2	5
65	в русской	1	5
66	на него	3	5
67	можно было	2	5
68	так и	7	5
69	она не	7	5
70	к нему	6	5
71	в одном	10	5
72	прежде всего	7	5
73	к которому	1	5
74	а не	22	5
75	не может	12	5
76	этом случае	1	5
77	к тому	1	5
78	со всех	1	4
79	в ней	2	4
80	и на	7	4
81	в одной	6	4
82	в себе	7	4
83	все эти	9	4
84	в этой	4	4
85	при этом	2	4
86	и с	4	4
87	вопрос о	2	4
88	но он	2	4
89	но они	2	4
90	того как	1	4
91	о нем	9	4
92	другими словами	1	4
93	в другой	3	4
94	его и	2	4
95	у него	5	4
96	тем что	4	4
97	и др	5	4
98	но это	4	4
99	мы должны	3	4
100	одной из	1	4
101	к этой	1	4
102	и другие	1	4
103	они не	4	4
104	мы не	1	3
105	он в	3	3
106	из этих	1	3
107	как он	1	3
108	всех этих	2	3
109	подобно тому	3	3
110	здесь мы	2	3
111	в работе	1	3
112	он и	5	3
113	в их	3	3
114	с одним	1	3
115	и его	14	3
116	как будто	3	3
117	и это	5	3
118	в себя	3	3
119	роль в	1	3
120	о том	1	3
121	а именно	1	3
122	если это	1	3
123	и она	1	3
124	того что	1	3
125	в качестве	1	3
126	же и	2	3
127	по отношению	8	3
128	в состоянии	1	3
129	в других	1	3
130	что мы	1	3
131	тому как	3	3
132	все это	6	3
133	но если	1	3
134	отношению к	8	3
135	также что	1	2
136	например в	3	2
137	самом деле	6	2
138	на самом	5	2
139	делают его	1	2
140	и для	4	2
141	в сущности	5	2
142	я не	3	2
143	ни один	3	2
144	хотя бы	2	2
145	детей не	1	2
146	в которых	2	2
147	во всех	1	2
148	но не	9	2
149	учителя и	1	2
150	не все	1	2
151	его на	2	2
152	он делает	1	2
153	перед нами	5	2
154	ясно и	1	2
155	в которой	2	2
156	это за	1	2
157	на его	2	2
158	вера в	1	2
159	так сказать	4	2
160	он должен	1	2
161	и если	1	2
162	из него	1	2
163	и по	1	2
164	человека в	4	2
165	могла бы	1	2
166	из них	1	2
167	той же	5	2
168	его не	1	2
169	с другими	7	2
170	это не	9	2
171	есть и	2	2
172	в жизни	2	2
173	ни в	3	2
174	он является	1	2
175	она и	1	2
176	как и	12	2
177	мы видели	1	2
178	такой же	1	2
179	нисколько не	2	2
180	и ее	2	2
181	вот он	1	2
182	не столько	1	2
183	превращения в	1	2
184	их в	4	2
185	она или	1	2
186	и герой	1	2
187	с которой	2	2
188	почти никогда	1	2
189	самого начала	2	2
190	одна из	3	2
191	и именно	1	2
192	иметь в	1	2
193	на котором	3	2
194	другой стороны	3	2
195	нам важно	1	2
196	здесь нет	1	2
197	кроме того	3	2
198	был бы	6	2
199	же мы	1	2
200	к себе	2	2
201	могут быть	6	2
202	и вполне	2	2
203	с образом	1	2
204	того чтобы	1	2
205	в виду	1	2
206	здесь не	1	2
207	и говорит	1	2
208	с самого	1	2
209	приводит к	3	2
210	дано в	3	2
211	и когда	1	2
212	что у	1	2
213	подойти к	1	2
214	одно из	2	2
215	находится в	2	2
216	другом месте	1	2
217	на вопрос	2	2
218	с другой	3	2
219	в свете	4	2
220	на которой	1	2
221	но с	3	2
222	оно и	1	2
223	и так	1	2
224	проникнуть в	1	2
225	уже в	3	2
226	не знал	1	2
227	является не	2	2
228	а то	1	2
229	на столе	1	2
230	и их	1	2
231	заметить что	2	2
232	и только	1	2
233	не было	4	2
234	в особенности	1	2
235	только у	3	2
236	именно в	5	2
237	здесь в	1	2
238	случаев в	1	2
239	а с	1	2
240	себя и	2	2
241	но есть	1	2
242	превращается в	4	2
243	зависит от	1	2
244	самый факт	2	2
245	что весь	1	2
246	в тех	1	2
247	в мир	3	2
248	по существу	3	2
249	в основном	1	2
250	которые были	2	2
251	и вызывает	2	2
252	будто бы	1	2
253	о смысле	1	2
254	все еще	1	2
255	не знает	3	2
256	сказать что	3	2
257	также не	2	2
258	ее в	1	2
259	себя как	2	1
260	и наиболее	1	1
261	относится и	1	1
262	героя за	1	1
263	века но	1	1
264	он может	3	1
265	это и	5	1
266	почти не	1	1
267	это очень	1	1
268	из его	2	1
269	она все	1	1
