N	4gram	Medvedev_V_1	Dialekti
1	одно и то же	1	4
2	в то же время	5	4
3	не имеет ничего общего	1	3
4	имеет ничего общего с	1	3
5	с одной стороны и	2	2
6	и т д но	1	2
7	и в то же	3	2
8	значит ли это что	1	2
9	как один из видов	1	2
10	значит только то что	1	1
11	том или ином отношении	1	1
12	до сих пор не	1	1
13	с другой стороны в	1	1
14	и есть то что	1	1
15	в этом и заключается	2	1
16	кто-то сказал что у	1	1
17	это и значит что	1	1
18	ни в какой мере	1	1
19	если бы все его	1	1
20	что для того чтобы	1	1
21	в то время как	1	1
22	иметь в виду что	1	1
23	по одному тому что	2	1
24	но в то же	1	1
25	это значит только то	1	1
26	а в том что	1	1
27	в какой мере не	1	1
28	никогда не может быть	1	1
29	уже по одному тому	2	1
