N	3gram	Berdyaev_M_2	Otkroven
1	о великом инквизиторе	2	6
2	записок из подполья	1	5
3	к человеку и	3	4
4	все герои достоевского	1	4
5	до самой глубины	1	3
6	из подполья и	2	3
7	в записках из	1	3
8	в преступлении и	1	3
9	в нем нет	2	3
10	преступлении и наказании	1	3
11	в романах достоевского	1	3
12	вопрос о боге	1	3
13	для того чтобы	4	3
14	записках из подполья	1	3
15	и в этом	3	2
16	в этом мире	1	2
17	человека в его	1	2
18	никогда не было	3	2
19	и ивана карамазова	1	2
20	а не в	2	2
21	что у него	1	2
22	в дневнике писателя	2	2
23	легенда о великом	1	2
24	не может быть	8	2
25	ли сказать что	1	2
26	можно ли сказать	1	2
27	поступил как бы	1	2
28	как и все	1	2
29	в этом он	2	2
30	влечет к гибели	2	2
31	сделать людей счастливыми	1	2
32	но и в	1	2
33	ни у кого	1	2
34	у достоевского было	1	2
35	взял все что	2	2
36	человеческой природы в	2	2
37	нет ничего кроме	1	2
38	и никогда не	2	2
39	у достоевского с	1	2
40	что любовь к	1	2
41	не только бога	1	2
42	смысле этого слова	1	1
43	добро и зло	2	1
44	он лишь в	1	1
45	счастье на земле	1	1
46	человека к богу	1	1
47	в обычном смысле	1	1
48	и к чему	1	1
49	отношение к человеку	1	1
50	по сравнению с	1	1
51	не было для	1	1
52	достоевского душа человеческая	1	1
53	зло было для	1	1
54	диалектика ивана карамазова	1	1
55	для человека и	1	1
56	по природе своей	1	1
57	дано было познать	1	1
58	все ли дозволено	1	1
59	совсем не было	1	1
60	чтобы сделать людей	1	1
61	зло должно быть	1	1
62	о том все	1	1
63	они побороли свободу	1	1
64	и он был	1	1
65	не по силам	1	1
66	раскольникова ставрогина кириллова	1	1
67	потому что в	1	1
68	говорят о том	1	1
69	и тогда уже	1	1
70	в этом тайна	1	1
71	в этой судьбе	2	1
72	том что в	1	1
73	мышкина версилова ивана	1	1
74	его образ и	1	1
75	своим что наконец-то	1	1
76	друг к другу	5	1
77	необычайного гадательного и	1	1
78	в простое средство	3	1
79	того чтобы сделать	1	1
80	что природа человеческая	1	1
81	был для него	2	1
82	человеческого общества невыносимее	1	1
83	самой последней глубине	1	1
84	есть не только	1	1
85	обычном смысле слова	1	1
86	ты взял все	1	1
87	это не есть	1	1
88	отношение к злу	1	1
89	ничего и никогда	1	1
90	так и не	1	1
91	для достоевского душа	1	1
92	к гибели и	1	1
93	как песок морской	1	1
94	неопределенного взял все	1	1
95	связано у достоевского	1	1
96	любви любовь версилова	1	1
97	том все ли	1	1
98	потому поступил как	1	1
99	все та же	1	1
100	к человеку но	1	1
101	в заслугу себе	1	1
102	преступление и наказание	1	1
103	любовь версилова к	1	1
104	находится в противоречии	1	1
105	этом он был	2	1
106	эксперименты над человеческой	1	1
107	только бога но	1	1
108	может быть назван	2	1
109	достоевского нельзя найти	1	1
110	у достоевского нет	2	1
111	может быть всего	1	1
112	тысяч великих и	1	1
113	было для него	1	1
114	он был гностиком	1	1
115	он был до	1	1
116	то он должен	1	1
117	над человеческой природой	1	1
118	не думаю чтобы	1	1
119	сам по себе	1	1
120	достоевского есть лишь	1	1
121	в этих изумительных	1	1
122	в самой последней	1	1
123	общества невыносимее свободы	1	1
124	что наконец-то они	1	1
125	сострадание к человеку	1	1
126	не в силах	1	1
127	и своим что	1	1
128	после того как	2	1
129	в гениальной диалектике	1	1
130	остается у него	1	1
131	человеческое сердце в	1	1
132	о том что	2	1
133	в этом отношении	1	1
134	бога но и	1	1
135	побороли свободу и	1	1
136	и там и	6	1
137	и к нему	1	1
138	в человеке но	1	1
139	во имя счастья	2	1
140	мити карамазова достоевский	1	1
141	ивана карамазова в	1	1
142	всегда есть лишь	1	1
143	филипповну и аглаю	2	1
144	легенды о великом	1	1
145	смирись гордый человек	1	1
146	так для того	1	1
147	у достоевского не	1	1
148	мужчины и женщины	4	1
149	заслугу себе и	1	1
150	в том что	2	1
151	последней глубине человека	1	1
152	не все дозволено	1	1
153	что все дозволено	3	1
154	на то что	1	1
155	было для человека	1	1
156	того что человек	1	1
157	достоевского только и	1	1
158	и насмешливой физиономией	1	1
159	что было не	1	1
160	и сделали так	1	1
161	и неопределенного взял	1	1
162	что не все	1	1
163	ретроградной и насмешливой	1	1
164	он никогда не	1	1
165	свободу и сделали	1	1
166	процессе мити карамазова	1	1
167	во имя свободы	1	1
168	наконец-то они побороли	1	1
169	сделали так для	1	1
170	к человеку у	1	1
171	был до глубины	2	1
172	достоевский открыл что	1	1
173	что нет у	1	1
174	у достоевского нельзя	1	1
175	ведет к гибели	1	1
176	человека в этом	1	1
177	а потому поступил	1	1
178	гениальной диалектике достоевского	1	1
179	у него была	2	1
180	все что было	2	1
181	нельзя подходить с	1	1
182	с ретроградной и	1	1
183	в братьях карамазовых	2	1
184	что это за	1	1
185	бы и не	1	1
186	никогда и нигде	1	1
187	у достоевского есть	3	1
188	а не только	1	1
189	гадательного и неопределенного	1	1
190	было не по	1	1
191	там и здесь	6	1
192	для русского человека	2	1
193	преступления и наказания	1	1
194	как и в	2	1
195	от того что	3	1
196	достоевского связана с	1	1
197	человека к человеку	3	1
198	глубине человека в	1	1
199	не любя их	1	1
200	человеческой личности и	2	1
201	в противоречии с	1	1
202	с иваном карамазовым	1	1
203	и достоевский раскрывает	1	1
204	человеку у достоевского	1	1
205	и в бесах	2	1
206	себе и своим	1	1
207	достоевского нет ничего	1	1
