N	3gram	Bakhtin_Pr_2	Sovremen
1	с точки зрения	8	5
2	не может быть	4	4
3	не может не	1	3
4	вне времени и	1	2
5	тем не менее	2	2
6	друг с другом	4	2
7	во всяком случае	1	2
8	пока наконец не	1	2
9	в отличие от	4	2
10	времени и пространства	1	2
11	может быть и	2	2
12	в настоящее время	2	2
13	то же самое	1	2
14	каждая из этих	1	1
15	точки зрения и	1	1
16	как мы это	1	1
17	одной стороны и	1	1
18	по крайней мере	1	1
19	в любом месте	1	1
20	в связи с	1	1
21	но для чего	1	1
22	для чего же	1	1
23	дело в том	1	1
24	по отношению к	5	1
25	одна и та	2	1
26	на самом деле	1	1
27	не опирается на	1	1
28	и до сих	1	1
29	в этом смысле	2	1
30	до сих пор	7	1
31	и во всех	1	1
32	то же время	5	1
33	но тем не	1	1
34	сами по себе	1	1
35	со всеми ее	1	1
36	друг на друга	2	1
37	бы то ни	1	1
38	и та же	2	1
39	а может быть	1	1
40	мы не знаем	1	1
41	в одном направлении	1	1
42	не имеет с	1	1
43	можно было бы	3	1
44	и не может	4	1
45	в самом деле	4	1
46	той или иной	3	1
47	но все же	2	1
48	точки зрения своего	2	1
49	в то же	5	1
50	как мы видим	1	1
51	со всеми его	1	1
52	в том что	1	1
53	общего не имеет	1	1
54	между собой поэтому	1	1
55	на этот вопрос	2	1
56	дело идет о	1	1
57	то ни было	1	1
58	с одной стороны	1	1
59	ничего общего не	1	1
60	для наших целей	1	1
61	на этот раз	1	1
62	и к одному	1	1
