N	2gram	Medvedev_U_1	Myslijsy
1	то есть	1	34
2	в том	2	32
3	и в	14	30
4	может быть	6	28
5	то же	5	23
6	не только	10	21
7	только в	2	21
8	но и	4	19
9	того что	1	18
10	том что	2	18
11	то что	7	18
12	не есть	2	17
13	что в	1	17
14	в себе	2	16
15	по себе	2	16
16	и не	8	15
17	не в	2	15
18	а не	10	15
19	таким образом	2	14
20	что и	2	13
21	если бы	2	12
22	так и	1	11
23	в этом	7	10
24	как и	3	10
25	в то	3	10
26	и что	1	10
27	мы не	2	9
28	в нем	1	9
29	было бы	3	9
30	тогда когда	1	9
31	между тем	2	9
32	для него	3	9
33	и то	3	8
34	в ней	1	8
35	в самом	2	8
36	что мы	2	8
37	с одной	1	7
38	но не	2	7
39	с тем	1	7
40	тем что	2	7
41	с другой	4	7
42	смысле этого	2	7
43	художественное произведение	5	6
44	что он	2	6
45	уже не	1	6
46	то и	1	6
47	и слово	1	6
48	не может	7	6
49	что только	1	6
50	но это	2	6
51	человека и	1	5
52	художественного произведения	2	5
53	сам по	1	5
54	независимо от	1	5
55	в своем	1	5
56	не следует	3	5
57	по крайней	2	5
58	же время	3	5
59	как на	1	5
60	не могут	2	5
61	это содержание	1	5
62	крайней мере	2	5
63	одно из	1	5
64	слово как	1	5
65	очевидно что	3	5
66	должно быть	1	5
67	сказать что	1	5
68	только как	1	5
69	не все	2	4
70	относится к	1	4
71	не было	1	4
72	он не	1	4
73	перестает быть	5	4
74	в котором	1	4
75	того как	1	4
76	и это	1	4
77	в его	2	4
78	далеко не	1	4
79	что для	1	4
80	если не	2	4
81	и потому	1	4
82	форма в	1	4
83	все это	5	4
84	тем более	1	4
85	другой стороны	3	4
86	все что	1	4
87	бы ни	1	3
88	не то	1	3
89	более или	1	3
90	что она	2	3
91	что все	2	3
92	художественном произведении	2	3
93	этого не	1	3
94	или менее	1	3
95	что при	1	3
96	настолько насколько	1	3
97	формы слова	1	3
98	могут быть	2	3
99	содержание в	1	3
100	для себя	1	3
101	в произведении	1	3
102	в словах	1	3
103	искусства и	1	3
104	можно сказать	1	3
105	это было	2	3
106	прежде всего	8	3
107	мы можем	1	3
108	само по	1	3
109	до сих	2	3
110	одной стороны	1	3
111	лишь настолько	1	3
112	сих пор	2	3
113	не существует	1	3
114	и все	1	3
115	в которой	1	3
116	в искусстве	6	3
117	к этому	1	3
118	в таком	1	3
119	а между	2	2
120	самом деле	2	2
121	в их	4	2
122	той же	1	2
123	содержания в	1	2
124	не столько	2	2
125	все в	1	2
126	существование в	1	2
127	за пределы	1	2
128	о необходимости	1	2
129	будет не	1	2
130	все же	3	2
131	что по	1	2
132	так или	1	2
133	в этой	4	2
134	на то	1	2
135	свое место	1	2
136	на его	1	2
137	не как	3	2
138	в понятии	1	2
139	входит в	1	2
140	все черты	1	2
141	в своей	3	2
142	что такое	4	2
143	а как	2	2
144	в которых	1	2
145	несомненно что	1	2
146	их в	1	2
147	она не	1	2
148	что с	1	2
149	сколько и	1	2
150	этом отношении	2	2
151	в области	3	2
152	отказаться от	1	2
153	только при	1	2
154	в буквальном	2	2
155	и с	2	2
156	об этом	1	2
157	о том	1	2
158	и содержание	1	2
159	этих слов	1	2
160	в поэтическом	1	2
161	буквальном смысле	1	2
162	которое мы	1	2
163	в виде	1	2
164	но что	1	2
165	у него	1	2
166	и даже	1	2
167	произведения искусства	3	2
168	что же	1	2
169	быть не	1	2
170	еще раз	1	2
171	на слово	1	2
172	бы в	1	2
173	в большей	1	2
174	же в	1	2
175	в системе	2	2
176	в свое	1	2
177	это в	1	2
178	своей совокупности	1	1
179	одним из	2	1
180	в сфере	1	1
181	каждом шагу	2	1
182	противном случае	2	1
183	должна быть	2	1
184	ему вообще	1	1
185	по его	1	1
186	поэзии и	1	1
187	их и	2	1
188	он уже	1	1
189	тем сам	1	1
190	имеет свою	1	1
191	знакомый нам	1	1
192	на каждом	2	1
193	не вполне	1	1
194	без них	1	1
195	один пример	1	1
196	группы и	1	1
197	чем то	1	1
198	же художественное	1	1
199	свойственна не	1	1
200	нужно будет	1	1
201	столько же	1	1
202	он был	1	1
203	бы то	3	1
204	с его	2	1
205	не без	1	1
206	данном случае	1	1
207	он может	1	1
208	в порядке	1	1
209	нет и	1	1
210	шаг к	1	1
211	первый взгляд	1	1
212	его на	1	1
213	в художественном	5	1
214	в противном	2	1
215	могли бы	2	1
216	а оно	1	1
217	но в	3	1
218	формы в	3	1
219	еще один	1	1
220	известно не	1	1
221	бы только	1	1
222	подобным образом	1	1
223	но именно	1	1
224	строится вся	1	1
225	на последующих	1	1
226	и понятий	1	1
227	искусств а	1	1
228	что нельзя	1	1
229	общего и	1	1
230	тем в	1	1
231	искусства в	1	1
232	это не	3	1
233	форму и	2	1
234	и вне	1	1
235	была уже	1	1
236	определений и	1	1
237	сводятся к	1	1
238	но если	1	1
239	или точнее	3	1
240	представлений и	1	1
241	бы почти	1	1
242	но он	1	1
243	друг другу	1	1
244	речи в	1	1
245	в современном	1	1
246	что этот	1	1
247	если нет	1	1
248	нас самих	1	1
249	его раскрывает	1	1
250	в процессе	1	1
251	нам известно	1	1
252	ничего не	2	1
253	больше чем	1	1
254	состоять в	1	1
255	это то	1	1
256	что следовало	1	1
257	на выражение	1	1
258	быть в	1	1
259	и искусства	1	1
260	с другом	1	1
261	представляется нам	2	1
262	отсюда как	1	1
263	же самое	2	1
264	она эта	1	1
265	всего что	1	1
266	когда бы	1	1
267	анализа в	1	1
268	в виду	1	1
269	такое что	1	1
270	с самим	1	1
271	для этого	3	1
272	своем кругу	1	1
273	сводится к	2	1
274	и т.д	3	1
275	говорить не	1	1
276	это доказывается	1	1
277	ее нельзя	2	1
278	все его	1	1
279	единства и	1	1
280	нас в	2	1
281	материал не	2	1
282	язык в	1	1
283	себе еще	1	1
284	знание того	1	1
285	тот же	1	1
286	сторону от	1	1
287	без этого	1	1
288	конечно не	4	1
289	а это	1	1
290	самое делает	1	1
291	или даже	1	1
292	его и	2	1
293	где бы	1	1
294	не связанных	1	1
295	это верно	1	1
296	очевидно не	2	1
297	даже не	1	1
298	или иначе	1	1
299	есть язык	1	1
300	и быть	1	1
301	не входит	1	1
302	отлична от	1	1
303	превращается в	2	1
304	его как	1	1
305	или по	1	1
306	научного анализа	1	1
307	указаниями на	1	1
308	в данном	1	1
309	находятся в	1	1
310	друг с	1	1
311	это значит	1	1
312	к следующему	1	1
313	впрочем не	1	1
314	только для	1	1
315	оно по	1	1
316	случае он	1	1
317	вряд ли	3	1
318	формы и	2	1
319	о котором	1	1
320	невозможна без	1	1
321	в данное	1	1
322	на первый	2	1
323	художественное творчество	1	1
324	вообще в	1	1
325	на одно	1	1
326	ни было	3	1
327	еще ничего	2	1
328	равно как	1	1
329	находящихся в	1	1
330	ее в	1	1
331	и эта	1	1
