N	3gram	Losev_Prob_1	StatiiOP
1	и т д	10	21
2	в том что	5	17
3	о том что	5	11
4	для того чтобы	8	10
5	и т п	1	9
6	с точки зрения	3	8
7	можно было бы	2	8
8	до сих пор	3	7
9	в этом отношении	1	7
10	на самом деле	4	6
11	в данном случае	8	6
12	с другой стороны	3	6
13	во всяком случае	3	6
14	в самом деле	2	5
15	в этой области	2	5
16	не может быть	2	5
17	дело в том	3	4
18	в своей статье	1	4
19	не только в	1	4
20	так и в	1	4
21	того или иного	2	4
22	на то что	8	4
23	в то же	4	4
24	что же касается	3	3
25	то или иное	1	3
26	так же как	2	3
27	и в этом	2	3
28	это не значит	1	3
29	заключается в том	1	3
30	ничего общего с	7	3
31	и в самом	2	3
32	не значит что	1	3
33	и только в	1	3
34	что в этой	1	2
35	одним и тем	1	2
36	пушкина что же	1	2
37	т д и	4	2
38	в этом случае	2	2
39	и в том	1	2
40	тому что в	1	2
41	в первую очередь	1	2
42	и то что	2	2
43	что в нем	3	2
44	может быть и	3	2
45	по крайней мере	2	2
46	как раз в	1	2
47	если бы мы	1	2
48	но в то	1	2
49	в то время	1	2
50	имеет ничего общего	2	2
51	так или иначе	2	2
52	тем что в	2	2
53	не имеет ничего	2	2
54	а также и	2	2
55	то что в	3	2
56	вообще не существует	1	2
57	и тем же	1	2
58	на этот раз	2	2
59	по этому поводу	3	2
60	тем не менее	18	2
61	как и в	1	2
62	на том что	2	1
63	а между тем	1	1
64	и на этот	1	1
65	было бы говорить	1	1
66	гораздо больше чем	2	1
67	той или иной	4	1
68	само собой разумеется	1	1
69	с которыми мы	1	1
70	то ни стало	1	1
71	чтобы оно не	1	1
72	так же и	3	1
73	а не в	1	1
74	не говоря уже	2	1
75	в настоящее время	3	1
76	также и в	1	1
77	в этом смысле	6	1
78	в том и	1	1
79	свидетельствует о том	2	1
80	в том же	1	1
81	же как и	1	1
82	не так уж	1	1
83	во что бы	1	1
84	говоря уже о	1	1
85	в таких случаях	2	1
86	является то что	1	1
87	сами по себе	3	1
88	постановки этого вопроса	1	1
89	но все-таки это	1	1
90	также и то	2	1
91	бы то ни	1	1
92	а может быть	2	1
93	только то что	4	1
94	обратить внимание на	1	1
95	с которыми он	1	1
96	это вовсе не	2	1
97	точно так же	4	1
98	может быть даже	2	1
99	вовсе не так	1	1
100	в каждом отдельном	1	1
101	только тем что	1	1
102	об этом не	1	1
103	о том кто	1	1
104	которой можно было	1	1
105	он является в	1	1
106	и вовсе не	4	1
107	и в других	3	1
108	значит что мы	1	1
109	в это время	1	1
110	что бы то	1	1
111	о том как	2	1
112	то время как	1	1
113	если не считать	1	1
114	это не просто	1	1
115	для нас особенно	1	1
116	и что в	2	1
117	что то что	1	1
118	содержит в себе	7	1
119	можно даже сказать	1	1
120	можно ли считать	1	1
121	как бы хорошо	1	1
122	то что для	1	1
123	в том чтобы	1	1
124	в нем может	1	1
125	нем может быть	1	1
126	этому поводу с	1	1
127	и в то	1	1
128	а есть только	2	1
129	как будто бы	1	1
130	во всех этих	2	1
131	но даже и	1	1
132	то что было	1	1
133	в каком случае	3	1
134	потому что она	1	1
135	то что он	3	1
136	а вовсе не	1	1
137	вовсе еще не	3	1
138	могут и не	1	1
139	как бы они	1	1
140	ни в каком	3	1
141	вместо этого он	1	1
142	таким образом в	1	1
143	и о том	3	1
144	д и т	3	1
145	быть даже и	2	1
146	мы на самом	1	1
147	и притом в	1	1
148	даже сказать что	1	1
149	во всех случаях	1	1
150	в одно целое	2	1
151	не хочет знать	1	1
152	даже и в	1	1
153	притом не в	1	1
154	но то что	1	1
155	ни для кого	1	1
156	или вернее сказать	2	1
157	ни о каком	1	1
158	для кого не	1	1
159	каком случае не	2	1
160	в то или	1	1
161	xviii и xix	1	1
162	которая была бы	1	1
163	о них даже	1	1
164	к тому что	1	1
165	для которых эта	1	1
166	в результате этого	1	1
167	после всех этих	2	1
168	если бы оно	1	1
169	внимание на то	1	1
170	вовсе не является	3	1
171	мы имеем дело	1	1
172	но ведь это	1	1
173	внимание также и	1	1
174	у нас еще	1	1
175	и это не	1	1
176	в конце концов	4	1
