N	2gram	Medvedev_F_2	VelikijI
1	и не	20	20
2	и в	38	16
3	так как	4	9
4	то что	6	9
5	в истории	6	8
6	что они	4	7
7	а не	6	7
8	не есть	3	6
9	но и	13	5
10	того что	3	5
11	хотя и	3	5
12	все это	3	5
13	как бы	4	5
14	и есть	1	4
15	говорить о	5	4
16	в его	10	4
17	в этом	27	4
18	что он	5	4
19	потому что	2	4
20	в нем	13	4
21	так и	8	4
22	что не	4	4
23	как и	9	4
24	в котором	2	4
25	в ней	6	4
26	и все	3	4
27	это еще	1	4
28	от этого	3	3
29	должна быть	5	3
30	хотя бы	6	3
31	то это	3	3
32	как не	1	3
33	лишь в	7	3
34	в чем	2	3
35	с его	11	3
36	во всех	5	3
37	что и	8	3
38	в том	11	3
39	тот же	1	3
40	но в	4	3
41	по этому	2	3
42	все эти	6	3
43	они в	1	3
44	в конце	2	3
45	их в	2	3
46	в своей	7	3
47	и мы	1	3
48	ни в	2	3
49	в них	1	3
50	не было	6	3
51	должно быть	2	3
52	если не	1	3
53	в этих	2	3
54	что во	1	3
55	в первый	5	3
56	и против	1	3
57	не в	15	3
58	любовь к	1	3
59	тому что	2	3
60	но это	2	3
61	не имеет	2	3
62	никогда не	2	3
63	их от	1	3
64	превращается в	2	3
65	и для	5	3
66	к тому	4	3
67	жизни и	3	3
68	что в	7	3
69	оно не	4	3
70	и это	2	2
71	того чтобы	3	2
72	и то	2	2
73	во главе	1	2
74	и сам	1	2
75	и т	14	2
76	можно было	1	2
77	его не	2	2
78	мы не	3	2
79	когда в	1	2
80	и новые	1	2
81	в последнем	1	2
82	с ним	2	2
83	ее и	2	2
84	и во	1	2
85	между тем	2	2
86	от этих	2	2
87	этого самого	1	2
88	материалом для	3	2
89	его к	1	2
90	только в	6	2
91	конечно не	1	2
92	уже не	7	2
93	не только	9	2
94	чтобы овладеть	1	2
95	на этих	1	2
96	вера в	1	2
97	не так	2	2
98	для него	7	2
99	не к	2	2
100	не могли	2	2
101	вот почему	1	2
102	тем что	8	2
103	который тоже	1	2
104	не будет	2	2
105	это не	2	2
106	т д	5	2
107	прежде всего	15	2
108	для них	3	2
109	все равно	1	2
110	с тем	11	2
111	один из	2	2
112	не могут	7	2
113	является в	2	2
114	значения и	2	2
115	да и	1	2
116	им что	1	2
117	том что	2	2
118	а к	2	2
119	для нас	1	2
120	от него	2	2
121	в форме	1	2
122	и теперь	4	2
123	они и	1	2
124	ее в	2	2
125	это все	1	2
126	не создает	1	2
127	а в	6	2
128	но не	2	2
129	могут быть	6	2
130	чтобы сделать	2	2
131	без смысла	1	2
132	всего в	2	2
133	во всяком	5	2
134	от этой	1	1
135	как мы	7	1
136	в виду	2	1
137	смысл чтобы	1	1
138	для себя	1	1
139	в ее	2	1
140	смысла от	1	1
141	в тюрьму	1	1
142	ни стало	2	1
143	в словах	1	1
144	в практическом	2	1
145	и до	3	1
146	роль в	3	1
147	важное место	2	1
148	значение в	1	1
149	мы будем	1	1
150	образование в	1	1
151	то же	6	1
152	их и	1	1
153	и которые	1	1
154	из всего	3	1
155	в результате	6	1
156	и тут	1	1
157	это только	1	1
158	что уже	1	1
159	вопрос о	1	1
160	не была	2	1
161	который был	1	1
162	находится в	2	1
163	говорят что	1	1
164	о возможности	3	1
165	и ее	6	1
166	же что	1	1
167	зависимости от	3	1
168	в их	6	1
169	и на	3	1
170	он был	2	1
171	в последних	2	1
172	со словами	1	1
173	бы то	1	1
174	отказ от	1	1
175	все в	1	1
176	что оно	4	1
177	к нему	3	1
178	но как	2	1
179	от них	1	1
180	если в	3	1
181	менее всего	3	1
182	бы в	5	1
183	важное для	1	1
184	не просто	2	1
185	крайней мере	1	1
186	это лишь	1	1
187	что бы	1	1
188	во что	1	1
189	как в	4	1
190	и самые	1	1
191	в своем	1	1
192	потребность в	1	1
193	все же	8	1
194	с ними	2	1
195	мы увидим	1	1
196	от смысла	3	1
197	и хотя	1	1
198	все новые	1	1
199	как байрон	1	1
200	и так	1	1
201	духа в	1	1
202	со своей	2	1
203	в самом	16	1
204	в которой	2	1
205	что это	3	1
206	в целом	3	1
207	их не	1	1
208	в этой	6	1
209	же и	2	1
210	им в	1	1
211	уже в	2	1
212	то и	3	1
213	в виде	1	1
214	только слово	1	1
215	бог не	1	1
216	и стало	1	1
217	каким образом	1	1
218	или даже	2	1
219	они только	2	1
220	и путем	1	1
221	в понимании	2	1
222	и навсегда	1	1
223	не люди	1	1
224	и должна	1	1
225	вовсе не	11	1
226	не для	1	1
227	отношение к	2	1
228	но что	1	1
229	бытия и	1	1
230	и по	2	1
231	на этом	2	1
232	есть непрерывная	1	1
233	так легко	1	1
234	тут не	1	1
235	лишь к	1	1
236	для того	3	1
237	то ни	2	1
238	и с	9	1
239	ней и	1	1
240	с другой	3	1
241	есть не	1	1
242	тот который	1	1
243	и тем	2	1
244	были в	1	1
245	в высшую	1	1
246	создает новых	1	1
247	говорит о	1	1
248	эта попытка	1	1
249	был в	1	1
250	ничем не	2	1
251	слова для	1	1
252	очень важное	1	1
253	свободны от	1	1
254	о чем	1	1
255	места в	1	1
256	вместе с	6	1
257	так же	1	1
258	как это	2	1
259	вот к	1	1
260	является и	1	1
261	общественности в	1	1
262	мы в	2	1
263	быть от	1	1
264	их к	3	1
265	у нас	1	1
266	нужны слова	1	1
267	ведет к	1	1
268	эта не	1	1
269	в заслугу	1	1
270	по крайней	1	1
271	поскольку он	2	1
272	или тебе	1	1
273	этого слова	1	1
274	раз и	4	1
275	и нет	1	1
276	к ним	1	1
277	и другое	2	1
278	на котором	2	1
279	не по	2	1
280	смысле и	1	1
281	и именно	1	1
282	но она	1	1
283	конкретные формы	1	1
284	в другие	1	1
285	не существует	1	1
286	и от	2	1
287	нельзя не	1	1
288	ничего не	4	1
289	всего можно	1	1
290	лишь как	4	1
291	может быть	23	1
292	в русском	1	1
293	вообще в	1	1
294	как она	2	1
295	конце концов	2	1
296	во всем	1	1
297	на него	1	1
298	непрерывная борьба	1	1
299	связь с	1	1
300	что на	2	1
301	другой стороны	4	1
302	им не	1	1
303	но все	3	1
304	в трех	1	1
305	к этому	4	1
306	возможны лишь	2	1
307	ли они	1	1
308	его с	3	1
309	в искусстве	2	1
310	и другие	2	1
311	в своих	1	1
312	слова с	1	1
313	в процессе	9	1
314	и эта	1	1
315	им и	1	1
316	она не	2	1
317	они не	4	1
