N	3gram	Berdyaev_M_1	Psycholo
1	для того чтобы	2	19
2	в том что	1	12
3	о том что	1	10
4	в самом деле	1	7
5	что он не	2	4
6	можно было бы	1	4
7	по прямой линии	1	3
8	к тому чтобы	2	3
9	в конце концов	2	3
10	несет в себе	1	3
11	во всяком случае	1	3
12	это и есть	4	3
13	и т п	1	3
14	до сих пор	2	3
15	и в конце	2	2
16	потому что он	1	2
17	во всех этих	1	2
18	вместе с тем	5	2
19	то время как	2	2
20	одна и та	1	2
21	в нем нет	1	2
22	в то время	2	2
23	и в самом	3	2
24	и та же	1	2
25	что иное как	1	1
26	психологической точки зрения	1	1
27	а не в	4	1
28	по отношению к	2	1
29	в которых он	1	1
30	яснее и проще	1	1
31	потому что не	1	1
32	у него не	1	1
33	не было бы	5	1
34	но он не	2	1
35	с тем что	3	1
36	и не может	2	1
37	никогда не был	2	1
38	отрицанию не только	1	1
39	у него нет	1	1
40	к отрицанию не	1	1
41	и когда мы	1	1
42	человек и в	1	1
43	до конца и	1	1
44	с психологической точки	1	1
45	есть только одно	1	1
46	и не было	1	1
47	и в этой	4	1
48	чтобы открыть что	1	1
49	друг к другу	1	1
50	сам не может	1	1
51	и в самой	1	1
52	а не только	2	1
53	и на этом	2	1
54	как бы в	1	1
55	в нем есть	1	1
56	тем что в	1	1
57	что до сих	1	1
58	ставит нас перед	1	1
59	не может быть	17	1
60	открыть что в	1	1
61	не что иное	1	1
62	имел в виду	1	1
63	и вместе с	4	1
64	всего того что	1	1
65	и никогда не	1	1
66	того что составляет	1	1
67	не только в	2	1
68	и всякий раз	1	1
69	уже в конце	1	1
70	так же мало	1	1
71	только с одним	1	1
72	и есть та	1	1
73	и у него	1	1
74	в этом все	1	1
75	что и в	1	1
76	не до конца	1	1
77	может быть он	1	1
78	мы увидим что	3	1
79	которых он сам	1	1
80	она не может	1	1
81	новый свет и	1	1
