N	3gram	Propp_Russ_2	Russkaja
1	в том что	18	7
2	во всяком случае	1	6
3	для того чтобы	6	6
4	а между тем	1	5
5	более или менее	1	4
6	на то что	1	4
7	не может быть	3	4
8	не может не	1	3
9	в этом случае	6	3
10	вместе с тем	4	3
11	можно было бы	1	3
12	в данном случае	6	3
13	в настоящее время	1	2
14	тогда когда они	1	2
15	использовать в своих	1	2
16	но она не	2	2
17	и в том	1	2
18	о том что	4	2
19	ни одна из	1	2
20	в некоторых других	1	1
21	для нас важно	1	1
22	в другом месте	1	1
23	этом и состоит	1	1
24	которой идет речь	1	1
25	состоит в том	13	1
26	в остальное время	1	1
27	дело в том	1	1
28	в свою очередь	1	1
29	не всегда бывают	1	1
30	и в некоторых	2	1
31	в том же	1	1
32	мы уже знаем	1	1
33	может быть назван	1	1
34	так как оно	1	1
35	и то и	1	1
36	и в других	4	1
37	особое значение и	1	1
38	в этом отношении	1	1
39	россии еще не	1	1
40	в применении к	1	1
41	говорить что в	1	1
42	в том чтобы	2	1
43	смысле этого слова	1	1
44	нельзя отрицать что	1	1
45	и в этом	1	1
46	во всех этих	1	1
47	всяком случае не	1	1
48	те или другие	1	1
49	на земле что	1	1
50	о которой идет	1	1
51	так же как	4	1
52	и таким образом	1	1
53	между собой и	1	1
54	в этом и	2	1
55	это и есть	1	1
56	в своих целях	1	1
57	так как это	1	1
58	вопрос о том	1	1
59	тем более что	1	1
60	совершенно очевидно что	1	1
61	тем не менее	2	1
62	во многих случаях	2	1
63	всех этих случаях	1	1
64	на первый взгляд	1	1
