N	3gram	Vinokur_Ku_2	Myshleni
1	с точки зрения	8	18
2	для того чтобы	8	15
3	в том что	10	15
4	с другой стороны	7	9
5	с одной стороны	1	8
6	с самого начала	1	8
7	заключается в том	1	6
8	о том что	1	6
9	мы могли бы	1	5
10	вместе с тем	2	5
11	по сравнению с	1	5
12	так же как	2	5
13	не может быть	4	5
14	в то время	1	5
15	до сих пор	1	4
16	то время как	1	4
17	в этом отношении	3	4
18	можно сказать что	2	4
19	смысле этого слова	1	3
20	на то что	2	3
21	сам по себе	1	3
22	в первую очередь	1	3
23	можно было бы	9	3
24	к тому что	1	3
25	в том чтобы	1	3
26	во всяком случае	5	3
27	в свою очередь	2	3
28	том что в	1	2
29	он должен быть	1	2
30	прежде всего в	1	2
31	и той же	1	2
32	влечет за собой	1	2
33	в известном смысле	1	2
34	в зависимости от	4	2
35	на этот вопрос	2	2
36	то же время	3	2
37	могли бы сказать	1	2
38	и в частности	1	2
39	в данном случае	1	2
40	в значительной степени	1	2
41	приводит к тому	1	2
42	все более и	1	2
43	ответ на этот	1	2
44	вместо того чтобы	1	2
45	однако несмотря на	1	2
46	более и более	1	2
47	в самом деле	7	2
48	речь идет о	1	2
49	в то же	3	2
50	одной и той	1	2
51	только тогда когда	1	2
52	потому что он	2	1
53	в области изучения	1	1
54	а следовательно и	2	1
55	в целом от	1	1
56	там где его	1	1
57	мысль и речь	1	1
58	понимать под этим	1	1
59	к этому же	1	1
60	письменной речи и	1	1
61	дело в том	1	1
62	которые хотя и	1	1
63	принципиально нового в	1	1
64	большей или меньшей	3	1
65	на самом деле	2	1
66	в этом смысле	5	1
67	слова не только	1	1
68	и до конца	1	1
69	свое выражение в	1	1
70	должен был бы	1	1
71	речи с другой	1	1
72	чтобы показать что	1	1
73	если бы речь	1	1
74	в своей книге	1	1
75	что он не	1	1
76	в отличие от	2	1
77	не оставляет сомнений	1	1
78	хотя и не	1	1
79	представить себе что	1	1
80	только то что	1	1
81	об этом в	1	1
82	речи так как	1	1
83	точно так же	3	1
84	на первом месте	1	1
85	одном и том	1	1
86	интересующих нас вопросов	1	1
87	с этой точки	2	1
88	по крайней мере	6	1
89	в узком кругу	1	1
90	только для того	1	1
91	и то что	1	1
92	речи а ее	1	1
93	в одном и	1	1
94	то обстоятельство что	7	1
95	едва ли не	1	1
96	том что мы	1	1
97	в этой области	4	1
98	в результате этого	2	1
99	не только в	4	1
100	к вопросу о	2	1
101	таков должен быть	1	1
102	в конце концов	3	1
103	потому что оно	1	1
104	состоит в том	1	1
105	речь не выполняет	1	1
106	и потому что	2	1
107	по сравнению со	1	1
108	оставляет сомнений в	1	1
109	что к этому	1	1
110	таким же образом	1	1
111	этот вопрос о	1	1
112	именно в силу	2	1
113	как впрочем и	1	1
114	на вопросе о	1	1
115	того кто его	1	1
116	на этом пути	1	1
117	потому что они	1	1
118	и пр и	1	1
119	этой точки зрения	2	1
120	то что я	1	1
121	убедиться в этом	1	1
122	но для того	1	1
123	на точку зрения	1	1
124	отношений и связей	1	1
125	то что мы	1	1
126	в соответствии с	2	1
127	само по себе	5	1
128	бы речь шла	1	1
129	и никогда не	1	1
130	в связь с	1	1
131	с большим основанием	1	1
132	в конечном счете	2	1
133	но все же	2	1
134	и том же	1	1
135	этого слова и	1	1
136	в каком отношении	1	1
137	в силу своей	1	1
138	сама по себе	1	1
139	на то как	1	1
140	пр и пр	1	1
141	и т д	14	1
142	тем не менее	5	1
143	то же что	1	1
144	находит свое выражение	1	1
145	как и в	1	1
146	ничего принципиально нового	1	1
147	и с другой	1	1
