N	2gram	Nazirov_Tv_2	KFilosof
1	может быть	8	43
2	в его	10	39
3	в нем	3	31
4	не может	7	27
5	и не	9	26
6	по отношению	3	25
7	и в	20	22
8	в себе	3	21
9	в котором	3	21
10	отношению к	3	21
11	для меня	1	20
12	не есть	1	19
13	и его	9	17
14	в ее	2	17
15	а не	6	17
16	только в	2	16
17	в этом	8	13
18	и это	3	12
19	но не	5	12
20	ни в	1	12
21	для него	3	12
22	все эти	4	11
23	в своей	6	11
24	не в	4	11
25	во всех	1	10
26	это не	7	10
27	все это	6	10
28	и есть	2	9
29	в их	3	9
30	в целом	6	9
31	бытия и	1	9
32	но и	8	9
33	как бы	11	9
34	и для	1	9
35	лишь в	1	8
36	было бы	1	8
37	мир в	1	8
38	если бы	4	8
39	со стороны	1	8
40	не было	2	8
41	я должен	1	7
42	то что	3	7
43	должен быть	1	7
44	на основе	1	7
45	в себя	1	7
46	и здесь	1	7
47	что и	1	7
48	себя в	2	7
49	вовсе не	2	7
50	я не	2	6
51	менее всего	1	6
52	отношение к	1	6
53	отнюдь не	4	6
54	и я	1	6
55	он не	3	6
56	не значит	1	6
57	но лишь	1	6
58	в мире	5	6
59	этот момент	1	6
60	и только	2	6
61	совершенно не	1	6
62	уже не	3	6
63	и их	1	6
64	но это	5	6
65	в том	8	6
66	жизни как	1	5
67	но как	1	5
68	все же	5	5
69	но в	4	5
70	не только	13	5
71	но ведь	2	5
72	то же	7	5
73	его в	3	5
74	как и	6	5
75	должно быть	1	5
76	что я	2	5
77	но эта	2	5
78	не имеет	1	5
79	никогда не	11	5
80	для себя	1	5
81	с ним	3	5
82	именно в	6	5
83	ее и	1	5
84	в основе	2	5
85	жизни в	3	5
86	не знает	1	5
87	я могу	1	5
88	как его	1	4
89	проникает в	2	4
90	быть в	1	4
91	в чем	4	4
92	при этом	8	4
93	ценности и	1	4
94	входит в	1	4
95	место в	3	4
96	тем самым	4	4
97	чем не	1	4
98	о нем	1	4
99	с ними	2	4
100	познания и	2	4
101	между тем	3	4
102	в одном	2	4
103	бытия но	1	4
104	том что	4	4
105	для нас	1	4
106	а в	4	4
107	только как	1	4
108	что в	7	4
109	в своих	3	4
110	бытия а	1	3
111	самом деле	2	3
112	из его	1	3
113	для которого	2	3
114	мы не	4	3
115	что это	1	3
116	еще не	5	3
117	и на	5	3
118	нет и	2	3
119	бы не	2	3
120	теории и	1	3
121	в каждом	1	3
122	в другом	1	3
123	себя не	1	3
124	нет в	1	3
125	рядом с	2	3
126	что этот	2	3
127	не менее	2	3
128	меня не	1	3
129	я буду	2	3
130	ничего не	4	3
131	целом и	2	3
132	могут быть	2	3
133	меня в	1	3
134	культуры и	1	3
135	ясно что	1	3
136	с человеком	1	3
137	в виду	1	3
138	о том	5	3
139	того или	1	3
140	нем и	1	3
141	в современной	1	3
142	а лишь	1	3
143	действительной жизни	1	3
144	не дает	1	3
145	был бы	1	3
146	тем что	3	3
147	что не	3	3
148	в момент	1	3
149	поскольку он	1	3
150	а все	1	3
151	от него	1	3
152	и ни	1	3
153	не должен	1	3
154	только с	2	3
155	не быть	1	3
156	но можно	1	3
157	в свою	1	3
158	или иного	1	3
159	в то	10	3
160	не остается	1	2
161	это и	1	2
162	что правда	1	2
163	едва ли	2	2
164	этот факт	2	2
165	с его	1	2
166	жить и	1	2
167	к которой	1	2
168	или иное	1	2
169	стал бы	1	2
170	же с	9	2
171	как в	4	2
172	то или	1	2
173	и как	1	2
174	думать что	1	2
175	в этой	5	2
176	нами в	1	2
177	в принципе	4	2
178	в виде	2	2
179	ни был	1	2
180	так и	6	2
181	смысла в	1	2
182	а по	1	2
183	и мы	3	2
184	он ни	1	2
185	в жизни	1	2
186	из нее	1	2
187	бытие и	1	2
188	соответствии с	4	2
189	жизни но	1	2
190	я его	1	2
191	есть его	1	2
192	и эти	1	2
193	по себе	1	2
194	тому что	1	2
195	нечто вроде	1	2
196	мышления и	1	2
197	дело в	1	2
198	в процессе	2	2
199	же время	7	2
200	в сознании	1	2
201	в области	1	2
202	к себе	1	2
203	его с	1	2
204	бы он	1	2
205	той или	1	2
206	активности в	1	2
207	отказаться от	2	2
208	ничего общего	1	2
209	говорить о	2	2
210	жизнь и	1	2
211	сводится к	2	2
212	может не	1	2
213	в ту	2	2
214	и она	1	2
215	ориентация в	1	2
216	тот же	1	2
217	что он	6	2
218	философии но	2	2
219	а с	3	2
220	конечно этот	1	2
221	сознания не	1	2
222	не из	1	2
223	и других	2	2
224	его и	2	2
225	процесс и	1	2
226	не о	1	2
227	автора как	1	2
228	или иной	1	2
229	ли это	1	2
230	прежде всего	8	2
231	в соответствии	4	2
232	если не	4	2
233	я уже	1	2
234	и потому	4	2
235	могу быть	1	2
236	что за	1	2
237	этого слова	1	2
238	оценки и	1	2
239	которой он	2	2
240	это уже	2	2
241	человек и	1	2
242	еще более	1	2
243	ни к	2	2
244	потому что	7	2
245	отношении к	1	2
246	его к	1	2
247	но этот	1	2
248	но ни	1	2
249	к этому	3	2
250	не зависит	1	1
251	ту же	1	1
252	ни во	2	1
253	человека и	3	1
254	и через	3	1
255	в стороне	2	1
256	ты и	1	1
257	и до	1	1
258	можно в	1	1
259	видеть в	1	1
260	действительности и	1	1
261	мы уже	1	1
262	той же	1	1
263	из всех	1	1
264	со всех	1	1
265	не делает	1	1
266	что уже	1	1
267	и абсолютная	1	1
268	не была	1	1
269	оба эти	1	1
270	эстетики и	1	1
271	эта функция	1	1
272	и ее	2	1
273	как я	1	1
274	движении в	1	1
275	и он	2	1
276	всех сторон	1	1
