N	3gram	Voloshinov_1	Morfolog
1	не может быть	7	8
2	подобно тому как	1	5
3	таким образом мы	1	5
4	по отношению к	11	4
5	с точки зрения	2	4
6	с другой стороны	2	4
7	тем не менее	3	4
8	на самом деле	2	3
9	но все же	1	3
10	как и в	1	3
11	более или менее	1	2
12	в настоящее время	2	2
13	может быть и	3	2
14	то время как	1	2
15	с одной стороны	2	2
16	и таким образом	1	2
17	в то время	1	2
18	в том что	4	2
19	уже не может	1	1
20	бы они ни	1	1
21	до сих пор	3	1
22	сих пор не	1	1
23	если же он	1	1
24	является то что	1	1
25	ни в коем	1	1
26	было бы показать	1	1
27	бы то ни	3	1
28	в какой степени	2	1
29	можно было бы	1	1
30	в противном случае	1	1
31	хотя и здесь	1	1
32	в коем случае	1	1
33	одно и то	2	1
34	эти и подобные	2	1
35	к нему в	1	1
36	в данном случае	2	1
37	с другими формами	1	1
38	на этом основании	1	1
39	и то же	2	1
40	важно не то	1	1
41	все более и	1	1
42	во всяком случае	1	1
43	но если бы	1	1
44	самом деле в	1	1
45	друг к другу	1	1
46	то же время	1	1
47	далеко не всегда	1	1
48	мы имеем в	1	1
49	о том что	1	1
50	с самого начала	1	1
51	можно сказать что	5	1
52	они ни были	1	1
53	и независимо от	1	1
54	в то же	1	1
55	более и более	1	1
