N	3gram	Berdyaev_O_1	FransuaR
1	как и все	2	3
2	и прежде всего	1	3
3	для того чтобы	3	3
4	но и в	2	2
5	в этом отношении	1	2
6	по сравнению с	1	2
7	в одном месте	1	2
8	не может быть	2	2
9	о том что	1	2
10	и все что	1	2
11	как и в	1	2
12	смысле этого слова	1	1
13	в другом месте	1	1
14	том что в	1	1
15	прежде всего в	1	1
16	обычном смысле слова	1	1
17	о том как	1	1
18	и не может	1	1
19	в строгом смысле	1	1
20	он и не	1	1
21	вместо того чтобы	1	1
22	принято думать что	1	1
23	бы и не	1	1
24	и в этом	2	1
25	как будто бы	1	1
26	все что было	1	1
27	говорят о том	1	1
28	во всяком случае	1	1
29	само по себе	1	1
30	между этими двумя	1	1
31	даже и в	1	1
32	этого мира в	1	1
33	и в самом	1	1
34	в обычном смысле	1	1
35	но и ее	1	1
36	уже указывали на	1	1
37	в том что	1	1
38	не так как	1	1
