N	2gram	Bakhtin_Pr_2	EvropaiE
1	и в	43	37
2	в отношении	3	32
3	в пределах	16	25
4	точки зрения	13	23
5	что в	4	21
6	не только	11	18
7	с точки	8	17
8	в то	7	16
9	то же	8	15
10	хотя бы	2	15
11	отношении к	2	15
12	в своем	4	14
13	но в	10	14
14	же время	5	14
15	в качестве	1	14
16	но и	14	14
17	и не	29	14
18	в этом	13	12
19	в их	3	11
20	в том	6	11
21	так и	3	10
22	в себе	5	9
23	только в	4	9
24	прежде всего	10	9
25	все более	1	9
26	не может	18	9
27	так же	2	9
28	т е	26	9
29	в смысле	1	9
30	в ее	1	8
31	было бы	5	8
32	в своей	4	8
33	к тому	4	8
34	между тем	3	8
35	с одной	1	8
36	одной стороны	1	8
37	также и	3	7
38	нам кажется	5	7
39	того что	2	7
40	так как	4	7
41	с другой	4	7
42	как и	14	7
43	по своему	2	7
44	может быть	23	6
45	и на	10	6
46	во всех	4	6
47	стороны и	3	6
48	на то	5	6
49	то есть	4	6
50	том что	2	6
51	того чтобы	1	6
52	вовсе не	5	6
53	и даже	3	6
54	как бы	22	6
55	то что	7	6
56	же как	1	5
57	которую мы	1	5
58	но не	5	5
59	не в	11	5
60	и по	1	5
61	к которым	1	5
62	как мы	10	5
63	одной из	1	5
64	в виде	3	5
65	от этого	1	5
66	и потому	1	5
67	в той	5	5
68	как нам	2	5
69	этой точки	1	5
70	то в	1	4
71	мы не	4	4
72	вопрос о	2	4
73	в некотором	1	4
74	в самом	7	4
75	то ни	1	4
76	несмотря на	1	4
77	чем в	1	4
78	даже в	3	4
79	не имеет	1	4
80	в процессе	2	4
81	в направлении	4	4
82	той или	3	4
83	бы то	1	4
84	по себе	11	4
85	можно сказать	1	4
86	тем более	1	4
87	ни было	2	4
88	само по	1	4
89	или иной	3	4
90	не на	4	4
91	как это	1	4
92	для нас	2	4
93	сказать что	2	4
94	идет о	1	3
95	бы и	2	3
96	на себя	2	3
97	и со	3	3
98	того же	3	3
99	в общем	1	3
100	как в	2	3
101	когда он	3	3
102	и к	3	3
103	себе не	1	3
104	но на	2	3
105	вообще не	1	3
106	мы можем	2	3
107	большинстве случаев	8	3
108	и мы	1	3
109	этом смысле	2	3
110	и тем	1	3
111	в них	4	3
112	во второй	1	3
113	она в	1	3
114	в которых	2	3
115	дело в	2	3
116	никогда не	9	3
117	в пределы	1	3
118	уже и	2	3
119	с другом	4	3
120	бы ни	2	3
121	можно было	3	3
122	о том	5	3
123	от них	2	3
124	что и	3	3
