N	2gram	Potebnia_M_2	slovoVRo
1	и в	24	41
2	в нем	9	30
3	и т	6	28
4	то есть	30	26
5	т п	3	23
6	могут быть	8	19
7	во всех	7	17
8	не только	15	16
9	и не	19	16
10	но и	9	16
11	а не	18	15
12	то же	12	14
13	и на	8	14
14	в то	6	14
15	и его	2	14
16	может быть	23	14
17	и др	1	14
18	не может	12	14
19	слова и	3	13
20	в его	2	13
21	в этом	8	12
22	же время	2	12
23	языка и	3	12
24	как бы	9	12
25	так и	5	11
26	язык и	1	10
27	в большинстве	1	10
28	в той	1	10
29	слово в	1	10
30	все эти	2	9
31	таким образом	11	9
32	как в	10	8
33	но в	4	8
34	с точки	1	8
35	как мы	1	8
36	в особенности	1	8
37	или в	2	8
38	слова в	5	8
39	прежде всего	7	8
40	отношение к	1	7
41	все же	5	7
42	в слове	13	7
43	не в	13	7
44	вовсе не	9	7
45	с ним	5	7
46	и следовательно	2	7
47	все они	1	7
48	во всяком	7	7
49	того же	14	6
50	при этом	13	6
51	это не	3	6
52	в них	5	6
53	к своему	1	6
54	слова как	1	6
55	оно не	3	6
56	только в	11	6
57	большинстве случаев	1	6
58	по своим	1	6
59	а в	8	6
60	отношении к	2	6
61	языку и	1	5
62	в самом	4	5
63	он в	1	5
64	так сказать	4	5
65	т д	3	5
66	с другими	5	5
67	далеко не	3	5
68	всяком случае	7	5
69	все это	2	5
70	не на	2	5
71	в языке	3	5
72	к нему	1	5
73	слово как	2	5
74	с другой	6	5
75	и непосредственно	1	5
76	ту же	1	4
77	одним из	1	4
78	в ней	3	4
79	еще не	4	4
80	с его	2	4
81	за пределы	2	4
82	перед нами	1	4
83	и наконец	1	4
84	в которой	5	4
85	всех этих	2	4
86	не как	3	4
87	в каждом	2	4
88	связанных с	1	4
89	и с	1	4
90	лишь в	1	4
91	входит в	1	4
92	как и	7	4
93	в их	1	4
94	том же	1	4
95	в процессе	1	4
96	и для	3	4
97	на предмет	2	4
98	ничего не	1	4
99	все его	1	4
100	большей или	1	4
101	один из	2	4
102	оно и	1	4
103	с одной	4	4
104	языка как	1	4
105	рядом с	3	4
106	или меньшей	1	4
107	одной стороны	3	4
108	и все	3	4
109	там где	4	4
110	и потому	2	4
111	и от	3	4
112	известной степени	1	4
113	другой стороны	2	4
114	от всякой	1	3
115	единство и	1	3
116	эта форма	1	3
117	на ответ	1	3
118	более или	8	3
119	бы и	1	3
120	из этих	4	3
121	все слова	2	3
122	в себе	10	3
123	связанные с	2	3
124	внутренней речи	1	3
125	и сам	1	3
126	как оно	2	3
127	и может	3	3
128	его в	3	3
129	было бы	13	3
130	он не	1	3
131	от языка	1	3
132	и прямо	1	3
133	или менее	8	3
134	всей вероятности	1	3
135	которые в	1	3
136	не должно	2	3
137	нем в	1	3
138	не могло	1	3
139	никогда не	4	3
140	и здесь	2	3
141	не могут	7	3
142	в других	4	3
143	к тому	1	3
144	смысле в	1	3
145	к языку	4	3
146	образом в	4	3
147	формы и	1	3
148	о том	5	3
149	и во	3	3
150	переходит в	1	3
151	того что	7	3
152	в том	18	3
153	бы ни	5	3
154	самом предмете	1	3
155	конечно не	1	3
156	и других	2	3
157	из них	5	3
158	его и	1	3
159	для него	10	3
160	так как	10	3
161	друг друга	2	3
162	у него	2	3
163	именно в	1	3
164	в свою	6	3
165	по всей	1	3
166	не было	6	3
167	в истории	1	3
168	не были	1	3
169	с этим	7	3
170	влияния на	2	3
171	с этой	1	3
172	вне себя	2	3
173	в большей	1	3
174	хотя бы	2	3
175	с ними	3	3
176	но эти	2	3
177	которая не	1	3
178	а между	4	2
179	например в	3	2
180	на самом	2	2
181	то в	1	2
182	в котором	4	2
183	мы уже	1	2
184	той же	3	2
185	а как	1	2
186	мы не	11	2
187	из своих	1	2
188	время как	4	2
189	они были	1	2
190	мы и	1	2
191	и заставляет	1	2
192	свою очередь	6	2
193	дает им	1	2
194	и то	3	2
195	между собой	1	2
196	столь же	5	2
197	одним словом	4	2
198	в ее	1	2
199	он может	1	2
200	но не	12	2
201	что они	5	2
202	сих пор	4	2
203	речи но	1	2
204	как к	1	2
205	хотя и	3	2
206	от этого	1	2
207	сливается с	1	2
208	в целом	3	2
209	есть для	1	2
210	в известном	1	2
211	нами в	1	2
212	время и	2	2
213	перестает быть	2	2
214	как увидим	2	2
215	и по	2	2
216	на этом	2	2
217	одно и	2	2
218	те же	3	2
219	на все	3	2
220	его слово	1	2
221	том что	8	2
222	в эту	3	2
223	в этих	3	2
224	могут не	1	2
225	и той	2	2
226	но он	2	2
227	друг другу	1	2
228	и эти	1	2
229	вместе со	2	2
230	зрения и	7	2
231	остановимся на	2	2
232	тому что	2	2
233	и проч	10	2
234	в единство	1	2
235	в самых	1	2
236	из него	1	2
237	все свои	2	2
238	единственный язык	1	2
239	вне его	1	2
240	для нас	31	2
241	в сознании	23	2
242	у нас	2	2
243	языке и	1	2
244	оно может	2	2
245	и самое	1	2
246	и о	1	2
247	то время	4	2
248	так в	4	2
249	на том	1	2
250	не с	3	2
251	не исчерпывается	1	2
252	и вообще	3	2
253	в другом	2	2
254	др и	1	2
255	одного из	1	2
256	языка язык	1	2
257	можно сказать	1	2
258	нас в	2	2
259	жизни но	1	2
260	слов и	1	2
261	слова для	2	2
262	предмета и	4	2
263	здесь не	1	2
264	мы видим	2	2
265	между тем	6	2
266	и тем	3	2
267	с которыми	2	2
268	так что	10	2
269	же и	1	2
270	связи с	6	2
271	уже не	4	2
272	и у	3	2
273	если мы	3	2
274	только на	1	2
275	как более	1	2
276	в известной	1	2
277	в одном	6	2
278	с этими	1	2
279	для того	5	2
280	в другой	1	2
281	до сих	4	2
282	языка или	1	2
283	не есть	6	2
284	а с	2	2
285	на которые	1	2
286	точке зрения	2	2
287	а на	1	2
288	между этими	1	2
289	что все	2	2
290	связь с	1	2
291	эти слова	1	2
292	своего слова	1	2
293	так же	2	2
294	его как	1	2
295	быть только	2	2
296	должно быть	2	2
297	этом случае	1	2
298	в условиях	1	2
299	и слово	1	2
300	слова так	2	2
301	слова которая	1	2
302	одна из	4	2
303	говорящего и	1	2
304	имеет дело	1	2
305	потому что	49	2
306	и предметом	1	2
307	ни было	3	2
308	между ними	2	2
309	сказать что	2	2
310	они как	1	2
311	ускользает от	2	2
312	бы его	1	2
313	вносит в	1	2
314	к этому	2	2
315	сделать его	2	1
316	получают в	1	1
317	слова которые	1	1
318	в зародыше	1	1
319	и грубые	1	1
320	которого в	1	1
