N	3gram	Bakhtin_Fr_7	VelikijI
1	за то что	3	3
2	но и в	1	2
3	не в силах	1	2
4	в том что	3	2
5	его к жизни	1	1
6	и во всяком	1	1
7	есть прежде всего	1	1
8	и есть то	2	1
9	в этом мире	1	1
10	но от этого	1	1
11	но в нем	1	1
12	конечно ни в	1	1
13	это не было	1	1
14	в конце концов	4	1
15	и в этом	1	1
16	это одна из	3	1
17	он говорит что	1	1
18	в этих словах	1	1
19	в словах его	1	1
20	что я не	1	1
21	в них и	1	1
22	в одном образе	1	1
23	так и в	3	1
24	и все это	1	1
25	после того как	4	1
26	мы видим что	1	1
27	на том свете	1	1
28	свою роль в	1	1
29	как и в	2	1
