N	3gram	Propp_Russ_1	Literetu
1	в том что	15	5
2	состоит в том	8	4
3	по отношению к	1	3
4	в этом отношении	1	3
5	в данном случае	1	3
6	с точки зрения	3	3
7	о том что	4	2
8	подобно тому как	1	2
9	и т п	1	2
10	в этом случае	5	2
11	в е годы	2	2
12	в равной степени	2	2
13	тем не менее	3	2
14	мы не можем	3	1
15	в одном из	1	1
16	том что в	6	1
17	приводит к тому	1	1
18	в этот день	8	1
19	во многих отношениях	1	1
20	у него нет	1	1
21	после того как	2	1
22	к тому что	4	1
23	в целом ряде	1	1
24	ничего общего с	1	1
25	и наконец в	1	1
26	как мы видели	1	1
27	имеет ничего общего	1	1
28	можно было бы	1	1
29	на самом деле	1	1
30	случае идет не	1	1
31	в свою очередь	2	1
32	в отличие от	1	1
33	вместе с тем	6	1
34	том что этот	2	1
35	в себе и	1	1
36	быть не может	1	1
37	во всех этих	1	1
38	не имеет ничего	1	1
39	и некоторые другие	2	1
40	не только как	1	1
41	в своего рода	1	1
