N	2gram	Nazirov_Vr_1	Tvorches
1	у достоевского	4	28
2	и в	8	21
3	как бы	4	17
4	в то	5	15
5	то же	5	13
6	из подполья	3	13
7	в его	3	13
8	достоевского в	7	12
9	как и	6	12
10	же время	5	12
11	что в	7	12
12	с его	3	11
13	том что	3	11
14	м м	2	11
15	подпольного человека	4	11
16	все это	4	10
17	в романе	6	10
18	как в	1	8
19	он не	3	8
20	достоевского с	9	8
21	то что	7	8
22	в году	18	7
23	но в	6	7
24	что достоевский	4	7
25	не только	9	7
26	при этом	4	7
27	тем самым	1	7
28	во многом	4	7
29	у него	5	7
30	и не	5	7
31	в том	3	7
32	в свою	2	7
33	в этом	8	6
34	достоевского не	4	6
35	в преступлении	1	6
36	человека в	3	6
37	в котором	6	6
38	не менее	2	6
39	и его	3	6
40	он сам	2	6
41	о том	4	6
42	и все	7	6
43	что он	4	6
44	для него	2	6
45	записки из	2	6
46	м бахтин	1	6
47	а в	2	6
48	преступления и	1	5
49	молодого достоевского	2	5
50	преступление и	1	5
51	отнюдь не	2	5
52	все же	6	5
53	в этой	2	5
54	таким образом	2	5
55	и наказания	2	5
56	в своих	4	5
57	в повести	2	5
58	на воздух	1	5
59	в русской	3	5
60	потому что	1	5
61	по нашему	3	5
62	может быть	4	5
63	нашему мнению	1	5
64	но это	2	5
65	человека и	1	4
66	из всех	1	4
67	в петербурге	1	4
68	в своем	3	4
69	и как	3	4
70	в целом	1	4
71	в записках	1	4
72	самим собой	1	4
73	это не	4	4
74	в своей	2	4
75	своего рода	1	4
76	достоевский не	3	4
77	творчества достоевского	1	4
78	в мире	2	4
79	русской литературе	3	4
80	для достоевского	1	4
81	преступлении и	1	4
82	больше не	1	4
83	достоевского это	1	4
84	прежде всего	1	4
85	в момент	2	4
86	не может	2	4
87	и наказание	1	4
88	и от	1	4
89	в основном	1	4
90	один из	1	4
91	одним из	3	4
92	и наказании	1	4
93	рассматривать в	1	3
94	это и	1	3
95	той же	1	3
96	я не	3	3
97	не был	1	3
98	из повести	2	3
99	что я	2	3
100	достоевского к	3	3
101	хотя и	1	3
102	героев достоевского	1	3
103	в самом	1	3
104	в нем	6	3
105	в россии	5	3
106	и с	6	3
107	достоевский и	8	3
108	достоевского и	7	3
109	соответствии с	1	3
110	далеко не	3	3
111	в их	1	3
112	место в	2	3
113	представление о	1	3
114	человека но	1	3
115	героев и	1	3
116	никогда не	2	3
117	достоевский в	8	3
118	с ее	1	3
119	в бесах	10	3
120	с ним	4	3
121	там же	2	3
122	в ту	1	3
123	белых ночей	1	3
124	того что	1	3
125	по мнению	2	3
126	уже не	2	3
127	уже в	4	3
128	записках из	1	3
129	говорит о	1	3
130	в соответствии	1	3
131	белые ночи	1	3
132	связан с	1	3
133	и даже	6	3
134	с другой	1	3
135	но и	7	3
136	в рассказе	1	3
137	но не	1	3
138	это как	1	3
139	жизни и	1	3
140	это в	2	3
141	так же	4	3
142	себя как	1	2
143	и рассказы	1	2
144	вряд ли	1	2
145	в нашей	2	2
146	того же	1	2
147	по преимуществу	1	2
148	неточку незванову	2	2
149	и он	2	2
150	в ней	4	2
151	собой в	1	2
152	ту эпоху	1	2
153	в чем	3	2
154	если в	1	2
155	и достоевский	2	2
156	же с	1	2
157	как к	1	2
158	что как	1	2
159	и наконец	1	2
160	то в	1	2
161	в себе	2	2
162	тем не	1	2
163	не будет	1	2
164	этом он	1	2
165	о котором	1	2
166	достоевского он	2	2
