N	2gram	Ircho_Kome_2	RusskieA
1	и в	26	29
2	т е	1	24
3	том что	9	22
4	в том	11	22
5	что в	9	22
6	в поле	3	19
7	как бы	2	18
8	в других	2	15
9	и другие	2	14
10	так как	4	13
11	может быть	11	13
12	во время	6	12
13	там же	1	12
14	в этом	10	11
15	как и	4	11
16	одна из	2	11
17	не только	7	10
18	и с	5	10
19	все это	3	10
20	а на	2	9
21	о том	6	9
22	а в	3	9
23	его в	4	8
24	или на	2	8
25	но и	10	8
26	в дом	1	8
27	из леса	1	7
28	как в	3	7
29	мы видели	1	7
30	или в	3	7
31	мы имеем	2	6
32	мы не	2	6
33	еще не	6	6
34	и на	7	6
35	таким образом	6	6
36	того чтобы	6	6
37	для нас	3	6
38	для того	5	6
39	с тем	5	6
40	вместе с	9	6
41	же в	4	6
42	и т	2	5
43	должна была	2	5
44	но не	3	5
45	следующим образом	1	5
46	но в	3	5
47	это не	2	5
48	не может	3	5
49	представление о	2	5
50	потому что	6	5
51	и что	2	5
52	будто бы	1	5
53	земли и	1	5
54	то что	6	5
55	к этому	5	5
56	то же	3	4
57	вопрос о	3	4
58	не все	1	4
59	что по	2	4
60	их в	1	4
61	том же	1	4
62	а затем	5	4
63	после обеда	1	4
64	в них	4	4
65	не в	2	4
66	у нас	1	4
67	а также	1	4
68	к нему	3	4
69	так что	5	4
70	то и	1	4
71	из них	7	4
72	именно в	1	4
73	а не	1	4
74	о чем	3	4
75	так же	1	4
76	как это	4	4
77	предположить что	1	4
78	по существу	1	4
79	и все	2	4
80	в и	1	3
81	в народном	2	3
82	в ее	2	3
83	что это	4	3
84	все эти	1	3
85	в этой	3	3
86	что она	2	3
87	главным образом	1	3
88	по всем	2	3
89	на этом	2	3
90	в человеческую	1	3
91	не всегда	2	3
92	на первый	1	3
93	в эту	1	3
94	в этих	4	3
95	в котором	3	3
96	в отличие	2	3
97	не имеет	3	3
98	и после	2	3
99	и другой	1	3
100	как мы	4	3
101	под именем	2	3
102	во всех	3	3
103	как например	1	3
104	между тем	4	3
105	в качестве	5	3
106	связь с	1	3
107	за ним	1	3
108	друг друга	3	3
109	отличие от	2	3
110	тем что	3	3
111	по всей	1	3
112	что для	4	3
113	до конца	1	3
114	для этой	2	3
115	чтобы обеспечить	1	3
116	и там	1	3
117	xix в	1	3
118	и от	4	3
119	было бы	8	3
120	но если	3	3
121	а н	1	3
122	также что	2	2
123	одним из	2	2
124	на себя	7	2
125	это время	3	2
126	между собой	1	2
127	не был	1	2
128	там и	1	2
129	с одной	2	2
130	с этим	5	2
131	все же	4	2
132	как уже	1	2
133	и как	1	2
134	не было	3	2
135	этой цели	1	2
136	в руках	4	2
137	та же	1	2
138	в которой	5	2
139	представляет собой	1	2
140	из этих	4	2
141	после этого	2	2
142	том чтобы	1	2
143	в образе	3	2
144	об этом	2	2
145	и еще	2	2
146	девушки и	1	2
147	так в	2	2
148	в своей	3	2
149	нас не	1	2
150	в их	3	2
151	не столько	1	2
