N	2gram	Nazirov_Tv_1	VelikijI
1	во имя	2	32
2	и не	7	20
3	и в	21	16
4	свободы и	2	12
5	так как	3	9
6	то что	8	9
7	еще не	1	8
8	в истории	1	8
9	на земле	3	7
10	а не	5	7
11	к людям	1	6
12	человека и	4	6
13	не есть	1	6
14	на себя	1	5
15	но и	3	5
16	того что	3	5
17	хотя и	3	5
18	в мире	4	5
19	бога и	2	5
20	все это	10	5
21	как бы	17	5
22	к небытию	1	4
23	и есть	1	4
24	в образе	1	4
25	говорить о	1	4
26	мира сего	1	4
27	добра и	3	4
28	в его	13	4
29	и я	1	4
30	в этом	6	4
31	что он	6	4
32	потому что	5	4
33	в нем	3	4
34	так и	2	4
35	что все	3	4
36	что не	2	4
37	как и	12	4
38	в котором	6	4
39	в ней	2	4
40	и все	6	4
41	это еще	1	4
42	этого мира	1	3
43	и что	1	3
44	восстает против	1	3
45	за то	2	3
46	нас и	1	3
47	хотя бы	5	3
48	то это	1	3
49	в чем	2	3
50	с его	11	3
51	во всех	1	3
52	что и	2	3
53	и будет	2	3
54	в том	7	3
55	тот же	2	3
56	но в	7	3
57	бы и	1	3
58	по этому	1	3
59	все эти	1	3
60	в конце	1	3
61	в своей	4	3
62	в жизни	2	3
63	ни в	1	3
64	в них	1	3
65	не было	1	3
66	не верит	1	3
67	всемирной истории	1	3
68	в этих	2	3
69	всех людей	1	3
70	что я	3	3
71	и против	2	3
72	не в	2	3
73	к чему	1	3
74	тому что	1	3
75	но это	5	3
76	в средство	1	3
77	не имеет	1	3
78	никогда не	3	3
79	личности и	2	3
80	свободы от	1	3
81	превращается в	1	3
82	что ты	2	3
83	к тому	2	3
84	жизни и	3	3
85	что в	12	3
86	людей в	2	3
87	оно не	1	3
88	верит что	1	2
89	и это	1	2
90	духа но	1	2
91	от своей	1	2
92	но мы	1	2
93	во главе	2	2
94	это мы	1	2
95	верит в	2	2
96	и сам	1	2
97	и т	3	2
98	его не	1	2
99	с ним	3	2
100	ее и	2	2
101	к нам	1	2
102	между тем	1	2
103	вслед за	2	2
104	человека как	2	2
105	государства и	1	2
106	его к	1	2
107	только в	5	2
108	личности а	1	2
109	в себя	2	2
110	человечество на	1	2
111	и любви	1	2
112	уже не	3	2
113	не только	7	2
114	для счастья	1	2
115	на этих	1	2
116	сто тысяч	1	2
117	все тот	1	2
118	его и	1	2
119	не так	3	2
120	для него	6	2
121	не к	1	2
122	личного и	1	2
123	своей свободы	1	2
124	вот почему	3	2
125	тем что	1	2
126	на том	2	2
127	не будет	2	2
128	это не	4	2
129	т д	1	2
130	а с	1	2
131	с презрением	1	2
132	прежде всего	4	2
133	для них	1	2
134	люди не	1	2
135	все равно	1	2
136	с тем	1	2
137	сознания от	1	2
138	один из	4	2
139	для человека	3	2
140	от свободы	1	2
141	и тогда	1	2
142	мира в	2	2
143	когда я	2	2
144	не могут	1	2
145	самого себя	1	2
146	да и	1	2
147	о свободе	3	2
148	одна из	2	2
149	что их	1	2
150	уже на	1	2
151	том что	11	2
152	от него	1	2
153	человечества а	1	2
154	ее в	3	2
155	до того	1	2
156	людей и	2	2
157	давно уже	1	2
158	это все	1	2
159	а в	6	2
160	но не	3	2
161	в духе	2	2
162	могут быть	2	2
163	и зла	2	2
164	в вечность	1	1
165	от этой	1	1
166	эта идея	1	1
167	по закону	1	1
168	быть может	2	1
169	в виду	2	1
170	утверждении своей	1	1
171	в ее	1	1
172	над людьми	1	1
173	и говорит	1	1
174	и до	1	1
175	роль в	1	1
176	не имеют	4	1
177	значение в	1	1
178	среди людей	1	1
179	если они	1	1
180	которое может	1	1
181	тоску по	1	1
182	то же	13	1
183	их и	1	1
184	ли это?	1	1
185	живет в	2	1
186	бога есть	2	1
187	человеческой природы	1	1
188	и тут	1	1
189	остается не	1	1
190	для раскрытия	1	1
191	снисхождение к	1	1
192	смысл бытия	1	1
193	о возможности	1	1
194	я не	3	1
195	и ее	1	1
196	по смыслу	1	1
197	не был	3	1
198	кто же	2	1
199	меня в	1	1
200	как сам	1	1
201	в их	3	1
202	ее окончательно	1	1
203	идет за	1	1
204	и на	7	1
205	он был	1	1
206	бы то	1	1
207	других людей	2	1
208	жизни с	2	1
209	это имеет	1	1
210	что оно	1	1
211	к нему	1	1
212	идет к	1	1
213	от них	1	1
214	человек был	1	1
215	если в	2	1
216	тогда как	1	1
217	что человек	3	1
218	совместима с	1	1
219	себя но	2	1
220	земли с	1	1
221	крайней мере	2	1
222	так говорит	1	1
223	я тогда	1	1
224	отказался от	1	1
225	о красоте	1	1
226	что бы	1	1
227	происхождение и	1	1
228	и уж	1	1
229	человечества не	1	1
230	как в	8	1
231	и самые	1	1
232	и мир	2	1
233	что человечество	1	1
234	в своем	4	1
235	я был	1	1
236	известном смысле	1	1
237	все же	5	1
238	его свободы	1	1
239	но с	1	1
240	себя с	1	1
241	в двух	2	1
242	с ними	1	1
243	же за	1	1
244	в разные	1	1
245	это очень	1	1
246	со своей	1	1
247	в самом	3	1
248	в которой	3	1
249	что это	1	1
250	небытию в	1	1
251	в целом	4	1
252	их не	1	1
253	бога в	1	1
254	можно вывести	1	1
255	человеческой души	2	1
256	путями к	1	1
257	в этой	5	1
258	в известном	1	1
259	это тот	1	1
260	же и	2	1
261	им в	1	1
262	человеке и	1	1
263	вот в	2	1
264	я в	1	1
265	его совесть	1	1
266	уже в	3	1
267	в которую	1	1
268	то и	1	1
269	зла в	1	1
270	достоинства и	1	1
271	в виде	3	1
272	и если	1	1
273	по законам	1	1
274	слова не	1	1
275	слияние с	1	1
276	времени по	2	1
277	о которой	1	1
278	говорит что	2	1
279	свою свободу	1	1
280	перестает быть	1	1
281	чем у	1	1
282	зла и	1	1
283	и вот	1	1
284	вовсе не	5	1
285	от людей	2	1
286	самоутверждение личности	1	1
287	природы человека	1	1
288	но что	1	1
