N	3gram	Tiupa_Hudo_1	Tragedij
1	то же время	5	5
2	в то же	5	5
3	преступлении и наказании	1	2
4	в отличие от	7	2
5	точно так же	1	2
6	в преступлении и	1	2
7	о том что	1	2
8	и в самом	1	2
9	в том что	7	2
10	в этом случае	1	1
11	в этом мире	2	1
12	в известной степени	1	1
13	ивана карамазова в	1	1
14	том что он	1	1
15	у достоевского в	1	1
16	что он не	1	1
17	говорит о его	1	1
18	черт ивана карамазова	1	1
19	в виду не	3	1
20	и не быть	1	1
21	в этом состоит	1	1
22	тем не менее	3	1
23	не могут быть	1	1
24	и пусть пусть	1	1
25	в связи с	1	1
26	не только к	1	1
27	не может быть	3	1
28	это и есть	1	1
29	в последней главе	1	1
30	к тому что	2	1
31	друг перед другом	1	1
32	добро и зло	1	1
33	как и в	1	1
